"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"17565013","Excoriated acne","","10065003","479","CPRD_AURUM"
"19014018","Tropical acne","M261C00","10954006","72","CPRD_AURUM"
"22719019","Cystic acne","M261600","13277001","50981","CPRD_AURUM"
"70464010","Acne conglobata","M261100","42228007","3597","CPRD_AURUM"
"98310017","Pustular acne","M261A00","59172008","31459","CPRD_AURUM"
"309121013","Steroid acne","M261B00","201222006","775","CPRD_AURUM"
"369523011","Acne scar","2FG5.00","247459000","11863","CPRD_AURUM"
"1218808012","Acne excoriee des jeunes filles","M261E00","10065003","3471","CPRD_AURUM"
"1930241000006118","Mild acne vulgaris","","1930241000006102","1781","CPRD_AURUM"
"1930251000006116","Moderate acne vulgaris","","1930251000006100","1409","CPRD_AURUM"
"1930261000006119","Severe acne vulgaris","","1930261000006103","593","CPRD_AURUM"
"309361018","[X]Other acne","Myu6800","11381005","3912","CPRD_AURUM"
"161571000006113","SAPHO syndrome Synov, Acne, Pustul, Hyperost, Osteomyelitis","N25..00","60684003","2316","CPRD_AURUM"
"453121000006111","Acne, unspecified","M261X00","11381005","974928","CPRD_AURUM"
"3461171000006110","Acne pustulosa","","59172008","0","CPRD_AURUM"
"3485871000006119","SAPHO - Synovitis, acne, pustulosis palmaris, hyperostosis, osteomyelitis syndrome","","60684003","0","CPRD_AURUM"
"2674331000006110","Acne tropicalis","","10954006","0","CPRD_AURUM"
"3940191000006112","Common acne","","88616000","0","CPRD_AURUM"
"982841000006114","Acne fulminans","","982841000006105","0","CPRD_AURUM"
"309109014","Other acne","M261.00","11381005","186443","CPRD_AURUM"
"309368012","[X]Acne, unspecified","Myu6F00","11381005","71156","CPRD_AURUM"
"146927011","Acne vulgaris","M261000","88616000","6097105","CPRD_AURUM"
"5244281000006118","Post-acne scarring","","247459000","14","CPRD_AURUM"
"2710601000006118","Cystic acne vulgaris","","13277001","2","CPRD_AURUM"
"3485881000006116","Synovitis acne pustulosis hyperostosis osteomyelitis syndrome","","60684003","0","CPRD_AURUM"
"309129010","Other acne NOS","M261z00","11381005","27353","CPRD_AURUM"
"8786013","Acne fulminans","M261F00","4659007","610","CPRD_AURUM"
"2710591000006114","Acne cystica","","13277001","0","CPRD_AURUM"
"1806391000006119","Acne","","11381005","1","CPRD_AURUM"
