"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"3113","Corticoadrenal insufficiency","C154.00","","CPRD_GOLD"
"4042","Addisonian crisis","C154011","","CPRD_GOLD"
"4481","Addison's disease","C154100","","CPRD_GOLD"
"8782","Other adrenal hypofunction","C155.00","","CPRD_GOLD"
"12227","Addisonian crisis","C154600","","CPRD_GOLD"
"12396","Corticoadrenal insufficiency NOS","C154z00","","CPRD_GOLD"
"20786","Adrenal insufficiency NEC","C154z12","","CPRD_GOLD"
"21539","Acute adrenal insufficiency","C154000","","CPRD_GOLD"
"28896","Adrenal hypofunction","C154z11","","CPRD_GOLD"
"29818","Hypoplasia of adrenal gland","PK13.00","","CPRD_GOLD"
"35760","Tuberculosis of adrenal glands - Addison's disease","A176.00","","CPRD_GOLD"
"44962","Other corticoadrenal overactivity","C153.00","","CPRD_GOLD"
"54838","Other adrenal hypofunction NOS","C155z00","","CPRD_GOLD"
"56634","Postprocedural adrenocortical(-medullary) hypofunction","C154500","","CPRD_GOLD"
"69198","Myopathy due to Addison's disease","F395000","","CPRD_GOLD"
"73529","Adrenal medullary insufficiency","C155000","","CPRD_GOLD"
