"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1B1b.00","Transient hallucinations","1B1b.00","","IMRD"
"1B1c.00","Alcohol induced hallucinations","1B1c.00","","IMRD"
"1B1d.00","Hypnagogic hallucination","1B1d.00","","IMRD"
"1B1e.00","Hypnopompic hallucination","1B1e.00","","IMRD"
"1B1E.00","Hallucinations","1B1E.00","","IMRD"
"1BH..00","Delusions","1BH..00","","IMRD"
"1BH..11","Delusion","1BH..11","","IMRD"
"1BH0.00","Delusion of persecution","1BH0.00","","IMRD"
"E11..00","Affective psychoses","E11..00","","IMRD"
"E11..11","Bipolar psychoses","E11..11","","IMRD"
"E11..12","Depressive psychoses","E11..12","","IMRD"
"E11..13","Manic psychoses","E11..13","","IMRD"
"E110.00","Manic disorder, single episode","E110.00","","IMRD"
"E110.11","Hypomanic psychoses","E110.11","","IMRD"
"E110000","Single manic episode, unspecified","E110000","","IMRD"
"E110100","Single manic episode, mild","E110100","","IMRD"
"E110200","Single manic episode, moderate","E110200","","IMRD"
"E110300","Single manic episode, severe without mention of psychosis","E110300","","IMRD"
"E110400","Single manic episode, severe, with psychosis","E110400","","IMRD"
"E110500","Single manic episode in partial or unspecified remission","E110500","","IMRD"
"E110600","Single manic episode in full remission","E110600","","IMRD"
"E110z00","Manic disorder, single episode NOS","E110z00","","IMRD"
"E111.00","Recurrent manic episodes","E111.00","","IMRD"
"E111000","Recurrent manic episodes, unspecified","E111000","","IMRD"
"E111100","Recurrent manic episodes, mild","E111100","","IMRD"
"E111200","Recurrent manic episodes, moderate","E111200","","IMRD"
"E111300","Recurrent manic episodes, severe without mention psychosis","E111300","","IMRD"
"E111400","Recurrent manic episodes, severe, with psychosis","E111400","","IMRD"
"E111500","Recurrent manic episodes, partial or unspecified remission","E111500","","IMRD"
"E111600","Recurrent manic episodes, in full remission","E111600","","IMRD"
"E111z00","Recurrent manic episode NOS","E111z00","","IMRD"
"E112.00","Single major depressive episode","E112.00","","IMRD"
"E112.11","Agitated depression","E112.11","","IMRD"
"E112.12","Endogenous depression first episode","E112.12","","IMRD"
"E112.13","Endogenous depression first episode","E112.13","","IMRD"
"E112.14","Endogenous depression","E112.14","","IMRD"
"E112000","Single major depressive episode, unspecified","E112000","","IMRD"
"E112100","Single major depressive episode, mild","E112100","","IMRD"
"E112200","Single major depressive episode, moderate","E112200","","IMRD"
"E112300","Single major depressive episode, severe, without psychosis","E112300","","IMRD"
"E112400","Single major depressive episode, severe, with psychosis","E112400","","IMRD"
"E112500","Single major depressive episode, partial or unspec remission","E112500","","IMRD"
"E112600","Single major depressive episode, in full remission","E112600","","IMRD"
"E112z00","Single major depressive episode NOS","E112z00","","IMRD"
"E113.00","Recurrent major depressive episode","E113.00","","IMRD"
"E113.11","Endogenous depression - recurrent","E113.11","","IMRD"
"E113000","Recurrent major depressive episodes, unspecified","E113000","","IMRD"
"E113100","Recurrent major depressive episodes, mild","E113100","","IMRD"
"E113200","Recurrent major depressive episodes, moderate","E113200","","IMRD"
"E113300","Recurrent major depressive episodes, severe, no psychosis","E113300","","IMRD"
"E113400","Recurrent major depressive episodes, severe, with psychosis","E113400","","IMRD"
"E113500","Recurrent major depressive episodes,partial/unspec remission","E113500","","IMRD"
"E113600","Recurrent major depressive episodes, in full remission","E113600","","IMRD"
"E113700","Recurrent depression","E113700","","IMRD"
"E113z00","Recurrent major depressive episode NOS","E113z00","","IMRD"
"E114.00","Bipolar affective disorder, currently manic","E114.00","","IMRD"
"E114.11","Manic-depressive - now manic","E114.11","","IMRD"
"E114000","Bipolar affective disorder, currently manic, unspecified","E114000","","IMRD"
"E114100","Bipolar affective disorder, currently manic, mild","E114100","","IMRD"
"E114200","Bipolar affective disorder, currently manic, moderate","E114200","","IMRD"
"E114300","Bipolar affect disord, currently manic, severe, no psychosis","E114300","","IMRD"
"E114400","Bipolar affect disord, currently manic,severe with psychosis","E114400","","IMRD"
"E114500","Bipolar affect disord,currently manic, part/unspec remission","E114500","","IMRD"
"E114600","Bipolar affective disorder, currently manic, full remission","E114600","","IMRD"
"E114z00","Bipolar affective disorder, currently manic, NOS","E114z00","","IMRD"
"E115.00","Bipolar affective disorder, currently depressed","E115.00","","IMRD"
"E115.11","Manic-depressive - now depressed","E115.11","","IMRD"
"E115000","Bipolar affective disorder, currently depressed, unspecified","E115000","","IMRD"
"E115100","Bipolar affective disorder, currently depressed, mild","E115100","","IMRD"
"E115200","Bipolar affective disorder, currently depressed, moderate","E115200","","IMRD"
"E115300","Bipolar affect disord, now depressed, severe, no psychosis","E115300","","IMRD"
"E115400","Bipolar affect disord, now depressed, severe with psychosis","E115400","","IMRD"
"E115500","Bipolar affect disord, now depressed, part/unspec remission","E115500","","IMRD"
"E115z00","Bipolar affective disorder, currently depressed, NOS","E115z00","","IMRD"
"E116.00","Mixed bipolar affective disorder","E116.00","","IMRD"
"E116000","Mixed bipolar affective disorder, unspecified","E116000","","IMRD"
"E116100","Mixed bipolar affective disorder, mild","E116100","","IMRD"
"E116200","Mixed bipolar affective disorder, moderate","E116200","","IMRD"
