"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"M081","Juvenile ankylosing spondylitis","M08.1","","ICD10"
"M0810","Juvenile ankylosing spondylitis","M08.10","","ICD10"
"M0811","Juvenile ankylosing spondylitis","M08.11","","ICD10"
"M0812","Juvenile ankylosing spondylitis","M08.12","","ICD10"
"M0813","Juvenile ankylosing spondylitis","M08.13","","ICD10"
"M0814","Juvenile ankylosing spondylitis","M08.14","","ICD10"
"M0815","Juvenile ankylosing spondylitis","M08.15","","ICD10"
"M0816","Juvenile ankylosing spondylitis","M08.16","","ICD10"
"M0817","Juvenile ankylosing spondylitis","M08.17","","ICD10"
"M0818","Juvenile ankylosing spondylitis","M08.18","","ICD10"
"M0819","Juvenile ankylosing spondylitis","M08.19","","ICD10"
"M45X","Ankylosing spondylitis","M45","","ICD10"
"M45X0","Ankylosing spondylitis","M45.X0","","ICD10"
"M45X1","Ankylosing spondylitis","M45.X1","","ICD10"
"M45X2","Ankylosing spondylitis","M45.X2","","ICD10"
"M45X3","Ankylosing spondylitis","M45.X3","","ICD10"
"M45X4","Ankylosing spondylitis","M45.X4","","ICD10"
"M45X5","Ankylosing spondylitis","M45.X5","","ICD10"
"M45X6","Ankylosing spondylitis","M45.X6","","ICD10"
"M45X7","Ankylosing spondylitis","M45.X7","","ICD10"
"M45X8","Ankylosing spondylitis","M45.X8","","ICD10"
"M45X9","Ankylosing spondylitis","M45.X9","","ICD10"
