"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"1735","Aortic aneurysm","G71..00",,"59408","CPRD_GOLD"
"1736","Aortic aneurysm repair","7A14.11",,"10385","CPRD_GOLD"
"1867","Abdominal aortic aneurysm without mention of rupture","G714.00",,"12145","CPRD_GOLD"
"6872","Aortic aneurysm NOS","G71z.00",,"2002","CPRD_GOLD"
"9759","Leaking abdominal aortic aneurysm","G718.00",,"373","CPRD_GOLD"
"11430","Thoracoabdominal aortic aneurysm, ruptured","G715000",,"82","CPRD_GOLD"
"13572","Ruptured abdominal aortic aneurysm","G713.11",,"1913","CPRD_GOLD"
"15304","Ruptured aortic aneurysm NOS","G715.00",,"1189","CPRD_GOLD"
"16034","Aortic aneurysm without mention of rupture NOS","G716.00",,"444","CPRD_GOLD"
"16521","Dissecting aortic aneurysm","G710.00",,"2043","CPRD_GOLD"
"16800","Ruptured thoracic aortic aneurysm","G711.11",,"317","CPRD_GOLD"
"16993","H/O: aortic aneurysm","14AE.00",,"2874","CPRD_GOLD"
"17220","Emergency repair of aortic aneurysm","7A13.11",,"944","CPRD_GOLD"
"17345","AAA - Abdominal aortic aneurysm without mention of rupture","G714.11",,"7792","CPRD_GOLD"
"17767","Abdominal aortic aneurysm which has ruptured","G713.00",,"1458","CPRD_GOLD"
"19996","Replace aneurysm abdominal aorta by anast aorta to aorta NEC","7A14400",,"105","CPRD_GOLD"
"23532","Thoracic aortic aneurysm without mention of rupture","G712.00",,"1513","CPRD_GOLD"
"26232","Tube graft of Abdominal aortic aneurysm","7A14411",,"59","CPRD_GOLD"
"27563","Thoracic aortic aneurysm which has ruptured","G711.00",,"179","CPRD_GOLD"
"28109","Inflammatory abdominal aortic aneurysm","G714100",,"34","CPRD_GOLD"
"31613","Emergency replacement of aneurysmal segment of aorta","7A13.00",,"248","CPRD_GOLD"
