"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"9313016","Left bundle branch hemiblock","G562.00","4973001","4301","CPRD_AURUM"
"19216010","Sinus tachycardia","G57y700","11092001","113026","CPRD_AURUM"
"20728011","Bouveret-Hoffmann syndrome","G572100","12026006","15","CPRD_AURUM"
"28446019","Accelerated atrioventricular conduction","G567000","16797001","129","CPRD_AURUM"
"30181017","Anomalous atrioventricular excitation","G567.00","17869006","5666","CPRD_AURUM"
"42864016","Ventricular tachycardia","G571.11","25569003","31081","CPRD_AURUM"
"46670010","Complete atrioventricular block","G560.00","27885002","12126","CPRD_AURUM"
"46970012","Hypsarrhythmia","F256000","28055006","490","CPRD_AURUM"
"47191011","Mobitz type II atrioventricular block","G561200","28189009","3139","CPRD_AURUM"
"55752016","Ectopic beats","G576.00","33413000","46841","CPRD_AURUM"
"62986012","Left anterior fascicular block","G562000","37760005","1685","CPRD_AURUM"
"74409013","Persistent sinus bradycardia","G57y000","44602002","7961","CPRD_AURUM"
"81702012","Severe sinus bradycardia","G57y100","49044005","3208","CPRD_AURUM"
"82343012","Atrial fibrillation","G573000","49436004","4158037","CPRD_AURUM"
"92224012","Lown-Ganong-Levine syndrome","G56y000","55475008","998","CPRD_AURUM"
"103118017","Left posterior fascicular block","G562100","62026008","64","CPRD_AURUM"
"105498014","Left bundle branch block","G562.11","63467002","34347","CPRD_AURUM"
"110733013","Paroxysmal ventricular tachycardia","G571.00","66657009","23484","CPRD_AURUM"
"111643014","Paroxysmal supraventricular tachycardia","G570.00","67198005","107382","CPRD_AURUM"
"119267012","Sinus arrhythmia","G577.00","71792006","17384","CPRD_AURUM"
"119481012","Ventricular fibrillation","G574000","71908006","5706","CPRD_AURUM"
"123539010","Wolff-Parkinson-White syndrome","G567400","74390002","35057","CPRD_AURUM"
"142607010","Trifascicular block","G565400","86014007","4530","CPRD_AURUM"
"148654019","Cardiopulmonary resuscitation","8532.11","89666000","1767","CPRD_AURUM"
"178509016","Ventricular flutter","G574100","111288001","85","CPRD_AURUM"
"208366019","Pacemaker twiddler's syndrome","G56y600","129575004","26","CPRD_AURUM"
"251698019","H/O ventricular fibrillation","14AD.00","161513002","596","CPRD_AURUM"
"251954017","H/O: cardiac pacemaker in situ","14V1.00","161692001","19246","CPRD_AURUM"
"253605019","O/E - collapse -cardiac arrest","2241.00","162710004","1808","CPRD_AURUM"
"256438013","Ambulatory ECG abnormal","3214100","164852001","8934","CPRD_AURUM"
"256442011","ECG - improved","3218.00","142016009","222","CPRD_AURUM"
"256452010","ECG: myocardial infarction","323..00","164865005","5284","CPRD_AURUM"
"256454011","ECG: old myocardial infarction","3232.00","164867002","4341","CPRD_AURUM"
"256457016","ECG:posterior/inferior infarct","3234.00","164869004","1133","CPRD_AURUM"
"256458014","ECG: subendocardial infarct","3235.00","164870003","470","CPRD_AURUM"
"256461010","ECG:left ventricle hypertrophy","324..00","164873001","33275","CPRD_AURUM"
"256470013","ECG: ectopic beats","326..00","164881000","3793","CPRD_AURUM"
"256472017","ECG: extrasystole","3262.00","164883002","2537","CPRD_AURUM"
"256473010","ECG: ventricular ectopics","3263.00","164884008","21734","CPRD_AURUM"
"256474016","ECG: atrial ectopics","3264.00","164885009","15577","CPRD_AURUM"
"256478018","ECG: atrial fibrillation","3272.00","164889003","389448","CPRD_AURUM"
"256479014","ECG: atrial flutter","3273.00","164890007","33252","CPRD_AURUM"
"256480012","ECG: paroxysmal atrial tachy.","3274.00","164891006","5115","CPRD_AURUM"
"256484015","ECG: ventricular tachycardia","3282.00","164895002","4157","CPRD_AURUM"
"256496010","ECG: right bundle branch block","3299.00","164907000","58646","CPRD_AURUM"
"256500012","ECG: left bundle branch block","329A.00","164909002","55832","CPRD_AURUM"
"256503014","ECG: P wave abnormal","32A2.00","164912004","374","CPRD_AURUM"
"256508017","ECG: Q wave abnormal","32B2.00","164917005","692","CPRD_AURUM"
"256512011","ECG: R wave abnormal","32C2.00","164921003","425","CPRD_AURUM"
"256516014","ECG: S wave abnormal","32D2.00","164925007","36","CPRD_AURUM"
"256522017","ECG: S-T interval abnormal","32E2.00","164930006","1176","CPRD_AURUM"
"256526019","ECG: T wave abnormal","32F2.00","164934002","2766","CPRD_AURUM"
"256529014","ECG: U wave abnormal","32G2.00","164937009","5","CPRD_AURUM"
"256530016","ECG: U wave exaggerated","32G3.00","164938004","6","CPRD_AURUM"
"256534013","ECG: F wave present","32H2.00","164942001","6","CPRD_AURUM"
"256551018","ECG: Q-T interval abnormal","32K2.00","164956004","714","CPRD_AURUM"
"271220012","Introduction of cardiac pacemaker system via vein","7936.00","175135009","27927","CPRD_AURUM"
"271221011","Introduction of intravenous cardiac pacemaker system","7936.11","175135009","205","CPRD_AURUM"
"271222016","Implantation of intravenous cardiac pacemaker system","7936000","175135009","47892","CPRD_AURUM"
"271224015","Resiting of lead of intravenous pacemaker system","7936100","175137001","307","CPRD_AURUM"
"271233018","Implantation of intravenous triggered cardiac pacemaker","7936800","175144005","60","CPRD_AURUM"
"278925018","Internal electrode cardioversion","7L1H200","180327006","1258","CPRD_AURUM"
"300067019","Partial atrioventricular block","G561.00","195039008","1828","CPRD_AURUM"
"300073018","Second degree atrioventricular block","G561400","195042002","1806","CPRD_AURUM"
"300094015","Ventricular pre-excitation","G567300","195060002","359","CPRD_AURUM"
"300130013","Atrial fibrillation and flutter","G573.00","195080001","533527","CPRD_AURUM"
"300133010","Ventricular fibrillation and flutter","G574.00","195083004","973","CPRD_AURUM"
"300164012","Wandering atrial pacemaker","G57y500","195101003","467","CPRD_AURUM"
"300166014","Bigeminal pulse","G57y800","195103000","7622","CPRD_AURUM"
"324806014","Mechanical complication of cardiac pacemaker","SP00100","213035005","1765","CPRD_AURUM"
"350465014","Non-rheumatic atrial fibrillation","G573300","233911009","1550","CPRD_AURUM"
"350471015","Heart block","G56..12","233916004","54967","CPRD_AURUM"
"350487017","Cardiac arrest with successful resuscitation","G575000","233927002","5387","CPRD_AURUM"
