"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"426","Sinus arrhythmia","G577.00",,"3518","CPRD_GOLD"
"534","ECG: right bundle branch block","3299.00",,"9764","CPRD_GOLD"
"793","[D]Electrocardiogram (ECG) abnormal","R143100",,"12645","CPRD_GOLD"
"1268","Paroxysmal atrial fibrillation","G573200",,"91327","CPRD_GOLD"
"1292","ECG abnormal","3217.00",,"102694","CPRD_GOLD"
"1297","Paroxysmal atrial tachycardia","G570000",,"6442","CPRD_GOLD"
"1381","Paroxysmal tachycardia NOS","G572z00",,"9165","CPRD_GOLD"
"1535","Cardiac dysrhythmia NOS","G57z.00",,"13705","CPRD_GOLD"
"1536","Supraventricular tachycardia NOS","G57y900",,"71590","CPRD_GOLD"
"1628","Exercise ECG abnormal","3213100",,"17695","CPRD_GOLD"
"1656","External cardioversion NEC","7L1H100",,"9293","CPRD_GOLD"
"1664","Atrial fibrillation","G573000",,"550556","CPRD_GOLD"
"1757","Atrial flutter","G573100",,"26481","CPRD_GOLD"
"2059","Ambulatory ECG abnormal","3214100",,"2970","CPRD_GOLD"
"2099","Cardiac arrest","G575.00",,"18794","CPRD_GOLD"
"2212","Atrial fibrillation and flutter","G573.00",,"201125","CPRD_GOLD"
"2249","Ectopic beats unspecified","G576000",,"6494","CPRD_GOLD"
"2579","Extrasystoles","G576011",,"6165","CPRD_GOLD"
"2802","[V]Cardiac pacemaker in situ","ZV45000",,"42773","CPRD_GOLD"
"2840","[V]Fitting or adjustment of cardiac pacemaker","ZV53300",,"20895","CPRD_GOLD"
"2841","Implantation of intravenous cardiac pacemaker system","7936000",,"29435","CPRD_GOLD"
"3032","Bundle branch block unspecified","G565000",,"3038","CPRD_GOLD"
"3232","Direct current cardioversion","7L1H000",,"34570","CPRD_GOLD"
"3418","Paroxysmal ventricular tachycardia","G571.00",,"7444","CPRD_GOLD"
"3603","Partial atrioventricular block","G561.00",,"408","CPRD_GOLD"
"3757","ECG: atrial fibrillation","3272.00",,"122272","CPRD_GOLD"
"3769","Stokes-Adams syndrome","G56z000",,"1392","CPRD_GOLD"
"3810","Complete atrioventricular block","G560.00",,"3460","CPRD_GOLD"
"3849","Persistent sinus bradycardia","G57y000",,"6202","CPRD_GOLD"
"3909","Premature beats","G576.11",,"384","CPRD_GOLD"
"4044","Cardiac dysrhythmias","G57..00",,"10238","CPRD_GOLD"
"4327","Implant of cardiac pacemaker with complication, no blame","TB01000",,"512","CPRD_GOLD"
"4374","Ventricular fibrillation and flutter","G574.00",,"849","CPRD_GOLD"
"4421","Heart beats irregular","G57y.14",,"24521","CPRD_GOLD"
"4549","Heart block","G56..12",,"25020","CPRD_GOLD"
"4690","ECG: left bundle branch block","329A.00",,"11762","CPRD_GOLD"
"4772","Skipped beat","G57y.13",,"785","CPRD_GOLD"
"4802","Ventricular ectopic beats","G576200",,"21040","CPRD_GOLD"
"4827","Ventricular fibrillation","G574000",,"1768","CPRD_GOLD"
"4924","ECG: ventricular tachycardia","3282.00",,"2563","CPRD_GOLD"
"4940","Paroxysmal supraventricular tachycardia","G570.00",,"14332","CPRD_GOLD"
"5285","ECG: ectopic beats","326..00",,"566","CPRD_GOLD"
"5484","Ventricular flutter","G574100",,"51","CPRD_GOLD"
"5576","Sick sinus syndrome","G57y300",,"6907","CPRD_GOLD"
"5714","Atrioventricular dissociation","G56y100",,"129","CPRD_GOLD"
"5924","Introduction of cardiac pacemaker system via vein","7936.00",,"8497","CPRD_GOLD"
"5925","O/E - collapse -cardiac arrest","2241.00",,"2301","CPRD_GOLD"
"6009","Maintenance of cardiac pacemaker system NEC","7937300",,"2511","CPRD_GOLD"
"6319","ECG:left ventricle hypertrophy","324..00",,"12735","CPRD_GOLD"
"6345","H/O: atrial fibrillation","14AN.00",,"21853","CPRD_GOLD"
"6503","Cardiac arrhythmias","G57..11",,"15570","CPRD_GOLD"
"6771","ECG: atrial flutter","3273.00",,"7947","CPRD_GOLD"
"7005","Sinus tachycardia","G57y700",,"27209","CPRD_GOLD"
"7189","Cardioversion and stimulation","7L1H.11",,"5855","CPRD_GOLD"
"7388","Internal electrode cardioversion","7L1H200",,"432","CPRD_GOLD"
"7410","Sinoatrial node dysfunction NOS","G57y400",,"759","CPRD_GOLD"
"7457","Ectopic beats","G576.00",,"17021","CPRD_GOLD"
"7482","Left bundle branch hemiblock","G562.00",,"1906","CPRD_GOLD"
"7630","Electromechanical dissociation","G575300",,"35","CPRD_GOLD"
"7783","ECG: myocardial infarction","323..00",,"1899","CPRD_GOLD"
"7794","Ventricular tachycardia","G571.11",,"4451","CPRD_GOLD"
"7827","Other cardiac dysrhythmias","G57y.00",,"3658","CPRD_GOLD"
"7945","Hypsarrhythmia","F256000",,"177","CPRD_GOLD"
"8230","Wolff-Parkinson-White syndrome","G567400",,"10512","CPRD_GOLD"
"8246","ECG: myocardial ischaemia","322..00",,"3146","CPRD_GOLD"
"8326","Implantation of permanent intravenous cardiac pacemaker","7936600",,"3753","CPRD_GOLD"
"8651","Nodal rhythm disorder","G57y600",,"267","CPRD_GOLD"
"8656","Implantation of cardiac pacemaker system NEC","7937000",,"11678","CPRD_GOLD"
"8841","Seen by cardiac pacemaker technician","9N2b.00",,"24249","CPRD_GOLD"
"9023","Atrial premature depolarization","G576300",,"277","CPRD_GOLD"
"9479","Implant intravenous pacemaker for atrial fibrillation","7936A00",,"159","CPRD_GOLD"
"9515","Bigeminal pulse","G57y800",,"2022","CPRD_GOLD"
"9563","Pulse missed beats","G57y.12",,"1377","CPRD_GOLD"
"9878","H/O: cardiac pacemaker","14V1.11",,"5404","CPRD_GOLD"
"9906","Right bundle branch block","G564.00",,"9697","CPRD_GOLD"
"10160","Implantation of internal cardiac defibrillator","7937500",,"4735","CPRD_GOLD"
"10712","Trifascicular block","G565400",,"811","CPRD_GOLD"
"10922","Mobitz type II atrioventricular block","G561200",,"633","CPRD_GOLD"
"11063","Introduction of intravenous cardiac pacemaker system","7936.11",,"194","CPRD_GOLD"
"11794","ECG: left ventricular strain","32L..00",,"806","CPRD_GOLD"
"12149","First degree atrioventricular block","G561100",,"3845","CPRD_GOLD"
"12237","Left axis deviation","32J5.00",,"1158","CPRD_GOLD"
"12375","History of supraventricular tachycardia","14AQ.00",,"9877","CPRD_GOLD"
"12671","[D]Asystolic vasovagal syncope","R002600",,"1757","CPRD_GOLD"
"13854","ECG: heart block","329..00",,"4371","CPRD_GOLD"
"13857","ECG: shows LVH","3242.00",,"4722","CPRD_GOLD"
"16279","H/O: cardiac pacemaker in situ","14V1.00",,"1841","CPRD_GOLD"
"16788","Other cardiac pacemaker system","7937.00",,"3847","CPRD_GOLD"
"17206","Bifascicular block","G565500",,"714","CPRD_GOLD"
"17550","ECG: extrasystole","3262.00",,"864","CPRD_GOLD"
"17597","ECG: supraventricular arrhythmia","327..00",,"1419","CPRD_GOLD"
"17840","Left bundle branch block","G562.11",,"7363","CPRD_GOLD"
"18113","Implantation of intravenous dual chamber permanent pacemaker","7.94E+03",,"1606","CPRD_GOLD"
"18117","Other bundle branch block","G565.00",,"663","CPRD_GOLD"
"18268","Severe sinus bradycardia","G57y100",,"1139","CPRD_GOLD"
"18357","ECG: paroxysmal atrial tachy.","3274.00",,"1553","CPRD_GOLD"
"18437","Sinoatrial block","G566000",,"222","CPRD_GOLD"
"18768","Right axis deviation","32J6.00",,"141","CPRD_GOLD"
"18955","Mechanical complication of cardiac pacemaker","SP00100",,"1030","CPRD_GOLD"
"19060","ECG: Wenckebach phenomenon","3297.00",,"585","CPRD_GOLD"
"19191","Conduction disorders of heart","G56..11",,"272","CPRD_GOLD"
"19337","Long Q-T syndrome","G56y500",,"3506","CPRD_GOLD"
"19707","ECG: ventricular arrhythmia","328..00",,"916","CPRD_GOLD"
"19826","Negative exercise ECG test","3213011",,"1238","CPRD_GOLD"
"19827","Positive exercise ECG test","3213111",,"805","CPRD_GOLD"
"19979","Supraventricular ectopic beats","G576100",,"2839","CPRD_GOLD"
"20953","ECG: ventricular ectopics","3263.00",,"1448","CPRD_GOLD"
"21195","Sudden cardiac death, so described","G575100",,"957","CPRD_GOLD"
"22691","Romano - Ward syndrome","G56y200",,"63","CPRD_GOLD"
