"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"14AD.00","H/O ventricular fibrillation","14AD.00","","IMRD"
"14AN.00","H/O: atrial fibrillation","14AN.00","","IMRD"
"14AP.00","History of ventricular tachycardia","14AP.00","","IMRD"
"14AQ.00","History of supraventricular tachycardia","14AQ.00","","IMRD"
"14AR.00","History of atrial flutter","14AR.00","","IMRD"
"14O7100","At risk of atrial fibrillation","14O7100","","IMRD"
"14V1.00","H/O: cardiac pacemaker in situ","14V1.00","","IMRD"
"14V1.11","H/O: cardiac pacemaker","14V1.11","","IMRD"
"1R00.00","For attempted cardiopulmonary resuscitation","1R00.00","","IMRD"
"1R10.00","Not for attempted CPR (cardiopulmonary resuscitation)","1R10.00","","IMRD"
"212R.00","Atrial fibrillation resolved","212R.00","","IMRD"
"2241.00","O/E - collapse -cardiac arrest","2241.00","","IMRD"
"2JS..00","Patient with internal cardiac defibrillator pacemaker","2JS..00","","IMRD"
"3213011","Negative exercise ECG test","3213011","","IMRD"
"3213100","Exercise ECG abnormal","3213100","","IMRD"
"3213111","Positive exercise ECG test","3213111","","IMRD"
"3214100","Ambulatory ECG abnormal","3214100","","IMRD"
"3217.00","ECG abnormal","3217.00","","IMRD"
"3218.00","ECG - improved","3218.00","","IMRD"
"3219.00","ECG equivocal","3219.00","","IMRD"
"321C.00","ECG sinus rhythm","321C.00","","IMRD"
"321C000","ECG: sinus bradycardia","321C000","","IMRD"
"321C100","ECG: sinus tachycardia","321C100","","IMRD"
"322..00","ECG: myocardial ischaemia","322..00","","IMRD"
"3222.00","ECG:shows myocardial ischaemia","3222.00","","IMRD"
"322Z.00","ECG: myocardial ischaemia NOS","322Z.00","","IMRD"
"323..00","ECG: myocardial infarction","323..00","","IMRD"
"3232.00","ECG: old myocardial infarction","3232.00","","IMRD"
"3233.00","ECG: antero-septal infarct.","3233.00","","IMRD"
"3234.00","ECG:posterior/inferior infarct","3234.00","","IMRD"
"3235.00","ECG: subendocardial infarct","3235.00","","IMRD"
"3236.00","ECG: lateral infarction","3236.00","","IMRD"
"323Z.00","ECG: myocardial infarct NOS","323Z.00","","IMRD"
"324..00","ECG:left ventricle hypertrophy","324..00","","IMRD"
"3242.00","ECG: shows LVH","3242.00","","IMRD"
"324Z.00","ECG: LVH NOS","324Z.00","","IMRD"
"325..00","ECG:right ventricle hypertrop.","325..00","","IMRD"
"3252.00","ECG: shows RVH","3252.00","","IMRD"
"325Z.00","ECG: RVH NOS","325Z.00","","IMRD"
"326..00","ECG: ectopic beats","326..00","","IMRD"
"3262.00","ECG: extrasystole","3262.00","","IMRD"
"3263.00","ECG: ventricular ectopics","3263.00","","IMRD"
"3264.00","ECG: atrial ectopics","3264.00","","IMRD"
"326Z.00","ECG: ectopic beats NOS","326Z.00","","IMRD"
"327..00","ECG: supraventricular arrhythmia","327..00","","IMRD"
"3272.00","ECG: atrial fibrillation","3272.00","","IMRD"
"3273.00","ECG: atrial flutter","3273.00","","IMRD"
"3274.00","ECG: paroxysmal atrial tachy.","3274.00","","IMRD"
"327Z.00","ECG: supraventric. arryth. NOS","327Z.00","","IMRD"
"328..00","ECG: ventricular arrhythmia","328..00","","IMRD"
"3282.00","ECG: ventricular tachycardia","3282.00","","IMRD"
"3283.00","ECG: ventricular fibrillation","3283.00","","IMRD"
"328Z.00","ECG: ventricular arrhythmia NOS","328Z.00","","IMRD"
"329..00","ECG: heart block","329..00","","IMRD"
"3292.00","ECG: partial sinu-atrial block","3292.00","","IMRD"
"3293.00","ECG:complete sinu-atrial block","3293.00","","IMRD"
"3294.00","ECG:partial A-V block-long P-R","3294.00","","IMRD"
"3295.00","ECG: partial A-V block - 2:1","3295.00","","IMRD"
"3296.00","ECG: partial A-V block - 3:1","3296.00","","IMRD"
"3297.00","ECG: Wenckebach phenomenon","3297.00","","IMRD"
"3297.11","Electrocardiogram: Mobitz type 1 second degree AV block","3297.11","","IMRD"
"3298.00","ECG: complete A-V block","3298.00","","IMRD"
"3299.00","ECG: right bundle branch block","3299.00","","IMRD"
"329A.00","ECG: left bundle branch block","329A.00","","IMRD"
"329B.00","ECG: trifascicular block","329B.00","","IMRD"
"329C.00","ECG: bifascicular block","329C.00","","IMRD"
"329D.00","ECG: left anterior fascicular block","329D.00","","IMRD"
"329E.00","ECG: left posterior fascicular block","329E.00","","IMRD"
"329F.00","ECG: right bundle branch and left anterior fascicular block","329F.00","","IMRD"
"329G.00","ECG: right bundle branch and left posterior fascicular block","329G.00","","IMRD"
"329H.00","Electrocardiogram: Mobitz type 2 second degree AV block","329H.00","","IMRD"
"329Z.00","ECG: heart block NOS","329Z.00","","IMRD"
"32A2.00","ECG: P wave abnormal","32A2.00","","IMRD"
"32A3.00","ECG: P mitrale","32A3.00","","IMRD"
"32A4.00","ECG: P pulmonale","32A4.00","","IMRD"
"32B..00","ECG: Q wave","32B..00","","IMRD"
"32B2.00","ECG: Q wave abnormal","32B2.00","","IMRD"
"32B3.00","ECG: Q wave pathological","32B3.00","","IMRD"
"32BZ.00","ECG: Q wave NOS","32BZ.00","","IMRD"
"32C..00","ECG: R wave","32C..00","","IMRD"
"32C2.00","ECG: R wave abnormal","32C2.00","","IMRD"
"32C3.00","ECG: R wave tall","32C3.00","","IMRD"
"32CZ.00","ECG: R wave NOS","32CZ.00","","IMRD"
"32D2.00","ECG: S wave abnormal","32D2.00","","IMRD"
"32D3.00","ECG: S wave deep","32D3.00","","IMRD"
"32E2.00","ECG: S-T interval abnormal","32E2.00","","IMRD"
"32E3.00","ECG: S-T elevation","32E3.00","","IMRD"
"32E4.00","ECG: S-T depression","32E4.00","","IMRD"
"32F2.00","ECG: T wave abnormal","32F2.00","","IMRD"
"32F3.00","ECG: T wave flattened","32F3.00","","IMRD"
"32F4.00","ECG: T wave inverted","32F4.00","","IMRD"
"32FZ.00","ECG: T wave NOS","32FZ.00","","IMRD"
"32G2.00","ECG: U wave abnormal","32G2.00","","IMRD"
"32G3.00","ECG: U wave exaggerated","32G3.00","","IMRD"
"32GZ.00","ECG: U wave NOS","32GZ.00","","IMRD"
"32H..00","ECG: F wave","32H..00","","IMRD"
"32H1.00","ECG: F wave absent","32H1.00","","IMRD"
"32H2.00","ECG: F wave present","32H2.00","","IMRD"
"32HZ.00","ECG: F wave NOS","32HZ.00","","IMRD"
"32I2.00","ECG: P-R interval abnormal","32I2.00","","IMRD"
"32I3.00","ECG: P-R interval prolonged","32I3.00","","IMRD"
"32I4.00","ECG: P-R interval shortened","32I4.00","","IMRD"
"32J2.00","ECG: QRS complex abnormal","32J2.00","","IMRD"
"32J3.00","ECG: QRS complex prolonged","32J3.00","","IMRD"
"32J4.00","ECG: QRS complex shortened","32J4.00","","IMRD"
"32J5.00","Left axis deviation","32J5.00","","IMRD"
"32J6.00","Right axis deviation","32J6.00","","IMRD"
"32K2.00","ECG: Q-T interval abnormal","32K2.00","","IMRD"
"32K3.00","ECG: Q-T interval prolonged","32K3.00","","IMRD"
"32K4.00","ECG: Q-T interval shortened","32K4.00","","IMRD"
"32L..00","ECG: left ventricular strain","32L..00","","IMRD"
"6A9..00","Atrial fibrillation annual review","6A9..00","","IMRD"
"7937.00","Other cardiac pacemaker system","7937.00","","IMRD"
"7932111","Cardiac massage - open","7932111","","IMRD"
"7936.00","Introduction of cardiac pacemaker system via vein","7936.00","","IMRD"
"7936.11","Introduction of intravenous cardiac pacemaker system","7936.11","","IMRD"
"7936000","Implantation of intravenous cardiac pacemaker system","7936000","","IMRD"
"7936100","Resiting of lead of intravenous pacemaker system","7936100","","IMRD"
"7936200","Maintenance of battery of intravenous cardiac pacemaker syst","7936200","","IMRD"
"7936300","Maintenance of intravenous cardiac pacemaker system NEC","7936300","","IMRD"
"7936400","Removal of intravenous cardiac pacemaker system","7936400","","IMRD"
"7936500","Implantation of emergency intravenous cardiac pacemaker","7936500","","IMRD"
"7936511","Implantation of temporary intravenous cardiac pacemaker","7936511","","IMRD"
"7936600","Implantation of permanent intravenous cardiac pacemaker","7936600","","IMRD"
"7936700","Implantation of intravenous fixed-rate cardiac pacemaker","7936700","","IMRD"
"7936800","Implantation of intravenous triggered cardiac pacemaker","7936800","","IMRD"
"7936900","Implantation of intravenous atrial overdrive pacemaker","7936900","","IMRD"
"7936A00","Implant intravenous pacemaker for atrial fibrillation","7936A00","","IMRD"
"7936B00","Implantation simple one wire intravenous cardiac pacemaker","7936B00","","IMRD"
"7936C00","Implantation of complex 1 wire intravenous cardiac pacemaker","7936C00","","IMRD"
"7936D00","Implantation complex two wire intravenous cardiac pacemaker","7936D00","","IMRD"
"7936E00","Implantation of intravenous dual chamber permanent pacemaker","7936E00","","IMRD"
"7936F00","Renewal of intravenous cardiac pacemaker system","7936F00","","IMRD"
"7936G00","Implantat intraven single chamber cardiac pacemaker system","7936G00","","IMRD"
"7936H00","Implantat intravenous dual chamber cardiac pacemaker system","7936H00","","IMRD"
"7936J00","Implantat intravenous biventricular cardiac pacemaker system","7936J00","","IMRD"
"7936K00","Implantation of intravenous cardiac pacemaker system NEC","7936K00","","IMRD"
"7936y00","Other specified cardiac pacemaker system introduced via vein","7936y00","","IMRD"
"7936z00","Cardiac pacemaker system introduced via vein NOS","7936z00","","IMRD"
"7937000","Implantation of cardiac pacemaker system NEC","7937000","","IMRD"
"7937100","Resiting of lead of cardiac pacemaker system NEC","7937100","","IMRD"
"7937200","Maintenance of battery of cardiac pacemaker system NEC","7937200","","IMRD"
"7937300","Maintenance of cardiac pacemaker system NEC","7937300","","IMRD"
"7937400","Removal of cardiac pacemaker system NEC","7937400","","IMRD"
"7937500","Implantation of internal cardiac defibrillator","7937500","","IMRD"
"7937600","Removal of internal cardiac defibrillator","7937600","","IMRD"
"7937700","Implantation of single chamber cardiac pacemaker system","7937700","","IMRD"
"7937800","Implantation of dual chamber cardiac pacemaker system","7937800","","IMRD"
"7937900","Implantation of biventricular cardiac pacemaker system","7937900","","IMRD"
"7937y00","Other specified other cardiac pacemaker system","7937y00","","IMRD"
"7937z00","Other cardiac pacemaker system NOS","7937z00","","IMRD"
"793F.00","Cardioverter defibrillator introduced through the vein","793F.00","","IMRD"
"793F000","Implantat cardioverter defibrillator us one electrode lead","793F000","","IMRD"
"793F100","Implant cardioverter defibrillator using two electrode leads","793F100","","IMRD"
"793F200","Resiting of lead of cardioverter defibrillator","793F200","","IMRD"
"793F300","Renewal of cardioverter defibrillator","793F300","","IMRD"
"793F400","Removal of cardioverter defibrillator","793F400","","IMRD"
"793F500","mplantat cardiovert defibrillator us three electrode leads","793F500","","IMRD"
"793Fy00","Other specified cardioverter defibrillator intro thr vein","793Fy00","","IMRD"
"793Fz00","Cardioverter defibrillator introduced through the vein NOS","793Fz00","","IMRD"
"793M100","Perc transluminal ablation of atrial wall for atrial flutter","793M100","","IMRD"
"793M200","Percutaneous transluminal internal cardioversion NEC","793M200","","IMRD"
"793M300","Perc translum ablat conduct sys heart for atrial flutter NEC","793M300","","IMRD"
"793P.00","Other cardioverter defibrillator","793P.00","","IMRD"
"793P000","Implantation of subcutaneous cardioverter defibrillator","793P000","","IMRD"
"793P100","Resiting of lead of subcutaneous cardioverter defibrillator","793P100","","IMRD"
"793P200","Renewal of subcutaneous cardioverter defibrillator","793P200","","IMRD"
"793P300","Removal of subcutaneous cardioverter defibrillator","793P300","","IMRD"
"793Py00","Other specified other cardioverter defibrillator","793Py00","","IMRD"
"793Pz00","Unspecified other cardioverter defibrillator","793Pz00","","IMRD"
"7L1H.11","Cardioversion and stimulation","7L1H.11","","IMRD"
"7L1H.13","Defibrillation","7L1H.13","","IMRD"
