"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"251783011","H/O: eczema","14F1.00","161561009","CPRD_AURUM"
"1779345010","Infected eczema","M12z200","400079002","CPRD_AURUM"
"889151000006115","Dermatitis/eczemas NOS","M111.97","24079001","CPRD_AURUM"
"889161000006118","Atopic eczema/dermatitis","M111.98","24079001","CPRD_AURUM"
"889171000006113","Dermatitis/eczemas","M111.99","24079001","CPRD_AURUM"
"905661000006119","[RFC] Eczema","","905661000006103","CPRD_AURUM"
"950591000006112","Dermatitis/eczema","","950591000006108","CPRD_AURUM"
"1008901000006113","Eczema/Dermatitis","","1008901000006109","CPRD_AURUM"
"308485016","Atopic dermatitis and related conditions","M11..00","24079001","CPRD_AURUM"
"195021000006118","Pustular eczema","M07y.11","123700004","CPRD_AURUM"
"2884341000006119","AD - Atopic dermatitis","","24079001","CPRD_AURUM"
"6634251000006113","Infective eczema","","400079002","CPRD_AURUM"
"2884311000006118","Allergic eczema","","24079001","CPRD_AURUM"
"2884301000006116","Atopic eczema","","24079001","CPRD_AURUM"
"4541271000006119","History of eczema","","161561009","CPRD_AURUM"
"12727631000006116","Eczema NOS","","684861000000105","CPRD_AURUM"
"12733251000006118","Atopic dermatitis NOS","","584621000000108","CPRD_AURUM"
"889191000006114","Atopic eczema/dermatitis NOS","M11z.99","584621000000108","CPRD_AURUM"
"889251000006111","Chronic Eczema","M12z199","684861000000105","CPRD_AURUM"
"94953018","Flexural eczema","M113.00","57092006","CPRD_AURUM"
"939541000006111","[RFC] Eczema","","939541000006107","CPRD_AURUM"
"399917015","Eczema NOS","M12z100","43116000","CPRD_AURUM"
"1779279014","Erythrodermic eczema","M12z400","400005007","CPRD_AURUM"
"4804211000006119","Besnier prurigo","","200773006","CPRD_AURUM"
"1577061000006119","Eczema/Dermatitis","","1577061000006103","CPRD_AURUM"
"308489010","Besnier's prurigo","M115.00","200773006","CPRD_AURUM"
"192189011","Pustular eczema","M102.11","123700004","CPRD_AURUM"
"676461000006118","Neurodermatitis - atopic","M117.00","200775004","CPRD_AURUM"
"308497015","Atopic dermatitis NOS","M11z.00","24079001","CPRD_AURUM"
"10111000033114","Psoriasis And Eczema","","10111000033105","CPRD_AURUM"
"477121000006119","Allergic (intrinsic) eczema","M114.00","24079001","CPRD_AURUM"
"497341000006116","Atopic dermatitis/eczema","M111.00","24079001","CPRD_AURUM"
"309315018","[X]Dermatitis and eczema","Myu2.00","43116000","CPRD_AURUM"
"980491000006115","[X]Exacerbation of eczema","Myu2200","135843006","CPRD_AURUM"
