"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"230","Eczema NOS","M12z100",,"2183211","CPRD_GOLD"
"1240","Flexural eczema","M113.00",,"142812","CPRD_GOLD"
"1424","Infected eczema","M12z200",,"219093","CPRD_GOLD"
"1741","Atopic dermatitis/eczema","M111.00",,"2127743","CPRD_GOLD"
"2859","H/O: eczema","14F1.00",,"301629","CPRD_GOLD"
"5000","Pustular eczema","M102.11",,"10595","CPRD_GOLD"
"5869","Allergic (intrinsic) eczema","M114.00",,"31940","CPRD_GOLD"
"6180","Atopic dermatitis NOS","M11z.00",,"11680","CPRD_GOLD"
"8994","Erythrodermic eczema","M12z400",,"2448","CPRD_GOLD"
"10840","Neurodermatitis - atopic","M117.00",,"2048","CPRD_GOLD"
"13223","Atopic dermatitis and related conditions","M11..00",,"11487","CPRD_GOLD"
"15372","Pustular eczema","M07y.11",,"2196","CPRD_GOLD"
"22764","[X]Exacerbation of eczema","Myu2200",,"6673","CPRD_GOLD"
"38673","Besnier's prurigo","M115.00",,"339","CPRD_GOLD"
"39721","[X]Dermatitis and eczema","Myu2.00",,"2039","CPRD_GOLD"
