"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"E140.00","Infantile autism","E140.00","","IMRD"
"E140.11","Kanner's syndrome","E140.11","","IMRD"
"E140.12","Autism","E140.12","","IMRD"
"E140.13","Childhood autism","E140.13","","IMRD"
"E140000","Active infantile autism","E140000","","IMRD"
"E140100","Residual infantile autism","E140100","","IMRD"
"E140z00","Infantile autism NOS","E140z00","","IMRD"
"Eu84012","[X]Infantile autism","Eu84012","","IMRD"
"Eu84000","[X]Childhood autism","Eu84000","","IMRD"
"Eu84011","[X]Autistic disorder","Eu84011","","IMRD"
"Eu84014","[X]Kanner's syndrome","Eu84014","","IMRD"
"Eu84100","[X]Atypical autism","Eu84100","","IMRD"
"Eu84112","[X]Mental retardation with autistic features","Eu84112","","IMRD"
"Eu84500","[X]Asperger's syndrome","Eu84500","","IMRD"
"Eu84511","[X]Autistic psychopathy","Eu84511","","IMRD"
"Eu84z11","[X]Autistic spectrum disorder","Eu84z11","","IMRD"
