"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"1531","[X]Manic-depressive illness","Eu31.11",,"9609","CPRD_GOLD"
"3702","Bipolar affective disorder, currently manic","E114.00",,"757","CPRD_GOLD"
"4677","Bipolar affective disorder, currently depressed","E115.00",,"809","CPRD_GOLD"
"4678","[X]Mania NOS","Eu30z11",,"2426","CPRD_GOLD"
"4732","[X]Bipolar affect dis cur epi severe depres with psyc symp","Eu31500",,"136","CPRD_GOLD"
"6710","[X]Manic-depressive psychosis","Eu31.12",,"1861","CPRD_GOLD"
"6874","[X]Bipolar affective disorder","Eu31.00",,"63732","CPRD_GOLD"
"8567","Bipolar psychoses","E11..11",,"9199","CPRD_GOLD"
"9521","[X]Bipolar disorder, single manic episode","Eu30.11",,"1092","CPRD_GOLD"
"11548","H/O: manic depressive disorder","146D.00",,"2321","CPRD_GOLD"
"11596","Unspecified manic-depressive psychoses","E11y000",,"1022","CPRD_GOLD"
"12173","[X]Manic episode","Eu30.00",,"3126","CPRD_GOLD"
"12831","Manic-depressive - now depressed","E115.11",,"1133","CPRD_GOLD"
"13024","[X]Mania without psychotic symptoms","Eu30100",,"1285","CPRD_GOLD"
"14728","Single manic episode, mild","E110100",,"4603","CPRD_GOLD"
"14784","Unspecified bipolar affective disorder","E117.00",,"7671","CPRD_GOLD"
"15923","Bipolar affective disorder, currently depressed, unspecified","E115000",,"107","CPRD_GOLD"
"16347","Bipolar affect disord, currently manic, severe, no psychosis","E114300",,"30","CPRD_GOLD"
"16562","[X]Bipolar affect disorder cur epi mild or moderate depressn","Eu31300",,"544","CPRD_GOLD"
"16808","[X]Bipolar affective disorder, current episode hypomanic","Eu31000",,"1287","CPRD_GOLD"
"17385","Manic-depressive - now manic","E114.11",,"711","CPRD_GOLD"
"19345","Psychosis, schizophrenia + bipolar affective disord resolved","212T.00",,"2488","CPRD_GOLD"
"19967","Recurrent manic episodes, unspecified","E111000",,"332","CPRD_GOLD"
"20110","Single manic episode, unspecified","E110000",,"1387","CPRD_GOLD"
"21065","[X]Mania with psychotic symptoms","Eu30200",,"1148","CPRD_GOLD"
"21540","[X]Cyclothymia","Eu34000",,"2549","CPRD_GOLD"
"22080","[V]Personal history of manic-depressive psychosis","ZV11112",,"145","CPRD_GOLD"
"23713","[X]Bipol aff disord, curr epis sev depress, no psychot symp","Eu31400",,"151","CPRD_GOLD"
"23963","[V]Personal history of manic-depressive psychosis","ZV11111",,"285","CPRD_GOLD"
"24230","Unspecified bipolar affective disorder, in full remission","E117600",,"417","CPRD_GOLD"
"24640","Single manic episode, moderate","E110200",,"28","CPRD_GOLD"
"24689","Mixed bipolar affective disorder, mild","E116100",,"41","CPRD_GOLD"
"26227","Recurrent manic episodes","E111.00",,"328","CPRD_GOLD"
"26299","[X]Bipolar affect disorder cur epi manic wout psychotic symp","Eu31100",,"81","CPRD_GOLD"
"27584","[X]Bipolar affective disorder, currently in remission","Eu31700",,"2233","CPRD_GOLD"
"27739","Recurrent manic episodes, moderate","E111200",,"34","CPRD_GOLD"
"27890","Bipolar affective disorder, currently depressed, moderate","E115200",,"85","CPRD_GOLD"
"27986","Unspecified bipolar affective disorder, NOS","E117z00",,"457","CPRD_GOLD"
"28277","[X]Bipolar affect disorder cur epi manic with psychotic symp","Eu31200",,"200","CPRD_GOLD"
"28677","[X]Manic-depress psychosis,depressed type+psychotic symptoms","Eu33312",,"153","CPRD_GOLD"
"29451","[X]Manic-depress psychosis,depressd,no psychotic symptoms","Eu33213",,"147","CPRD_GOLD"
"30282","Profile of mood states, bipolar","ZRby100",,"378","CPRD_GOLD"
"31316","Mixed bipolar affective disorder","E116.00",,"2025","CPRD_GOLD"
"31535","Mixed bipolar affective disorder, unspecified","E116000",,"627","CPRD_GOLD"
"32088","[X]Other manic episodes","Eu30y00",,"48","CPRD_GOLD"
"32295","Recurrent manic episodes, severe, with psychosis","E111400",,"43","CPRD_GOLD"
"33426","Other and unspecified manic-depressive psychoses NOS","E11yz00",,"74","CPRD_GOLD"
"33751","[X]Bipolar affective disorder, unspecified","Eu31z00",,"861","CPRD_GOLD"
"35607","Bipolar affect disord, now depressed, severe, no psychosis","E115300",,"35","CPRD_GOLD"
"35734","Bipolar affective disorder, currently depressed, mild","E115100",,"82","CPRD_GOLD"
"35738","Bipolar affective disorder, currently manic, unspecified","E114000",,"115","CPRD_GOLD"
"36126","Bipolar affective disorder, currently manic, mild","E114100",,"64","CPRD_GOLD"
"36611","Manic disorder, single episode NOS","E110z00",,"117","CPRD_GOLD"
"37070","Manic disorder, single episode","E110.00",,"1504","CPRD_GOLD"
"37102","[X]Mania with mood-congruent psychotic symptoms","Eu30211",,"44","CPRD_GOLD"
"37178","Recurrent manic episodes, in full remission","E111600",,"188","CPRD_GOLD"
"37296","Bipolar affective disorder, currently depressed, NOS","E115z00",,"115","CPRD_GOLD"
"43093","Single manic episode, severe without mention of psychosis","E110300",,"14","CPRD_GOLD"
"44513","[X]Manic episode, unspecified","Eu30z00",,"298","CPRD_GOLD"
"44693","[X]Bipolar affective disorder, current episode mixed","Eu31600",,"159","CPRD_GOLD"
"46415","Recurrent manic episode NOS","E111z00",,"291","CPRD_GOLD"
"46425","Recurrent manic episodes, mild","E111100",,"23","CPRD_GOLD"
"46434","Bipolar affective disorder, currently manic, moderate","E114200",,"64","CPRD_GOLD"
"48632","[X]Mania with mood-incongruent psychotic symptoms","Eu30212",,"22","CPRD_GOLD"
"49763","Unspecified bipolar affective disorder, unspecified","E117000",,"118","CPRD_GOLD"
"50218","Single manic episode, severe, with psychosis","E110400",,"53","CPRD_GOLD"
"51032","[X]Recurrent manic episodes","Eu31y12",,"213","CPRD_GOLD"
"53840","[X]Other bipolar affective disorders","Eu31y00",,"147","CPRD_GOLD"
"54195","Mixed bipolar affective disorder, severe, with psychosis","E116400",,"61","CPRD_GOLD"
"55064","Mixed bipolar affective disorder, in full remission","E116600",,"150","CPRD_GOLD"
"55829","Bipolar affect disord, currently manic,severe with psychosis","E114400",,"63","CPRD_GOLD"
"57465","Bipolar affective disorder, now depressed, in full remission","E115600",,"118","CPRD_GOLD"
"57605","Bipolar affective disorder, currently manic, NOS","E114z00",,"104","CPRD_GOLD"
"58863","Recurrent manic episodes, partial or unspecified remission","E111500",,"3","CPRD_GOLD"
"59011","Bipolar affect disord,currently manic, part/unspec remission","E114500",,"13","CPRD_GOLD"
"60178","Other and unspecified manic-depressive psychoses","E11y.00",,"363","CPRD_GOLD"
"63150","Mixed bipolar affective disorder, moderate","E116200",,"63","CPRD_GOLD"
"63284","Mixed bipolar affective disorder, severe, without psychosis","E116300",,"26","CPRD_GOLD"
"63583","Mixed bipolar affective disorder, NOS","E116z00",,"242","CPRD_GOLD"
"63651","Mixed bipolar affective disorder, partial/unspec remission","E116500",,"8","CPRD_GOLD"
"63698","Unspecified bipolar affective disorder, mild","E117100",,"15","CPRD_GOLD"
"63701","Bipolar affect disord, now depressed, severe with psychosis","E115400",,"21","CPRD_GOLD"
"63784","Bipolar affective disorder, currently manic, full remission","E114600",,"84","CPRD_GOLD"
