"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"348","Ca female breast","B34..11","","CPRD_GOLD"
"3968","Malignant neoplasm of female breast","B34..00","","CPRD_GOLD"
"5411","Benign neoplasm of breast","B77..00","","CPRD_GOLD"
"7833","Carcinoma in situ of breast","B830.00","","CPRD_GOLD"
"9470","Malignant neoplasm of female breast NOS","B34z.00","","CPRD_GOLD"
"10387","Lobular carcinoma in situ of breast","B830000","","CPRD_GOLD"
"12300","[M]Paget's disease, mammary","BB9J.00","","CPRD_GOLD"
"12480","[M]Paget's disease and intraductal carcinoma of breast","BB9K000","","CPRD_GOLD"
"12499","[X]Malignant neoplasm of breast","Byu6.00","","CPRD_GOLD"
"16639","[V]Personal history of malignant neoplasm of breast","ZV10300","","CPRD_GOLD"
"18694","Intraductal carcinoma in situ of breast","B830100","","CPRD_GOLD"
"19138","Benign neoplasm of female breast","B770.00","","CPRD_GOLD"
"19423","Malignant neoplasm of male breast","B35..00","","CPRD_GOLD"
"20685","Malignant neoplasm of axillary tail of female breast","B346.00","","CPRD_GOLD"
"23380","Malignant neoplasm of nipple of female breast","B340000","","CPRD_GOLD"
"23399","Malignant neoplasm of upper-outer quadrant of female breast","B344.00","","CPRD_GOLD"
"26853","Malignant neoplasm of nipple and areola of female breast","B340.00","","CPRD_GOLD"
"28870","Benign neoplasm of breast NOS","B77z.00","","CPRD_GOLD"
"29826","Malignant neoplasm of upper-inner quadrant of female breast","B342.00","","CPRD_GOLD"
"31546","Malignant neoplasm of central part of female breast","B341.00","","CPRD_GOLD"
"36884","[V]Personal history of non-neoplastic breast disease","ZV13A00","","CPRD_GOLD"
"38475","Malignant neoplasm of other site of female breast NOS","B34yz00","","CPRD_GOLD"
"40359","[M]Juvenile breast carcinoma","BB94.00","","CPRD_GOLD"
"42070","Malignant neoplasm of lower-outer quadrant of female breast","B345.00","","CPRD_GOLD"
"42542","[M]Paget's disease and infiltrating breast duct carcinoma","BB9K.00","","CPRD_GOLD"
"45222","Malignant neoplasm of lower-inner quadrant of female breast","B343.00","","CPRD_GOLD"
"45681","Carcinoma in situ of breast and genitourinary system","B83..00","","CPRD_GOLD"
"48809","Malignant neoplasm of male breast NOS","B35zz00","","CPRD_GOLD"
"49148","Malignant neoplasm, overlapping lesion of breast","B347.00","","CPRD_GOLD"
"51631","Benign neoplasm of male breast","B771.00","","CPRD_GOLD"
"53803","[X]Other carcinoma in situ of breast","ByuFG00","","CPRD_GOLD"
"54202","Malignant neoplasm of other site of male breast","B35z.00","","CPRD_GOLD"
"54494","Malignant neoplasm of nipple and areola of male breast","B350.00","","CPRD_GOLD"
"56715","Malignant neoplasm of other site of female breast","B34y.00","","CPRD_GOLD"
"59831","Malignant neoplasm of nipple or areola of female breast NOS","B340z00","","CPRD_GOLD"
"60803","[M]Paget's disease, breast","BB9J.11","","CPRD_GOLD"
"64686","Malignant neoplasm of areola of female breast","B340100","","CPRD_GOLD"
"67701","[M]Secretory breast carcinoma","BB94.11","","CPRD_GOLD"
"67884","Malignant neoplasm of areola of male breast","B350100","","CPRD_GOLD"
"68480","Malignant neoplasm of nipple of male breast","B350000","","CPRD_GOLD"
"105488","Local recurrence of malignant tumour of breast","B36..00","","CPRD_GOLD"
