"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"B34..00","Malignant neoplasm of female breast","B34..00",,"163406","IMRD"
"B34..11","Ca female breast","B34..11",,"55777","IMRD"
"B340.00","Malignant neoplasm of nipple and areola of female breast","B340.00",,"539","IMRD"
"B340000","Malignant neoplasm of nipple of female breast","B340000",,"188","IMRD"
"B340100","Malignant neoplasm of areola of female breast","B340100",,"40","IMRD"
"B340z00","Malignant neoplasm of nipple or areola of female breast NOS","B340z00",,"35","IMRD"
"B341.00","Malignant neoplasm of central part of female breast","B341.00",,"223","IMRD"
"B342.00","Malignant neoplasm of upper-inner quadrant of female breast","B342.00",,"579","IMRD"
"B343.00","Malignant neoplasm of lower-inner quadrant of female breast","B343.00",,"237","IMRD"
"B344.00","Malignant neoplasm of upper-outer quadrant of female breast","B344.00",,"1516","IMRD"
"B345.00","Malignant neoplasm of lower-outer quadrant of female breast","B345.00",,"239","IMRD"
"B346.00","Malignant neoplasm of axillary tail of female breast","B346.00",,"113","IMRD"
"B347.00","Malignant neoplasm, overlapping lesion of breast","B347.00",,"32","IMRD"
"B34y.00","Malignant neoplasm of other site of female breast","B34y.00",,"112","IMRD"
"B34yz00","Malignant neoplasm of other site of female breast NOS","B34yz00",,"84","IMRD"
"B34z.00","Malignant neoplasm of female breast NOS","B34z.00",,"14942","IMRD"
"B35..00","Malignant neoplasm of male breast","B35..00",,"826","IMRD"
"B350.00","Malignant neoplasm of nipple and areola of male breast","B350.00",,"5","IMRD"
"B350000","Malignant neoplasm of nipple of male breast","B350000",,"7","IMRD"
"B350100","Malignant neoplasm of areola of male breast","B350100",,"1","IMRD"
"B350z00","Malignant neoplasm of nipple or areola of male breast NOS","B350z00",,"2","IMRD"
"B35z.00","Malignant neoplasm of other site of male breast","B35z.00",,"7","IMRD"
"B35zz00","Malignant neoplasm of male breast NOS","B35zz00",,"69","IMRD"
"B36..00","Local recurrence of malignant tumour of breast","B36..00",,"402","IMRD"
"B77..00","Benign neoplasm of breast","B77..00",,"11898","IMRD"
"B770.00","Benign neoplasm of female breast","B770.00",,"1863","IMRD"
"B771.00","Benign neoplasm of male breast","B771.00",,"35","IMRD"
"B77z.00","Benign neoplasm of breast NOS","B77z.00",,"691","IMRD"
"B83..00","Carcinoma in situ of breast and genitourinary system","B83..00",,"54","IMRD"
"B830.00","Carcinoma in situ of breast","B830.00",,"10808","IMRD"
"B830000","Lobular carcinoma in situ of breast","B830000",,"1455","IMRD"
"B830100","Intraductal carcinoma in situ of breast","B830100",,"2281","IMRD"
"BB94.00","[M]Juvenile breast carcinoma","BB94.00",,"38","IMRD"
"BB94.11","[M]Secretory breast carcinoma","BB94.11",,"78","IMRD"
"BB9J.00","[M]Paget's disease, mammary","BB9J.00",,"836","IMRD"
"BB9J.11","[M]Paget's disease, breast","BB9J.11",,"75","IMRD"
"BB9K.00","[M]Paget's disease and infiltrating breast duct carcinoma","BB9K.00",,"114","IMRD"
"BB9K000","[M]Paget's disease and intraductal carcinoma of breast","BB9K000",,"444","IMRD"
"Byu6.00","[X]Malignant neoplasm of breast","Byu6.00",,"1775","IMRD"
"ByuFG00","[X]Other carcinoma in situ of breast","ByuFG00",,"152","IMRD"
"ZV10300","[V]Personal history of malignant neoplasm of breast","ZV10300",,"506","IMRD"
"ZV13A00","[V]Personal history of non-neoplastic breast disease","ZV13A00",,"92","IMRD"
