"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"794","Emphysema","H32..00",,"71192","CPRD_GOLD"
"998","Chronic obstructive airways disease","H3...11",,"236692","CPRD_GOLD"
"1001","Chronic obstructive pulmonary disease","H3...00",,"532462","CPRD_GOLD"
"1446","Acute exacerbation of chronic obstructive airways disease","H312200",,"282474","CPRD_GOLD"
"3243","Chronic bronchitis","H31..00",,"34372","CPRD_GOLD"
"5710","Chronic obstructive airways disease NOS","H3z..00",,"114423","CPRD_GOLD"
"5909","Chronic wheezy bronchitis","H312011",,"628","CPRD_GOLD"
"7884","Chron obstruct pulmonary dis wth acute exacerbation, unspec","H3y1.00",,"88078","CPRD_GOLD"
"9520","Chronic obstructive pulmonary disease monitoring","66YB.00",,"339325","CPRD_GOLD"
"9876","Severe chronic obstructive pulmonary disease","H38..00",,"39765","CPRD_GOLD"
"10403","At risk of chronic obstructive pulmonary disease","14OJ.00",,"13971","CPRD_GOLD"
"10802","Moderate chronic obstructive pulmonary disease","H37..00",,"92712","CPRD_GOLD"
"10863","Mild chronic obstructive pulmonary disease","H36..00",,"96001","CPRD_GOLD"
"10980","Centrilobular emphysema","H322.00",,"445","CPRD_GOLD"
"11019","Admit COPD emergency","8H2R.00",,"28834","CPRD_GOLD"
"11150","Mucopurulent chronic bronchitis","H311.00",,"405","CPRD_GOLD"
"11287","Chronic obstructive pulmonary disease annual review","66YM.00",,"1096336","CPRD_GOLD"
"12166","Other specified chronic obstructive airways disease","H3y..00",,"4783","CPRD_GOLD"
"14798","Emphysematous bronchitis","H312100",,"1603","CPRD_GOLD"
"15157","Chronic bronchitis NOS","H31z.00",,"4325","CPRD_GOLD"
"15626","Chronic catarrhal bronchitis","H310000",,"1803","CPRD_GOLD"
"16410","Other emphysema NOS","H32yz00",,"107","CPRD_GOLD"
"18476","COPD follow-up","66YL.11",,"42232","CPRD_GOLD"
"18501","COPD self-management plan given","66YI.00",,"281613","CPRD_GOLD"
"18621","Chronic obstructive pulmonary disease follow-up","66YL.00",,"89426","CPRD_GOLD"
"18792","Chronic obstructive pulmonary disease monitoring admin","9Oi..00",,"25883","CPRD_GOLD"
"19003","Emergency COPD admission since last appointment","66Ye.00",,"41160","CPRD_GOLD"
"19106","COPD accident and emergency attendance since last visit","66Yd.00",,"30326","CPRD_GOLD"
"19434","Suspected chronic obstructive pulmonary disease","1J71.00",,"35212","CPRD_GOLD"
"19721","Chronic obstructive pulmonary disease leaflet given","8CE6.00",,"6580","CPRD_GOLD"
