"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"28040018","Cardiac amyloidosis","G557011","16573007","1094","CPRD_AURUM"
"34556015","Secondary dilated cardiomyopathy","G55y.11","20529002","7800","CPRD_AURUM"
"45604013","Gouty tophi of heart","G557300","27277001","34","CPRD_AURUM"
"75410014","Hypertrophic obstructive cardiomyopathy","G551.00","45227007","32944","CPRD_AURUM"
"100438013","Thyrotoxic heart disease","G557500","60446003","200","CPRD_AURUM"
"103881016","Chondroectodermal dysplasia","PG55.00","62501005","51","CPRD_AURUM"
"108752010","Endocardial fibroelastosis","G553.00","65457005","247","CPRD_AURUM"
"138527014","Alcoholic cardiomyopathy","G555.00","83521008","10555","CPRD_AURUM"
"299796018","Ischaemic cardiomyopathy","G343.00","194849004","14071","CPRD_AURUM"
"300038015","Hypertrophic non-obstructive cardiomyopathy","G554300","195020003","13079","CPRD_AURUM"
"300040013","Primary dilated cardiomyopathy","G554400","195021004","49079","CPRD_AURUM"
"300042017","Nutritional and metabolic cardiomyopathies","G557.00","195023001","29","CPRD_AURUM"
"300046019","Mucopolysaccharidosis cardiomyopathy","G557400","195027000","1","CPRD_AURUM"
"300054017","Cardiomyopathy in myotonic dystrophy","G558100","195031006","321","CPRD_AURUM"
"300055016","Dystrophic cardiomyopathy","G558200","195032004","29","CPRD_AURUM"
"350413012","Congestive obstructive cardiomyopathy","G554011","233871002","10","CPRD_AURUM"
"419130013","Arrhythmogenic right ventricular cardiomyopathy","G559.00","281170005","1535","CPRD_AURUM"
"1778488011","Congestive cardiomyopathy","G554000","399020009","2996","CPRD_AURUM"
"2674238014","Tachycardia-induced cardiomyopathy","G55A.11","426300009","239","CPRD_AURUM"
"2816932015","Takotsubo cardiomyopathy","G554500","441541008","5554","CPRD_AURUM"
"1656521000006113","Arrhythmogenic right ventricular cardiomyopathy","","1656521000006109","0","CPRD_AURUM"
"1705371000000116","Tachycardiomyopathy","G55A.00","426300009","154","CPRD_AURUM"
"2196311000000112","Amyloid cardiomyopathy","G558400","847041000000109","591","CPRD_AURUM"
"395766015","Obscure African cardiomyopathy","G552.00","398754006","11","CPRD_AURUM"
"300032019","Other primary cardiomyopathies","G554.00","85898001","228","CPRD_AURUM"
"300041012","Other primary cardiomyopathy NOS","G554z00","85898001","188","CPRD_AURUM"
"300057012","Cardiomyopathy in diseases EC, NOS","G558z00","195029002","62","CPRD_AURUM"
"300061018","Cardiomyopathy due to drugs and other external agents","G55y000","233880002","838","CPRD_AURUM"
"300910013","[X]Other hypertrophic cardiomyopathy","Gyu5M00","233873004","10048","CPRD_AURUM"
"300911012","[X]Other restrictive cardiomyopathy","Gyu5N00","90828009","515","CPRD_AURUM"
"1778232017","Endomyocardial fibrosis","G550.00","398754006","196","CPRD_AURUM"
"370281000006118","[X]Cardiomyopathy in nutritional diseases CE","Gyu5S00","195023001","2","CPRD_AURUM"
"480631000006119","Amyloid heart disease","G557000","16573007","1532","CPRD_AURUM"
"537991000006111","Cardiomyopathy in the puerperium","L186500","62377009","1155","CPRD_AURUM"
"611411000006115","Degeneration fatty heart","G557z11","9909003","2","CPRD_AURUM"
"667431000006119","Fatty infiltration heart","G557z13","9909003","94","CPRD_AURUM"
"3229411000006118","Obstructive cardiomyopathy","","45227007","1","CPRD_AURUM"
"5143111000006115","Benign scapuloperoneal muscular dystrophy with cardiomyopathy","","240072005","0","CPRD_AURUM"
"3859111000006117","Dilated cardiomyopathy caused by alcohol","","83521008","0","CPRD_AURUM"
"2934071000006112","Danish type familial amyloid cardiomyopathy","","27097002","0","CPRD_AURUM"
"3229421000006114","HOCM - Hypertrophic obstructive cardiomyopathy","","45227007","0","CPRD_AURUM"
"6873351000006110","Constrictive cardiomyopathy","","415295002","0","CPRD_AURUM"
"3075321000006112","Primary familial cardiomyopathy","","35728003","0","CPRD_AURUM"
"2934081000006110","Familial amyloid heart disease","","27097002","0","CPRD_AURUM"
"4777211000006116","Cardiomyopathy in Friedreich ataxia","","195030007","0","CPRD_AURUM"
"6615901000006114","Congestive dilated cardiomyopathy","","399020009","0","CPRD_AURUM"
"4777091000006118","Hypertrophic cardiomyopathy without obstruction","","195020003","488","CPRD_AURUM"
"6615871000006114","CCM - Congestive cardiomyopathy","","399020009","0","CPRD_AURUM"
"3513911000006111","Puerperal cardiomyopathy","","62377009","3","CPRD_AURUM"
"4777191000006117","Cardiomyopathy, secondary","","195029002","0","CPRD_AURUM"
"6615881000006112","COCM - Congestive cardiomyopathy","","399020009","0","CPRD_AURUM"
"395768019","Secondary cardiomyopathy NOS","G55y.00","195029002","1458","CPRD_AURUM"
"11904331000006116","Secondary cardiomyopathy NOS","","195029002","0","CPRD_AURUM"
"370261000006111","[X]Cardiomyopathy in infectious+parasitic diseases CE","Gyu5Q00","195029002","15","CPRD_AURUM"
"498953012","Beriberi heart disease","G557100","61179004","17","CPRD_AURUM"
"300062013","Cardiomyopathy NOS","G55z.00","85898001","14839","CPRD_AURUM"
"161591000006114","Sarcoid heart disease","G558300","195033009","486","CPRD_AURUM"
"370271000006116","[X]Cardiomyopathy in metabolic diseases CE","Gyu5R00","195023001","4","CPRD_AURUM"
"3859091000006114","Dilated cardiomyopathy secondary to alcohol","","83521008","176","CPRD_AURUM"
"6611101000006114","Obscure cardiomyopathy of Africa","","398754006","0","CPRD_AURUM"
"12704221000006116","Cardiomyopathy associated with another disorder","","195029002","0","CPRD_AURUM"
"150511013","Constrictive cardiomyopathy","G554100","415295002","232","CPRD_AURUM"
"460126017","Cardiomyopathy in Duchenne muscular dystrophy","F391B00","315608004","256","CPRD_AURUM"
"300052018","Cardiomyopathy in disease EC","G558.00","195029002","44","CPRD_AURUM"
"300053011","Cardiomyopathy in Friedreich's ataxia","G558000","195030007","71","CPRD_AURUM"
"59588016","Familial cardiomyopathy","G554200","35728003","1670","CPRD_AURUM"
"395767012","Nutritional and metabolic cardiomyopathy NOS","G557z00","195023001","15","CPRD_AURUM"
"537931000006112","Cardiomyopathy in Chagas's disease","G556.00","998008","31","CPRD_AURUM"
"667421000006117","Fatty degeneration heart","G557z12","9909003","5","CPRD_AURUM"
"6611081000006118","Restrictive cardiomyopathy with endomyocardial fibrosis","","398754006","2","CPRD_AURUM"
"4776141000006112","Ischemic cardiomyopathy","","194849004","9","CPRD_AURUM"
"2934111000006116","Familial amyloid cardiomyopathy","","27097002","0","CPRD_AURUM"
"5056831000006119","HCM - Hypertrophic cardiomyopathy","","233873004","9","CPRD_AURUM"
"4777181000006115","Secondary cardiomyopathy","","195029002","0","CPRD_AURUM"
"6615891000006110","DCM - Dilated cardiomyopathy","","399020009","10","CPRD_AURUM"
"6873341000006113","Restrictive cardiomyopathy","","415295002","39","CPRD_AURUM"
"6615851000006116","Dilated cardiomyopathy","","399020009","2540","CPRD_AURUM"
"2816931010","Stress cardiomyopathy","G554511","441541008","202","CPRD_AURUM"
"300044016","Cardiac glycogenosis","G557200","195025008","5","CPRD_AURUM"
"142397010","Cardiomyopathy","G55..00","85898001","161273","CPRD_AURUM"
"4777111000006110","HCM - Hypertrophic non-obstructive cardiomyopathy","","195020003","2","CPRD_AURUM"
"300916019","[X]Cardiomyopathy in other diseases classified elsewhere","Gyu5T00","195029002","69","CPRD_AURUM"
"5331161000006112","Arrhythmogenic right ventricular cardiomyopathy","","253528005","1","CPRD_AURUM"
"7347751000006119","Left ventricular myocardial noncompaction cardiomyopathy","","447935001","1","CPRD_AURUM"
"7475611000006114","Cardiomyopathy due to neuromuscular disorder","","471846004","1","CPRD_AURUM"
"7964821000006113","Nonischemic congestive cardiomyopathy","","111000119104","1","CPRD_AURUM"
"3343421000006117","Familial dilated cardiomyopathy","","52029003","1","CPRD_AURUM"
"3343411000006113","Primary familial dilated cardiomyopathy","","52029003","3","CPRD_AURUM"
"13484031000006111","Cardiomyopathy due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)","","119731000146105","1","CPRD_AURUM"
"7806081000006118","Cardiomyopathy and renal anomaly syndrome","","720610008","1","CPRD_AURUM"
"8065541000006115","Cardiomyopathy due to viral infection","","204981000119101","1","CPRD_AURUM"
