"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"7609.00","Open operations on oesophageal varices","7609.00","","IMRD"
"7609300","Local ligation of oesophageal varices","7609300","","IMRD"
"7609400","Open injection sclerotherapy to oesophageal varices","7609400","","IMRD"
"7609y00","Other specified open operation on oesophageal varices","7609y00","","IMRD"
"7609z00","Open operation on oesophageal varices NOS","7609z00","","IMRD"
"760C500","Fibreoptic endoscopic banding of oesophageal varices","760C500","","IMRD"
"760F300","Rigid oesophagoscopic injection sclerotherapy oesoph varices","760F300","","IMRD"
"760F400","Rigid oesophagoscopic banding of oesophageal varices","760F400","","IMRD"
"7L1f.00","Compensation for liver failure","7L1f.00","","IMRD"
"7L1fz00","Compensation for liver failure NOS","7L1fz00","","IMRD"
"9kR..00","Chronic hepatitis annual review - enhanced services admin","9kR..00","","IMRD"
"9kR..11","Chronic hepatitis annual review","9kR..11","","IMRD"
"A707.00","Chronic viral hepatitis","A707.00","","IMRD"
"A707000","Chronic viral hepatitis B with delta-agent","A707000","","IMRD"
"A707100","Chronic viral hepatitis B without delta-agent","A707100","","IMRD"
"A707200","Chronic viral hepatitis C","A707200","","IMRD"
"A707300","Chronic viral hepatitis B","A707300","","IMRD"
"A707X00","Chronic viral hepatitis, unspecified","A707X00","","IMRD"
"AyuB100","[X]Other chronic viral hepatitis","AyuB100","","IMRD"
"AyuB200","[X]Chronic viral hepatitis, unspecified","AyuB200","","IMRD"
"C310400","Glycogenosis with hepatic cirrhosis","C310400","","IMRD"
"C350012","Pigmentary cirrhosis of liver","C350012","","IMRD"
"C370700","Liver disease due to cystic fibrosis","C370700","","IMRD"
"G85..11","Oesophageal varices","G85..11","","IMRD"
"G850.00","Oesophageal varices with bleeding","G850.00","","IMRD"
"G851.00","Oesophageal varices without bleeding","G851.00","","IMRD"
"G852.00","Oesophageal varices in diseases EC","G852.00","","IMRD"
"G852000","Oesophageal varices with bleeding in diseases EC","G852000","","IMRD"
"G852100","Oesophageal varices without bleeding in diseases EC","G852100","","IMRD"
"G852200","Oesophageal varices in cirrhosis of the liver","G852200","","IMRD"
"G852300","Oesophageal varices in alcoholic cirrhosis of the liver","G852300","","IMRD"
"G852z00","Oesophageal varices in diseases EC NOS","G852z00","","IMRD"
"G858.00","Oesophageal varices NOS","G858.00","","IMRD"
"Gyu9400","[X]Oesophageal varices in diseases classified elsewhere","Gyu9400","","IMRD"
"J61..00","Cirrhosis and chronic liver disease","J61..00","","IMRD"
"J612.00","Alcoholic cirrhosis of liver","J612.00","","IMRD"
"J612.11","Florid cirrhosis","J612.11","","IMRD"
"J612.12","Laennec's cirrhosis","J612.12","","IMRD"
"J612000","Alcoholic fibrosis and sclerosis of liver","J612000","","IMRD"
"J613.00","Alcoholic liver damage unspecified","J613.00","","IMRD"
"J613000","Alcoholic hepatic failure","J613000","","IMRD"
"J614.00","Chronic hepatitis","J614.00","","IMRD"
"J614000","Chronic persistent hepatitis","J614000","","IMRD"
"J614100","Chronic active hepatitis","J614100","","IMRD"
"J614111","Autoimmune chronic active hepatitis","J614111","","IMRD"
"J614200","Chronic aggressive hepatitis","J614200","","IMRD"
"J614300","Recurrent hepatitis","J614300","","IMRD"
"J614400","Chronic lobular hepatitis","J614400","","IMRD"
"J614y00","Chronic hepatitis unspecified","J614y00","","IMRD"
"J614z00","Chronic hepatitis NOS","J614z00","","IMRD"
"J615.00","Cirrhosis - non alcoholic","J615.00","","IMRD"
"J615.11","Portal cirrhosis","J615.11","","IMRD"
"J615000","Unilobular portal cirrhosis","J615000","","IMRD"
"J615100","Multilobular portal cirrhosis","J615100","","IMRD"
"J615111","Postnecrotic cirrhosis of liver","J615111","","IMRD"
"J615200","Mixed portal cirrhosis","J615200","","IMRD"
"J615400","Fatty portal cirrhosis","J615400","","IMRD"
"J615500","Hypertrophic portal cirrhosis","J615500","","IMRD"
"J615600","Capsular portal cirrhosis","J615600","","IMRD"
"J615700","Cardiac portal cirrhosis","J615700","","IMRD"
"J615711","Congestive cirrhosis","J615711","","IMRD"
"J615800","Juvenile portal cirrhosis","J615800","","IMRD"
