"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"65349012","Chronic sphenoidal sinusitis","H133.00","38961000","CPRD_AURUM"
"66718013","Chronic sinusitis","H13..00","40055000","CPRD_AURUM"
"99894013","Chronic frontal sinusitis","H131.00","60130002","CPRD_AURUM"
"301213013","Other chronic sinusitis NOS","H13yz00","40055000","CPRD_AURUM"
"301825016","[X]Other chronic sinusitis","Hyu2200","40055000","CPRD_AURUM"
"488111000006118","Antritis - chronic","H130.11","35923002","CPRD_AURUM"
"3183591000006116","Bronchiectasis, chronic sinusitis AND dextrocardia syndrome","","42402006","CPRD_AURUM"
"3144611000006116","Chronic infection of sinus","","40055000","CPRD_AURUM"
"59944016","Chronic maxillary sinusitis","H130.00","35923002","CPRD_AURUM"
"301211010","Other chronic sinusitis","H13y.00","40055000","CPRD_AURUM"
"301214019","Chronic sinusitis NOS","H13z.00","40055000","CPRD_AURUM"
"1229598015","Chronic rhinosinusitis","H13..11","40055000","CPRD_AURUM"
"121629017","Chronic ethmoidal sinusitis","H132.00","73237007","CPRD_AURUM"
"147320013","Chronic pansinusitis","H13y000","88850006","CPRD_AURUM"
