"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"303686010","Congenital coeliac disease","J690000","197478000","CPRD_AURUM"
"303687018","Acquired coeliac disease","J690100","197479008","CPRD_AURUM"
"1772803017","Coeliac disease","J690.00","396331005","CPRD_AURUM"
"1651841000000119","Coeliac disease monitoring invitation","9mB..00","750871000000108","CPRD_AURUM"
"1651881000000110","Coeliac disease monitoring telephone invitation","9mB0.00","750891000000107","CPRD_AURUM"
"1651921000000116","Coeliac disease annual review declined","8IAp.00","750911000000105","CPRD_AURUM"
"1655181000000119","Coeliac disease monitoring invitation second letter","9mB2.00","752321000000102","CPRD_AURUM"
"1689381000000112","Coeliac disease monitoring","6648.00","703970007","CPRD_AURUM"
"1689421000000115","Coeliac disease annual review","6648000","473213008","CPRD_AURUM"
"1745881000006113","Coeliac disease monitoring phone invite","","1745881000006109","CPRD_AURUM"
"1747701000006119","Coeliac disease monitoring","","1747701000006103","CPRD_AURUM"
"303690012","Coeliac disease NOS","J690z00","396331005","CPRD_AURUM"
"4787991000006113","Acquired celiac disease","","197479008","CPRD_AURUM"
"7281971000006119","Celiac disease autoantibody profile positive","","443718009","CPRD_AURUM"
"7584851000006113","Celiac disease monitoring","","703970007","CPRD_AURUM"
"3230001000006118","Coeliac infantilism","","45259000","CPRD_AURUM"
"6567771000006117","Celiac syndrome","","396331005","CPRD_AURUM"
"3230031000006114","Infantile form of celiac disease","","45259000","CPRD_AURUM"
"3230061000006117","Childhood coeliac disease","","45259000","CPRD_AURUM"
"4787971000006112","Congenital celiac disease","","197478000","CPRD_AURUM"
"3230111000006116","Infant celiac disease","","45259000","CPRD_AURUM"
"5572931000006112","Celiac rickets","","275404008","CPRD_AURUM"
"3230081000006110","Infantile form of coeliac disease","","45259000","CPRD_AURUM"
"7484501000006117","Celiac disease annual review","","473213008","CPRD_AURUM"
"3230101000006119","Childhood celiac disease","","45259000","CPRD_AURUM"
"6567731000006115","CD - Celiac disease","","396331005","CPRD_AURUM"
"6567691000006111","CS - Coeliac sprue","","396331005","CPRD_AURUM"
"6567761000006112","CS - Celiac sprue","","396331005","CPRD_AURUM"
"6567701000006111","Coeliac sprue","","396331005","CPRD_AURUM"
"6567671000006110","Celiac disease","","396331005","CPRD_AURUM"
"1745841000006119","Coeliac disease monitoring administration","","1745841000006103","CPRD_AURUM"
"1745861000006115","Coeliac disease monitoring 2nd letter","","1745861000006104","CPRD_AURUM"
"1655221000000112","Coeliac disease monitoring invitation third letter","9mB3.00","752341000000109","CPRD_AURUM"
"3230091000006113","CCD - Childhood celiac disease","","45259000","CPRD_AURUM"
"1745871000006110","Coeliac disease monitoring 3rd letter","","1745871000006106","CPRD_AURUM"
"1747711000006116","Coeliac disease annual review","","1747711000006100","CPRD_AURUM"
"1655141000000110","Coeliac disease monitoring invitation first letter","9mB1.00","752301000000106","CPRD_AURUM"
"6567721000006118","Coeliac syndrome","","396331005","CPRD_AURUM"
"3230011000006115","Celiac infantilism","","45259000","CPRD_AURUM"
"6567681000006113","CD - Coeliac disease","","396331005","CPRD_AURUM"
"1119251000000112","Coeliac disease autoantibody profile positive","68W4.00","443718009","CPRD_AURUM"
"7281951000006112","Autoantibody screening for coeliac disease positive","","443718009","CPRD_AURUM"
"411383013","Coeliac rickets","J690.11","275404008","CPRD_AURUM"
"6567751000006110","Celiac sprue","","396331005","CPRD_AURUM"
"7281961000006114","Autoantibody screening for celiac disease positive","","443718009","CPRD_AURUM"
"3230051000006119","CCD - Childhood coeliac disease","","45259000","CPRD_AURUM"
"3230071000006112","Infant coeliac disease","","45259000","CPRD_AURUM"
