"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"1220","Malignant neoplasm of colon","B13..00",,"49839","CPRD_GOLD"
"1800","Malignant neoplasm of rectum","B141.00",,"29198","CPRD_GOLD"
"2815","Malignant neoplasm of sigmoid colon","B133.00",,"9353","CPRD_GOLD"
"3811","Malignant neoplasm of caecum","B134.00",,"9389","CPRD_GOLD"
"5901","Rectal carcinoma","B141.12",,"13243","CPRD_GOLD"
"6903","Carcinoma in situ of colon","B803.00",,"3513","CPRD_GOLD"
"6935","Malignant neoplasm of transverse colon","B131.00",,"1155","CPRD_GOLD"
"7219","Carcinoma of rectum","B141.11",,"3285","CPRD_GOLD"
"9088","Malignant neoplasm of hepatic flexure of colon","B130.00",,"818","CPRD_GOLD"
"9118","Colonic cancer","B13z.11",,"10578","CPRD_GOLD"
"9491","Anal carcinoma","B142.11",,"944","CPRD_GOLD"
"10864","Malignant neoplasm of descending colon","B132.00",,"856","CPRD_GOLD"
"10946","Malignant neoplasm of ascending colon","B136.00",,"1923","CPRD_GOLD"
"11628","Cancer of bowel","B1z0.11",,"7430","CPRD_GOLD"
"16036","Neoplasm of uncertain behaviour of rectum","B902500",,"938","CPRD_GOLD"
"17144","Carcinoma in situ of sigmoid colon","B803300",,"1793","CPRD_GOLD"
"18619","Malignant neoplasm of splenic flexure of colon","B137.00",,"566","CPRD_GOLD"
"18632","Malignant neoplasm of appendix","B135.00",,"571","CPRD_GOLD"
"22001","Neoplasm of uncertain behaviour of colon","B902400",,"178","CPRD_GOLD"
"22163","Carcinoma of caecum","B134.11",,"1174","CPRD_GOLD"
"22699","Carcinoma in situ of splenic flexure of colon","B803700",,"114","CPRD_GOLD"
"24370","Malignant neoplasm of anal canal","B142.00",,"1434","CPRD_GOLD"
"27811","Carcinoma in situ of rectosigmoid junction","B804000",,"338","CPRD_GOLD"
"27855","Malignant neoplasm of rectosigmoid junction","B140.00",,"1594","CPRD_GOLD"
"27897","Malignant neoplasm of anus unspecified","B143.00",,"443","CPRD_GOLD"
"28163","Malignant neoplasm of colon NOS","B13z.00",,"4258","CPRD_GOLD"
"28272","[M]Adenocarcinoma, intestinal type","BB57.00",,"682","CPRD_GOLD"
"28727","Secondary malignant neoplasm of colon","B575000",,"234","CPRD_GOLD"
"29975","Carcinoma in situ of rectum","B804100",,"407","CPRD_GOLD"
"30165","Malignant neoplasm of mesorectum","B18y200",,"8","CPRD_GOLD"
"31893","Carcinoma in situ of ascending colon","B803600",,"146","CPRD_GOLD"
"33561","Carcinoma in situ of colon NOS","B803z00",,"310","CPRD_GOLD"
"35357","Malignant neoplasm of rectum, rectosigmoid junction and anus","B14..00",,"1309","CPRD_GOLD"
"36200","Secondary malig neop of large intestine or rectum NOS","B575z00",,"16","CPRD_GOLD"
"37125","Carcinoma in situ of transverse colon","B803100",,"171","CPRD_GOLD"
"37940","Malignant neoplasm of pharyngeal recess","B072000",,"89","CPRD_GOLD"
"38883","Carcinoma in situ of rectum or rectosigmoid junction NOS","B804z00",,"22","CPRD_GOLD"
"39080","Carcinoma in situ of hepatic flexure of colon","B803000",,"112","CPRD_GOLD"
"39875","[M]Adenomatous or adenocarcinomatous polyps of the colon NOS","BB5Nz00",,"98","CPRD_GOLD"
"41702","[M]Adenomatous and adenocarcinomatous polyps of colon","BB5N.00",,"237","CPRD_GOLD"
"44529","Secondary malignant neoplasm of large intestine and rectum","B575.00",,"52","CPRD_GOLD"
"46159","Malignant neoplasm of cloacogenic zone","B142000",,"7","CPRD_GOLD"
"47667","Carcinoma in situ of descending colon","B803200",,"53","CPRD_GOLD"
"48231","Malignant neoplasm of other specified sites of colon","B13y.00",,"107","CPRD_GOLD"
"50974","Malignant neoplasm rectum,rectosigmoid junction and anus NOS","B14z.00",,"115","CPRD_GOLD"
"55659","Malig neop other site rectum, rectosigmoid junction and anus","B14y.00",,"66","CPRD_GOLD"
"57727","[V]Personal history of malignant neoplasm of large intestine","ZV10014",,"3","CPRD_GOLD"
"60477","Carcinoma in situ of rectum and rectosigmoid junction","B804.00",,"67","CPRD_GOLD"
"62785","[V]Personal history of malignant neoplasm of rectum","ZV10017",,"26","CPRD_GOLD"
"62814","[V]Personal history of malig neop of gastrointestinal tract","ZV10000",,"58","CPRD_GOLD"
"62909","Secondary malignant neoplasm of rectum","B575100",,"52","CPRD_GOLD"
"64568","[V]Personal history of malig neop of gastrointestinal tract","ZV10012",,"16","CPRD_GOLD"
"93478","Malignant neoplasm, overlapping lesion of colon","B138.00",,"6","CPRD_GOLD"
"94000","Bowel cancer detected by national screening programme","9Ow1.00",,"225","CPRD_GOLD"
"94038","Neop of uncertain behaviour stomach, intestines and rectum","B902.00",,"13","CPRD_GOLD"
"94919","Dysplasia of colon","PB5B.00",,"488","CPRD_GOLD"
"101700","Hereditary nonpolyposis colon cancer","B139.00",,"127","CPRD_GOLD"
"105228","High grade dysplasia of colon","B803800",,"177","CPRD_GOLD"
"107374","Neop of uncertain behaviour stomach, intestine or rectum NOS","B902z00",,"2","CPRD_GOLD"
"112885","Bowel scope (flexi-sig) screen: suspected cancer detected","68W2500",,"6","CPRD_GOLD"
"113272","[V]Personal history of malignant neoplasm of intestine","ZV10013",,"1","CPRD_GOLD"
