"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"68W2500","Bowel scope (flexi-sig) screen: suspected cancer detected","68W2500","","IMRD"
"9Ow1.00","Bowel cancer detected by national screening programme","9Ow1.00","","IMRD"
"B072000","Malignant neoplasm of pharyngeal recess","B072000","","IMRD"
"B13..00","Malignant neoplasm of colon","B13..00","","IMRD"
"B130.00","Malignant neoplasm of hepatic flexure of colon","B130.00","","IMRD"
"B131.00","Malignant neoplasm of transverse colon","B131.00","","IMRD"
"B132.00","Malignant neoplasm of descending colon","B132.00","","IMRD"
"B133.00","Malignant neoplasm of sigmoid colon","B133.00","","IMRD"
"B134.00","Malignant neoplasm of caecum","B134.00","","IMRD"
"B134.11","Carcinoma of caecum","B134.11","","IMRD"
"B135.00","Malignant neoplasm of appendix","B135.00","","IMRD"
"B136.00","Malignant neoplasm of ascending colon","B136.00","","IMRD"
"B137.00","Malignant neoplasm of splenic flexure of colon","B137.00","","IMRD"
"B138.00","Malignant neoplasm, overlapping lesion of colon","B138.00","","IMRD"
"B139.00","Hereditary nonpolyposis colon cancer","B139.00","","IMRD"
"B13y.00","Malignant neoplasm of other specified sites of colon","B13y.00","","IMRD"
"B13z.00","Malignant neoplasm of colon NOS","B13z.00","","IMRD"
"B13z.11","Colonic cancer","B13z.11","","IMRD"
"B14..00","Malignant neoplasm of rectum, rectosigmoid junction and anus","B14..00","","IMRD"
"B140.00","Malignant neoplasm of rectosigmoid junction","B140.00","","IMRD"
"B141.00","Malignant neoplasm of rectum","B141.00","","IMRD"
"B141.11","Carcinoma of rectum","B141.11","","IMRD"
"B141.12","Rectal carcinoma","B141.12","","IMRD"
"B142.00","Malignant neoplasm of anal canal","B142.00","","IMRD"
"B142.11","Anal carcinoma","B142.11","","IMRD"
"B142000","Malignant neoplasm of cloacogenic zone","B142000","","IMRD"
"B143.00","Malignant neoplasm of anus unspecified","B143.00","","IMRD"
"B14y.00","Malig neop other site rectum, rectosigmoid junction and anus","B14y.00","","IMRD"
"B14z.00","Malignant neoplasm rectum,rectosigmoid junction and anus NOS","B14z.00","","IMRD"
"B18y200","Malignant neoplasm of mesorectum","B18y200","","IMRD"
"B1z0.11","Cancer of bowel","B1z0.11","","IMRD"
"B575.00","Secondary malignant neoplasm of large intestine and rectum","B575.00","","IMRD"
"B575000","Secondary malignant neoplasm of colon","B575000","","IMRD"
"B575100","Secondary malignant neoplasm of rectum","B575100","","IMRD"
"B575z00","Secondary malig neop of large intestine or rectum NOS","B575z00","","IMRD"
"B803.00","Carcinoma in situ of colon","B803.00","","IMRD"
"B803000","Carcinoma in situ of hepatic flexure of colon","B803000","","IMRD"
"B803100","Carcinoma in situ of transverse colon","B803100","","IMRD"
"B803200","Carcinoma in situ of descending colon","B803200","","IMRD"
"B803300","Carcinoma in situ of sigmoid colon","B803300","","IMRD"
"B803600","Carcinoma in situ of ascending colon","B803600","","IMRD"
"B803700","Carcinoma in situ of splenic flexure of colon","B803700","","IMRD"
"B803800","High grade dysplasia of colon","B803800","","IMRD"
"B803z00","Carcinoma in situ of colon NOS","B803z00","","IMRD"
"B804.00","Carcinoma in situ of rectum and rectosigmoid junction","B804.00","","IMRD"
"B804000","Carcinoma in situ of rectosigmoid junction","B804000","","IMRD"
"B804100","Carcinoma in situ of rectum","B804100","","IMRD"
"B804z00","Carcinoma in situ of rectum or rectosigmoid junction NOS","B804z00","","IMRD"
"B902.00","Neop of uncertain behaviour stomach, intestines and rectum","B902.00","","IMRD"
"B902400","Neoplasm of uncertain behaviour of colon","B902400","","IMRD"
"B902500","Neoplasm of uncertain behaviour of rectum","B902500","","IMRD"
"B902z00","Neop of uncertain behaviour stomach, intestine or rectum NOS","B902z00","","IMRD"
"BB57.00","[M]Adenocarcinoma, intestinal type","BB57.00","","IMRD"
"BB5N.00","[M]Adenomatous and adenocarcinomatous polyps of colon","BB5N.00","","IMRD"
"BB5Nz00","[M]Adenomatous or adenocarcinomatous polyps of the colon NOS","BB5Nz00","","IMRD"
"PB5B.00","Dysplasia of colon","PB5B.00","","IMRD"
"ZV10000","[V]Personal history of malig neop of gastrointestinal tract","ZV10000","","IMRD"
"ZV10012","[V]Personal history of malig neop of gastrointestinal tract","ZV10012","","IMRD"
"ZV10013","[V]Personal history of malignant neoplasm of intestine","ZV10013","","IMRD"
"ZV10014","[V]Personal history of malignant neoplasm of large intestine","ZV10014","","IMRD"
"ZV10017","[V]Personal history of malignant neoplasm of rectum","ZV10017","","IMRD"
