"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"16C9.00","Chronic low back pain","16C9.00","","IMRD"
"1M52.00","Chronic pain","1M52.00","","IMRD"
"F347.00","Complex regional pain syndrome type II","F347.00","","IMRD"
"F369.00","Complex regional pain syndrome","F369.00","","IMRD"
"F369.11","Chronic regional pain syndrome","F369.11","","IMRD"
"N337.00","Algoneurodystrophy","N337.00","","IMRD"
"N337.11","Algodystrophy","N337.11","","IMRD"
"N337.12","Reflex sympathetic dystrophy","N337.12","","IMRD"
"N337000","Disuse atrophy of bone","N337000","","IMRD"
"N337100","Sudek's atrophy","N337100","","IMRD"
"N337111","Reflex sympathetic dystrophy","N337111","","IMRD"
"N337200","Algodystrophy of hand","N337200","","IMRD"
"N337300","Algodystrophy of knee","N337300","","IMRD"
"N337400","Algodystrophy of foot","N337400","","IMRD"
"N337z00","Algoneurodystrophy NOS","N337z00","","IMRD"
"N33C.00","Complex regional pain syndrome type I","N33C.00","","IMRD"
"R00zC00","[D]Chronic intractable pain","R00zC00","","IMRD"
"Ryu7000","[X]Other chronic pain","Ryu7000","","IMRD"
