"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"56765016","Crohn's disease","J40..11","34000006","CPRD_AURUM"
"302322010","Orofacial Crohn's disease","J08z900","196578009","CPRD_AURUM"
"309744019","Arthropathy in Crohn's disease","N031100","201728006","CPRD_AURUM"
"2532950019","Exacerbation of Crohn's disease of large intestine","J401200","414153008","CPRD_AURUM"
"886291000006112","Regional enteritis - Crohn","J40..99","34000006","CPRD_AURUM"
"906051000006118","[RFC] Crohns disease","","906051000006102","CPRD_AURUM"
"302941017","Crohn's disease of the small bowel NOS","J400z00","56689002","CPRD_AURUM"
"303761010","[X]Other Crohn's disease","Jyu4000","34000006","CPRD_AURUM"
"1222351011","Crohn's disease NOS","J40z.11","34000006","CPRD_AURUM"
"179501000006113","Regional enteritis - Crohn's disease","J40..00","34000006","CPRD_AURUM"
"601031000006119","Crohn's colitis","J401z11","50440006","CPRD_AURUM"
"601091000006115","Crohn's disease of the terminal ileum","J400200","196977009","CPRD_AURUM"
"3047391000006119","CD - Crohn's disease","","34000006","CPRD_AURUM"
"2621151000006116","Crohn disease of large bowel","","7620006","CPRD_AURUM"
"3420881000006117","Crohn disease of small intestine","","56689002","CPRD_AURUM"
"3414711000006118","Crohn disease of duodenum","","56287005","CPRD_AURUM"
"3420891000006119","Crohns disease, small intestine","","56689002","CPRD_AURUM"
"4785581000006112","Crohn disease of terminal ileum","","196977009","CPRD_AURUM"
"2621161000006119","Crohns disease, large intestine","","7620006","CPRD_AURUM"
"2559801000006116","Crohn's proctitis","","3815005","CPRD_AURUM"
"3113551000006113","Crohn disease of ileum","","38106008","CPRD_AURUM"
"3316751000006117","Crohn's disease of colon","","50440006","CPRD_AURUM"
"6853111000006114","Exacerbation of Crohn disease of large intestine","","414153008","CPRD_AURUM"
"3414681000006119","Crohn's disease of duodenum","","56287005","CPRD_AURUM"
"3316811000006110","Crohns disease, colon","","50440006","CPRD_AURUM"
"3316801000006112","Crohn disease of colon","","50440006","CPRD_AURUM"
"3113541000006111","Crohn's ileitis","","38106008","CPRD_AURUM"
"2559781000006115","Crohn's disease of rectum","","3815005","CPRD_AURUM"
"309833017","Juvenile arthritis in Crohn's disease","N045300","201805000","CPRD_AURUM"
"302939018","Crohn's disease of the ileum unspecified","J400300","38106008","CPRD_AURUM"
"3047421000006110","Crohns disease","","34000006","CPRD_AURUM"
"4784091000006115","Crohn's disease of oral soft tissues","","196578009","CPRD_AURUM"
"6853131000006115","Exacerbation of Crohn disease of small intestine","","414154002","CPRD_AURUM"
"396357012","Crohn's disease of the large bowel NOS","J401z00","7620006","CPRD_AURUM"
"3414701000006116","Crohn's duodenitis","","56287005","CPRD_AURUM"
"4808981000006112","Arthropathy in Crohn disease","","201728006","CPRD_AURUM"
"4809351000006111","Juvenile arthritis in Crohn disease","","201805000","CPRD_AURUM"
"2559821000006114","Crohn disease of rectum","","3815005","CPRD_AURUM"
"302940016","Crohn's disease of the ileum NOS","J400400","38106008","CPRD_AURUM"
"4784111000006112","Oral Crohn's disease","","196578009","CPRD_AURUM"
"2532958014","Exacerbation of Crohn's disease of small intestine","J400500","414154002","CPRD_AURUM"
"3047411000006119","Crohn disease","","34000006","CPRD_AURUM"
