"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"K50","Crohn disease [regional enteritis]","K50","","0","ICD10"
"K500","Crohn disease of small intestine","K50.0","","0","ICD10"
"K501","Crohn disease of large intestine","K50.1","","0","ICD10"
"K508","Other Crohn disease","K50.8","","0","ICD10"
"K509","Crohn disease, unspecified","K50.9","","0","ICD10"
"M074","Arthropathy in Crohn disease [regional enteritis]","M07.4","","0","ICD10"
"M0740","Arthropathy in Crohn disease [regional enteritis]","M07.40","","0","ICD10"
"M0741","Arthropathy in Crohn disease [regional enteritis]","M07.41","","0","ICD10"
"M0742","Arthropathy in Crohn disease [regional enteritis]","M07.42","","0","ICD10"
"M0743","Arthropathy in Crohn disease [regional enteritis]","M07.43","","0","ICD10"
"M0744","Arthropathy in Crohn disease [regional enteritis]","M07.44","","0","ICD10"
"M0745","Arthropathy in Crohn disease [regional enteritis]","M07.45","","0","ICD10"
"M0746","Arthropathy in Crohn disease [regional enteritis]","M07.46","","0","ICD10"
"M0747","Arthropathy in Crohn disease [regional enteritis]","M07.47","","0","ICD10"
"M0748","Arthropathy in Crohn disease [regional enteritis]","M07.48","","0","ICD10"
"M0749","Arthropathy in Crohn disease [regional enteritis]","M07.49","","0","ICD10"
"M091","Juvenile arthritis in Crohn disease [regional enteritis]","M09.1","","0","ICD10"
"M0910","Juvenile arthritis in Crohn disease [regional enteritis]","M09.10","","0","ICD10"
"M0911","Juvenile arthritis in Crohn disease [regional enteritis]","M09.11","","0","ICD10"
"M0912","Juvenile arthritis in Crohn disease [regional enteritis]","M09.12","","0","ICD10"
"M0913","Juvenile arthritis in Crohn disease [regional enteritis]","M09.13","","0","ICD10"
"M0914","Juvenile arthritis in Crohn disease [regional enteritis]","M09.14","","0","ICD10"
"M0915","Juvenile arthritis in Crohn disease [regional enteritis]","M09.15","","0","ICD10"
"M0916","Juvenile arthritis in Crohn disease [regional enteritis]","M09.16","","0","ICD10"
"M0917","Juvenile arthritis in Crohn disease [regional enteritis]","M09.17","","0","ICD10"
"M0918","Juvenile arthritis in Crohn disease [regional enteritis]","M09.18","","0","ICD10"
"M0919","Juvenile arthritis in Crohn disease [regional enteritis]","M09.19","","0","ICD10"
