"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"J08z900","Orofacial Crohn's disease","J08z900","","IMRD"
"J40..00","Regional enteritis - Crohn's disease","J40..00","","IMRD"
"J40..11","Crohn's disease","J40..11","","IMRD"
"J400200","Crohn's disease of the terminal ileum","J400200","","IMRD"
"J400300","Crohn's disease of the ileum unspecified","J400300","","IMRD"
"J400400","Crohn's disease of the ileum NOS","J400400","","IMRD"
"J400500","Exacerbation of Crohn's disease of small intestine","J400500","","IMRD"
"J400z00","Crohn's disease of the small bowel NOS","J400z00","","IMRD"
"J401200","Exacerbation of Crohn's disease of large intestine","J401200","","IMRD"
"J401z00","Crohn's disease of the large bowel NOS","J401z00","","IMRD"
"J401z11","Crohn's colitis","J401z11","","IMRD"
"J40z.11","Crohn's disease NOS","J40z.11","","IMRD"
"Jyu4000","[X]Other Crohn's disease","Jyu4000","","IMRD"
"N031100","Arthropathy in Crohn's disease","N031100","","IMRD"
"N045300","Juvenile arthritis in Crohn's disease","N045300","","IMRD"
