"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"F204","Post-schizophrenic depression","F20.4","","0","ICD10"
"F251","Schizoaffective disorder, depressive type","F25.1","","0","ICD10"
"F32","Depressive episode","F32","","0","ICD10"
"F320","Mild depressive episode","F32.0","","0","ICD10"
"F321","Moderate depressive episode","F32.1","","0","ICD10"
"F322","Severe depressive episode without psychotic symptoms","F32.2","","0","ICD10"
"F323","Severe depressive episode with psychotic symptoms","F32.3","","0","ICD10"
"F328","Other depressive episodes","F32.8","","0","ICD10"
"F329","Depressive episode, unspecified","F32.9","","0","ICD10"
"F33","Recurrent depressive disorder","F33","","0","ICD10"
"F330","Recurrent depressive disorder, current episode mild","F33.0","","0","ICD10"
"F331","Recurrent depressive disorder, current episode moderate","F33.1","","0","ICD10"
"F332","Recurrent depressive disorder, current episode severe without psychotic symptoms","F33.2","","0","ICD10"
"F333","Recurrent depressive disorder, current episode severe with psychotic symptoms","F33.3","","0","ICD10"
"F338","Other recurrent depressive disorders","F33.8","","0","ICD10"
"F339","Recurrent depressive disorder, unspecified","F33.9","","0","ICD10"
"F341","Dysthymia","F34.1","","0","ICD10"
"F412","Mixed anxiety and depressive disorder","F41.2","","0","ICD10"
"F920","Depressive conduct disorder","F92.0","","0","ICD10"
