"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"3221","Lisinopril25 mgTabletOral","","","","","UHB"
"3806","Lisinopril 20mg / Hydrochlorothiazide 12.5mg1 tabTabletOral","","","","","UHB"
"333","Lisinopril2.5 mgTabletOral","","","","","UHB"
"405","Lisinopril5 mgTabletOral","","","","","UHB"
"4359","Ramipril10 mgTabletOral","","","","","UHB"
"1242","Perindopril2 mgTabletOral","","","","","UHB"
"1376","Lisinopril12.5 mgTabletOral","","","","","UHB"
"482","Ramipril10 mgCapsuleOral","","","","","UHB"
"1461","Perindopril6 mgTabletOral","","","","","UHB"
"1209","Lisinopril40 mgTabletOral","","","","","UHB"
"172","Ramipril2.5 mgCapsuleOral","","","","","UHB"
"168","Ramipril1.25 mgCapsuleOral","","","","","UHB"
"3453","Ramipril2.5 mgTabletGastrost.","","","","","UHB"
"728","Ramipril5 mgCapsuleOral","","","","","UHB"
"1636","Enalapril Maleate20 mgTabletOral","","","","","UHB"
"314","Lisinopril10 mgTabletOral","","","","","UHB"
"349","Lisinopril20 mgTabletOral","","","","","UHB"
"1641","Enalapril Maleate10 mgTabletOral","","","","","UHB"
"642","Perindopril8 mgTabletOral","","","","","UHB"
"3064","Ramipril2.5 mgTabletOral","","","","","UHB"
"4528","Lisinopril15 mgTabletOral","","","","","UHB"
"2383","Perindopril5 mgTabletOral","","","","","UHB"
"3202","Lisinopril 10mg / Hydrochlorothiazide 12.5mg1 tabTabletOral","","","","","UHB"
"2238","Enalapril Maleate2.5 mgTabletOral","","","","","UHB"
"1539","Captopril25 mgTabletOral","","","","","UHB"
"1642","Enalapril Maleate5 mgTabletOral","","","","","UHB"
"3927","Ramipril0 mgCapsuleOral","","","","","UHB"
"3370","Trandolapril4 mgCapsuleOral","","","","","UHB"
"4757","LisinoprilTabletOral","","","","","UHB"
"4799","Perindopril1.25 mgTabletOral","","","","","UHB"
"3069","Lisinopril7.5 mgTabletOral","","","","","UHB"
"4016","Lisinopril60 mgTabletOral","","","","","UHB"
"625","Perindopril4 mgTabletOral","","","","","UHB"
"2508","Ramipril5 mgCapsuleNasogas.","","","","","UHB"
"1280","RamiprilCapsuleOral","","","","","UHB"
"1976","Ramipril7.5 mgCapsuleOral","","","","","UHB"
"4130","Perindopril1 mgTabletOral","","","","","UHB"
