"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"2835341000033112","Memantine 10mg tablets Tablet Oral Memantine hydrochloride 10.000mg","4110000","","","","CPRD_AURUM"
"2835541000033117","Ebixa 10mg tablets (Lundbeck Ltd) Tablet Oral Memantine hydrochloride 10.000mg","4110000","","","","CPRD_AURUM"
"11721041000033114","Marixino 10mg tablets (Consilient Health Ltd) Tablet Oral Memantine hydrochloride 10.000mg","","","","","CPRD_AURUM"
"8535641000033114","Nemdatine 10mg tablets (Actavis UK Ltd) Tablet Oral Memantine hydrochloride 10.000mg","","","","","CPRD_AURUM"
"2835441000033118","Memantine 10mg/ml oral solution sugar free Oral solution Oral Memantine hydrochloride 10.000mg/1.000ml","4110000","","","","CPRD_AURUM"
"2835641000033116","Ebixa 5mg/0.5ml pump actuation oral solution (Lundbeck Ltd) Oral solution Oral Memantine hydrochloride 10.000mg/1.000ml","4110000","","","","CPRD_AURUM"
"12331641000033115","Memantine 10mg soluble tablets sugar free Soluble tablet Oral Memantine hydrochloride 10.000mg","","","","","CPRD_AURUM"
"12331841000033119","Alzhok 10mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd) Soluble tablet Oral Memantine hydrochloride 10.000mg","","","","","CPRD_AURUM"
"12331741000033112","Memantine 20mg soluble tablets sugar free Soluble tablet Oral Memantine hydrochloride 20.000mg","","","","","CPRD_AURUM"
"12331941000033110","Alzhok 20mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd) Soluble tablet Oral Memantine hydrochloride 20.000mg","","","","","CPRD_AURUM"
"4607841000033119","Memantine 20mg tablets Tablet Oral Memantine hydrochloride 20.000mg","","","","","CPRD_AURUM"
"4607941000033110","Ebixa 20mg tablets (Lundbeck Ltd) Tablet Oral Memantine hydrochloride 20.000mg","","","","","CPRD_AURUM"
"11720941000033116","Marixino 20mg tablets (Consilient Health Ltd) Tablet Oral Memantine hydrochloride 20.000mg","","","","","CPRD_AURUM"
"8535741000033117","Nemdatine 20mg tablets (Actavis UK Ltd) Tablet Oral Memantine hydrochloride 20.000mg","","","","","CPRD_AURUM"
"12532241000033110","Memantine 5mg/10mg/15mg/20mg tablets treatment initiation pack Not applicable Route of administration not applicable  ","","","","","CPRD_AURUM"
"4608041000033113","Ebixa tablets treatment initiation pack (Lundbeck Ltd) Not applicable   ","","","","","CPRD_AURUM"
"11492741000033118","Memantine 10mg orodispersible tablets sugar free Orodispersible tablet Oral Memantine hydrochloride 10.000mg","4110000","","","","CPRD_AURUM"
"11492941000033115","Valios 10mg orodispersible tablets sugar free (Dr Reddy's Laboratories (UK) Ltd) Orodispersible tablet Oral Memantine hydrochloride 10.000mg","4110000","","","","CPRD_AURUM"
"11493041000033113","Valios 20mg orodispersible tablets sugar free (Dr Reddy's Laboratories (UK) Ltd) Orodispersible tablet Oral Memantine hydrochloride 20.000mg","4110000","","","","CPRD_AURUM"
"11492841000033111","Memantine 20mg orodispersible tablets sugar free Orodispersible tablet Oral Memantine hydrochloride 20.000mg","4110000","","","","CPRD_AURUM"
"12484541000033118","Valios 5mg/10mg/15mg/20mg orodispersible tablets initiation pack (Dr Reddy's Laboratories (UK) Ltd) Not applicable   ","","","","","CPRD_AURUM"
"13316541000033110","Memantine 5mg/10mg/15mg/20mg orodispersible tablets initiation pack sugar free Not applicable Route of administration not applicable  ","","","","","CPRD_AURUM"
