"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"70955","Irbesartan 300mg/5ml Oral suspension (Martindale Pharmaceuticals Ltd) Irbesartan 60mg/1ml Oral suspension Oral","02050502","","","","CPRD_GOLD"
"60780","Generic Sevikar HCT 20mg/5mg/12.5mg tablets Hydrochlorothiazide/Amlodipine besilate/Olmesartan medoxomil 12.5mg + 5mg + 20mg Tablet Oral","02050502","","","","CPRD_GOLD"
"7338","Aprovel 75mg tablets (Sanofi) Irbesartan 75mg Tablet Oral","02050502","","","","CPRD_GOLD"
"80163","Candesartan 8mg/5ml oral suspension Candesartan cilexetil 1.6mg/1ml Oral suspension Oral","02050502","","","","CPRD_GOLD"
"47616","Sevikar HCT 40mg/10mg/12.5mg tablets (Daiichi Sankyo UK Ltd) Hydrochlorothiazide/Olmesartan medoxomil/Amlodipine besilate 12.5mg + 40mg + 10mg Tablet Oral","02050502","","","","CPRD_GOLD"
"41232","Cozaar 2.5mg/ml oral suspension (Merck Sharp & Dohme Ltd) Losartan potassium 2.5mg/1ml Oral suspension Oral","02050502","","","","CPRD_GOLD"
"6285","Olmesartan medoxomil 20mg tablets Olmesartan medoxomil 20mg Tablet Oral","02050502","","","","CPRD_GOLD"
"18903","Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets Hydrochlorothiazide/Olmesartan medoxomil 25mg + 20mg Tablet Oral","02020100","02050502","","","CPRD_GOLD"
"531","Candesartan 4mg tablets Candesartan cilexetil 4mg Tablet Oral","02050502","","","","CPRD_GOLD"
"43915","Olmetec Plus 40mg/12.5mg tablets (Daiichi Sankyo UK Ltd) Olmesartan medoxomil/Hydrochlorothiazide 40mg + 12.5mg Tablet Oral","02020100","02050502","","","CPRD_GOLD"
"67664","Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd) Valsartan/Hydrochlorothiazide 160mg + 12.5mg Tablet Oral","02050504","","","","CPRD_GOLD"
"54414","Candesartan 16mg tablets (Consilient Health Ltd) Candesartan cilexetil 16mg Tablet Oral","02050502","","","","CPRD_GOLD"
"79322","Cozaar 50mg tablets (DE Pharmaceuticals) Losartan potassium 50mg Tablet Oral","02050502","","","","CPRD_GOLD"
"63337","Eprosartan 600mg tablets (A A H Pharmaceuticals Ltd) Eprosartan mesilate 600mg Tablet Oral","02050502","","","","CPRD_GOLD"
"53755","Candesartan 4mg tablets (Teva UK Ltd) Candesartan cilexetil 4mg Tablet Oral","02050502","","","","CPRD_GOLD"
"67902","Losartan 100mg tablets (Sandoz Ltd) Losartan potassium 100mg Tablet Oral","02050502","","","","CPRD_GOLD"
"58274","Losartan 25mg tablets (Accord Healthcare Ltd) Losartan potassium 25mg Tablet Oral","02050502","","","","CPRD_GOLD"
"68948","Valsartan 160mg capsules (Actavis UK Ltd) Valsartan 160mg Capsule Oral","02050502","","","","CPRD_GOLD"
