"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"31604978","Losartan 100mg tablets","02050502","00000000","00000000","C09CA01","IMRD"
"38761978","Sacubitril 97mg / Valsartan 103mg tablets","02050502","02050502","02050500","C09DX04","IMRD"
"38762978","Sacubitril 97mg / Valsartan 103mg tablets","02050502","02050500","02050502","C09DX04","IMRD"
"38763978","Sacubitril 49mg / Valsartan 51mg tablets","02050502","02050500","02050502","C09DX04","IMRD"
"38764978","Sacubitril 49mg / Valsartan 51mg tablets","02050502","02050502","02050500","C09DX04","IMRD"
"38765978","Sacubitril 24mg / Valsartan 26mg tablets","02050502","02050502","02050500","C09DX04","IMRD"
"38766978","Sacubitril 24mg / Valsartan 26mg tablets","02050502","02050500","02050502","C09DX04","IMRD"
"52374979","Valsartan 80mg tablets","02050502","00000000","00000000","C09CA03","IMRD"
"52839979","Candesartan 2mg tablets","02050502","00000000","00000000","C09CA06","IMRD"
"53673979","Candesartan 2mg tablets","02050502","00000000","00000000","C09CA06","IMRD"
"54549979","Irbesartan 75mg tablets","02050502","00000000","00000000","C09CA04","IMRD"
"55619979","Irbesartan 75mg tablets","02050502","00000000","00000000","C09CA04","IMRD"
"55621979","Irbesartan 75mg tablets","02050502","00000000","00000000","C09CA04","IMRD"
"56176979","Irbesartan 300mg tablets","02050502","00000000","00000000","C09CA04","IMRD"
"56180979","Irbesartan 150mg tablets","02050502","00000000","00000000","C09CA04","IMRD"
"58058979","Candesartan 32mg tablets","02050502","00000000","00000000","C09CA06","IMRD"
"58096979","Candesartan 8mg tablets","02050502","00000000","00000000","C09CA06","IMRD"
"58319979","Azilsartan medoxomil 20mg tablets","02050502","00000000","00000000","C09CA09","IMRD"
"58320979","Azilsartan medoxomil 20mg tablets","02050502","00000000","00000000","C09CA09","IMRD"
"58542979","Azilsartan medoxomil 80mg tablets","02050502","00000000","00000000","C09CA09","IMRD"
"58543979","Azilsartan medoxomil 80mg tablets","02050502","00000000","00000000","C09CA09","IMRD"
"58544979","Azilsartan medoxomil 40mg tablets","02050502","00000000","00000000","C09CA09","IMRD"
"58545979","Azilsartan medoxomil 40mg tablets","02050502","00000000","00000000","C09CA09","IMRD"
"58562979","Candesartan 32mg tablets","02050502","00000000","00000000","C09CA06","IMRD"
"58564979","Candesartan 32mg tablets","02050502","00000000","00000000","C09CA06","IMRD"
"58682979","Candesartan 8mg tablets","02050502","00000000","00000000","C09CA06","IMRD"
"58683979","Candesartan 8mg tablets","02050502","00000000","00000000","C09CA06","IMRD"
"58684979","Candesartan 8mg tablets","02050502","00000000","00000000","C09CA06","IMRD"
"58688979","Candesartan 4mg tablets","02050502","00000000","00000000","C09CA06","IMRD"
"59483979","Losartan 50mg tablets","02050502","00000000","00000000","C09CA01","IMRD"
"61039979","Valsartan 160mg capsules","02050502","00000000","00000000","C09CA03","IMRD"
"63368979","Candesartan 8mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"63370979","Candesartan 8mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"63687979","Losartan 100mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"63689979","Losartan 100mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"64539979","Losartan 25mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"64572979","Losartan 50mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"64574979","Losartan 50mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"68680978","Losartan 50mg / Hydrochlorothiazide 12.5mg tablets","02050502","02050502","02020100","C09DA01","IMRD"
"70895979","Amlodipine 5mg / Valsartan 80mg tablets","02060200","02050502","02060200","C09DB01","IMRD"
"70899979","Amlodipine 5mg / Valsartan 160mg tablets","02060200","02060200","02050502","C09DB01","IMRD"
"74457978","Candesartan 32mg tablets","02050502","00000000","00000000","C09CA06","IMRD"
"76205978","Telmisartan 80mg / hydrochlorothiazide 12.5mg tablets","00000000","00000000","00000000","","IMRD"
"76207978","Telmisartan 40mg / hydrochlorothiazide 12.5mg tablets","00000000","00000000","00000000","","IMRD"
"78141978","Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets","02050504","00000000","00000000","","IMRD"
"78287978","Irbesartan 300mg tablets","02050502","00000000","00000000","C09CA04","IMRD"
"78705978","Telmisartan 20mg tablets","02050502","00000000","00000000","C09CA07","IMRD"
"79881978","Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets","02050502","02020100","02050502","C09DA04","IMRD"
"81450998","Generic Sevikar HCT 40mg/10mg/25mg tablets","02050502","00000000","00000000","C09DX03","IMRD"
"81451998","Generic Sevikar HCT 40mg/5mg/25mg tablets","02050502","00000000","00000000","C09DX03","IMRD"
"81453998","Generic Sevikar HCT 40mg/10mg/12.5mg tablets","02050502","00000000","00000000","C09DX03","IMRD"
"81454998","Generic Sevikar HCT 40mg/5mg/12.5mg tablets","02050502","00000000","00000000","C09DX03","IMRD"
"81456998","Generic Sevikar HCT 20mg/5mg/12.5mg tablets","02050200","00000000","00000000","C09DX03","IMRD"
"81458998","Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 5mg + 25mg tablet","00000000","00000000","00000000","","IMRD"
"81459998","Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 10mg + 12.5mg tablet","00000000","00000000","00000000","","IMRD"
"81460998","Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 5mg + 12.5mg tablet","00000000","00000000","00000000","","IMRD"
"81461998","Olmesartan medoxomil with amlodipine and hydrochlorothiazide 20mg + 5mg + 12.5mg tablet","00000000","00000000","00000000","","IMRD"
"81611998","Valsartan 3mg/ml oral solution","02050502","00000000","00000000","C09CA03","IMRD"
"81863998","Valsartan 160mg tablets","00000000","00000000","00000000","","IMRD"
"81865998","Valsartan 80mg tablets","00000000","00000000","00000000","","IMRD"
"82196998","Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets","02050502","02020100","02050502","C09DA08","IMRD"
"82197998","Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets","02050502","02050502","02020100","C09DA08","IMRD"
"82750998","Losartan 2.5mg/ml oral suspension sugar free","02050502","00000000","00000000","C09CA01","IMRD"
"82751998","Losartan 2.5mg/ml oral suspension sugar free","02050502","00000000","00000000","C09CA01","IMRD"
"82808978","Ifirmasta 75mg tablets","02050502","00000000","00000000","","IMRD"
"82894998","Losartan 12.5mg tablets","02050502","00000000","00000000","C09CA01","IMRD"
"82895998","Losartan 12.5mg tablets","02050502","00000000","00000000","C09CA01","IMRD"
"82910998","Olmesartan medoxomil 40mg / Amlodipine 10mg tablets","02050500","02060200","02050502","C09DB02","IMRD"
"82911998","Olmesartan medoxomil 40mg / Amlodipine 5mg tablets","02050500","02050502","02060200","C09DB02","IMRD"
"82912998","Olmesartan medoxomil 20mg / Amlodipine 5mg tablets","02050500","02050502","02060200","C09DB02","IMRD"
"82913998","Olmesartan medoxomil 40mg / Amlodipine 10mg tablets","02050500","02050502","02060200","C09DB02","IMRD"
"82914998","Olmesartan medoxomil 40mg / Amlodipine 5mg tablets","02050500","02050502","02060200","C09DB02","IMRD"
"82915998","Olmesartan medoxomil 20mg / Amlodipine 5mg tablets","02050500","02050502","02060200","C09DB02","IMRD"
"83207998","Olmesartan medoxomil 10mg/5ml oral suspension","23000000","00000000","00000000","","IMRD"
"83720998","Telmisartan 80mg / Hydrochlorothiazide 25mg tablets","02050502","02020100","02050502","C09DA07","IMRD"
"83721998","Telmisartan 80mg / Hydrochlorothiazide 25mg tablets","02050502","02050502","02020100","C09DA07","IMRD"
