"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"15910","Nelfinavir 250mg tablets","","","","J05AE04","CEGEDIM"
"15911","Viracept 250mg tablets (Roche Products Ltd)","","","","J05AE04","CEGEDIM"
"15912","Viracept 250mg tablets (Roche Products Ltd) 300 tablet","","","","J05AE04","CEGEDIM"
"15916","Lamivudine 300mg tablets","","","","J05AF05","CEGEDIM"
"15917","Epivir 300mg tablets (ViiV Healthcare UK Ltd)","","","","J05AF05","CEGEDIM"
"15918","Epivir 300mg tablets (ViiV Healthcare UK Ltd) 30 tablet","","","","J05AF05","CEGEDIM"
"15919","Lamivudine 150mg tablets","","","","J05AF05","CEGEDIM"
"15920","Epivir 150mg tablets (ViiV Healthcare UK Ltd)","","","","J05AF05","CEGEDIM"
"15921","Epivir 150mg tablets (ViiV Healthcare UK Ltd) 60 tablet","","","","J05AF05","CEGEDIM"
"15922","Lamivudine 50mg/5ml oral solution","","","","J05AF05","CEGEDIM"
"15923","Epivir 50mg/5ml oral solution (ViiV Healthcare UK Ltd)","","","","J05AF05","CEGEDIM"
"15924","Epivir 50mg/5ml oral solution (ViiV Healthcare UK Ltd) 240 ml","","","","J05AF05","CEGEDIM"
"21130","Tenofovir 245mg tablets","","","","J05AF07","CEGEDIM"
"23807","Lamivudine 100mg tablets","","","","J05AF05","CEGEDIM"
"25030","Zidovudine 300mg / Lamivudine 150mg tablets","","","","J05AR01","CEGEDIM"
"25031","Combivir 150mg/300mg tablets (ViiV Healthcare UK Ltd)","","","","J05AR01","CEGEDIM"
"25032","Combivir 150mg/300mg tablets (ViiV Healthcare UK Ltd) 60 tablet6 x 10 tablets","","","","J05AR01","CEGEDIM"
"27326","Indinavir 400mg capsules","","","","J05AE02","CEGEDIM"
"27327","Crixivan 400mg capsules (Merck Sharp & Dohme Ltd)","","","","J05AE02","CEGEDIM"
"27328","Crixivan 400mg capsules (Merck Sharp & Dohme Ltd) 180 capsule","","","","J05AE02","CEGEDIM"
"27329","Crixivan 400mg capsules (Merck Sharp & Dohme Ltd) 90 capsule","","","","J05AE02","CEGEDIM"
"27330","Indinavir 200mg capsules","","","","J05AE02","CEGEDIM"
"27331","Crixivan 200mg capsules (Merck Sharp & Dohme Ltd)","","","","J05AE02","CEGEDIM"
"27332","Crixivan 200mg capsules (Merck Sharp & Dohme Ltd) 360 capsule","","","","J05AE02","CEGEDIM"
"27333","Indinavir 333mg capsules","","","","J05AE02","CEGEDIM"
"27334","Crixivan 333mg capsules (Merck Sharp & Dohme Ltd)","","","","J05AE02","CEGEDIM"
"27335","Crixivan 333mg capsules (Merck Sharp & Dohme Ltd) 135 capsule","","","","J05AE02","CEGEDIM"
"27395","Saquinavir 200mg capsules","","","","J05AE01","CEGEDIM"
"27400","Saquinavir mesilate 200mg capsules","","","","J05AE01","CEGEDIM"
"27515","Zalcitabine 750microgram tablets","","","","J05AF03","CEGEDIM"
"27516","Hivid 750microgram tablets (Roche Products Ltd)","","","","J05AF03","CEGEDIM"
"27517","Hivid 750microgram tablets (Roche Products Ltd) 100 tablet","","","","J05AF03","CEGEDIM"
"27518","Zalcitabine 375microgram tablets","","","","J05AF03","CEGEDIM"
"27519","Hivid 375microgram tablets (Roche Products Ltd)","","","","J05AF03","CEGEDIM"
"27520","Hivid 375microgram tablets (Roche Products Ltd) 100 tablet","","","","J05AF03","CEGEDIM"
"27622","Ritonavir 80mg/1ml oral solution sugar free","","","","J05AE03","CEGEDIM"
"27623","Norvir 80mg/ml oral solution (AbbVie Ltd)","","","","J05AE03","CEGEDIM"
"27624","Norvir 80mg/ml oral solution (AbbVie Ltd) 450 ml5 x 90ml","","","","J05AE03","CEGEDIM"
"27631","Ritonavir 100mg capsules","","","","J05AE03","CEGEDIM"
"27632","Norvir 100mg capsules (Abbott Laboratories Ltd)","","","","J05AE03","CEGEDIM"
"27633","Norvir 100mg capsules (Abbott Laboratories Ltd) 336 capsule4 x 84 capsules","","","","J05AE03","CEGEDIM"
"27685","Zidovudine 100mg capsules","","","","J05AF01","CEGEDIM"
"27686","Retrovir 100mg capsules (ViiV Healthcare UK Ltd)","","","","J05AF01","CEGEDIM"
"27687","Retrovir 100mg capsules (ViiV Healthcare UK Ltd) 100 capsule","","","","J05AF01","CEGEDIM"
"27688","Zidovudine 250mg capsules","","","","J05AF01","CEGEDIM"
"27689","Retrovir 250mg capsules (ViiV Healthcare UK Ltd)","","","","J05AF01","CEGEDIM"
"27690","Retrovir 250mg capsules (ViiV Healthcare UK Ltd) 40 capsule4 x 10 capsules","","","","J05AF01","CEGEDIM"
"27691","Zidovudine 50mg/5ml oral solution sugar free","","","","J05AF01","CEGEDIM"
"27692","Retrovir 100mg/10ml oral solution (ViiV Healthcare UK Ltd)","","","","J05AF01","CEGEDIM"
"27693","Retrovir 100mg/10ml oral solution (ViiV Healthcare UK Ltd) 200 ml1 x 10ml syringe","","","","J05AF01","CEGEDIM"
"27823","Generic Trizivir tablets","","","","J05AR04","CEGEDIM"
"27824","Trizivir tablets (ViiV Healthcare UK Ltd)","","","","J05AR04","CEGEDIM"
"27825","Trizivir tablets (ViiV Healthcare UK Ltd) 60 tablet","","","","J05AR04","CEGEDIM"
"27984","Ziagen 300mg tablets (ViiV Healthcare UK Ltd) 60 tablet","","","","J05AF06","CEGEDIM"
"27913","Nelfinavir 50mg/g oral powder","","","","J05AE04","CEGEDIM"
"27914","Viracept 50mg/g oral powder (Roche Products Ltd)","","","","J05AE04","CEGEDIM"
"27915","Viracept 50mg/g oral powder (Roche Products Ltd) 144 gram","","","","J05AE04","CEGEDIM"
"27919","Didanosine 125mg gastro-resistant capsules","","","","J05AF02","CEGEDIM"
"27922","Didanosine 200mg gastro-resistant capsules","","","","J05AF02","CEGEDIM"
"27925","Didanosine 250mg gastro-resistant capsules","","","","J05AF02","CEGEDIM"
"27928","Didanosine 400mg gastro-resistant capsules","","","","J05AF02","CEGEDIM"
"27985","Abacavir 20mg/ml oral solution sugar free","","","","J05AF06","CEGEDIM"
"27982","Abacavir 300mg tablets","","","","J05AF06","CEGEDIM"
"27983","Ziagen 300mg tablets (ViiV Healthcare UK Ltd)","","","","J05AF06","CEGEDIM"
"27986","Ziagen 20mg/ml oral solution (ViiV Healthcare UK Ltd)","","","","J05AF06","CEGEDIM"
"27987","Ziagen 20mg/ml oral solution (ViiV Healthcare UK Ltd) 240 ml","","","","J05AF06","CEGEDIM"
"28015","Stavudine 20mg capsules","","","","J05AF04","CEGEDIM"
"28016","Zerit 20mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd)","","","","J05AF04","CEGEDIM"
"28017","Zerit 20mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) 56 capsule4 x 14 capsules","","","","J05AF04","CEGEDIM"
"28018","Stavudine 30mg capsules","","","","J05AF04","CEGEDIM"
"28019","Zerit 30mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd)","","","","J05AF04","CEGEDIM"
"28020","Zerit 30mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) 56 capsule4 x 14 capsules","","","","J05AF04","CEGEDIM"
"28021","Stavudine 40mg capsules","","","","J05AF04","CEGEDIM"
"28022","Zerit 40mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd)","","","","J05AF04","CEGEDIM"
"28023","Zerit 40mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) 56 capsule4 x 14 capsules","","","","J05AF04","CEGEDIM"
"28024","Stavudine 15mg capsules","","","","J05AF04","CEGEDIM"
"28025","Zerit 15mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd)","","","","J05AF04","CEGEDIM"
"28026","Zerit 15mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) 56 capsule4 x 14 capsules","","","","J05AF04","CEGEDIM"
"28027","Stavudine 1mg/ml oral solution","","","","J05AF04","CEGEDIM"
"28028","Zerit 1mg/ml oral solution (Bristol-Myers Squibb Pharmaceuticals Ltd)","","","","J05AF04","CEGEDIM"
"28029","Zerit 1mg/ml oral solution (Bristol-Myers Squibb Pharmaceuticals Ltd) 200 ml","","","","J05AF04","CEGEDIM"
"28036","Lamivudine 25mg/5ml oral solution","","","","J05AF05","CEGEDIM"
"28039","Nevirapine 50mg/5ml oral suspension","","","","J05AG01","CEGEDIM"
"28040","Viramune 50mg/5ml oral suspension (Boehringer Ingelheim Ltd)","","","","J05AG01","CEGEDIM"
"28041","Viramune 50mg/5ml oral suspension (Boehringer Ingelheim Ltd) 240 ml","","","","J05AG01","CEGEDIM"
"28042","Nevirapine 200mg tablets","","","","J05AG01","CEGEDIM"
"28043","Viramune 200mg tablets (Boehringer Ingelheim Ltd)","","","","J05AG01","CEGEDIM"
"28044","Viramune 200mg tablets (Boehringer Ingelheim Ltd) 60 tablet6 x 10 tablets","","","","J05AG01","CEGEDIM"
"28080","Didanosine 25mg dispersible chewable tablets sugar free","","","","J05AF02","CEGEDIM"
"28083","Didanosine 200mg dispersible chewable tablets sugar free","","","","J05AF02","CEGEDIM"
"28542","Efavirenz 100mg capsules","","","","J05AG03","CEGEDIM"
"28543","Sustiva 100mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd)","","","","J05AG03","CEGEDIM"
"28544","Sustiva 100mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) 30 capsule","","","","J05AG03","CEGEDIM"
"28554","Efavirenz 50mg capsules","","","","J05AG03","CEGEDIM"
"28555","Sustiva 50mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd)","","","","J05AG03","CEGEDIM"
"28556","Sustiva 50mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) 30 capsule","","","","J05AG03","CEGEDIM"
"28574","Efavirenz 200mg capsules","","","","J05AG03","CEGEDIM"
"28575","Sustiva 200mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd)","","","","J05AG03","CEGEDIM"
"28576","Sustiva 200mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) 90 capsule","","","","J05AG03","CEGEDIM"
"29287","Zidovudine 200mg/20ml solution for infusion vials","","","","J05AF01","CEGEDIM"
"29288","Retrovir IV 200mg/20ml concentrate for solution for infusion vials (ViiV Healthcare UK Ltd)","","","","J05AF01","CEGEDIM"
"29289","Retrovir IV 200mg/20ml concentrate for solution for infusion vials (ViiV Healthcare UK Ltd) 5 vial","","","","J05AF01","CEGEDIM"
"29649","Lopinavir 133.3mg / Ritonavir 33.3mg capsules","","","","J05AR10","CEGEDIM"
"29650","Kaletra 133.3mg/33.3mg capsules (Abbott Laboratories Ltd)","","","","J05AR10","CEGEDIM"
"29651","Kaletra 133.3mg/33.3mg capsules (Abbott Laboratories Ltd) 180 capsule2 x 90 capsules","","","","J05AR10","CEGEDIM"
"29822","Lopinavir 400mg/5ml / Ritonavir 100mg/5ml oral solution","","","","J05AR10","CEGEDIM"
"29823","Kaletra 80mg/20mg/1ml oral solution (AbbVie Ltd)","","","","J05AR10","CEGEDIM"
"29824","Kaletra 80mg/20mg/1ml oral solution (AbbVie Ltd) 300 ml5 x 60ml bottles","","","","J05AR10","CEGEDIM"
"30241","Efavirenz 30mg/ml oral solution sugar free","","","","J05AG03","CEGEDIM"
"30242","Sustiva 30mg/ml oral solution (Bristol-Myers Squibb Pharmaceuticals Ltd)","","","","J05AG03","CEGEDIM"
"30243","Sustiva 30mg/ml oral solution (Bristol-Myers Squibb Pharmaceuticals Ltd) 180 ml","","","","J05AG03","CEGEDIM"
"30773","Amprenavir 150mg capsules","","","","J05AE05","CEGEDIM"
"30774","Agenerase 150mg capsules (GlaxoSmithKline UK Ltd)","","","","J05AE05","CEGEDIM"
"30775","Agenerase 150mg capsules (GlaxoSmithKline UK Ltd) 240 capsule","","","","J05AE05","CEGEDIM"
"30778","Amprenavir 15mg/ml oral solution sugar free","","","","J05AE05","CEGEDIM"
"30779","Agenerase 15mg/ml oral solution bubblegum (GlaxoSmithKline UK Ltd)","","","","J05AE05","CEGEDIM"
"30780","Agenerase 15mg/ml oral solution bubblegum (GlaxoSmithKline UK Ltd) 240 ml","","","","J05AE05","CEGEDIM"
"30781","Agenerase 15mg/ml oral solution grape (GlaxoSmithKline UK Ltd)","","","","J05AE05","CEGEDIM"
"30782","Agenerase 15mg/ml oral solution grape (GlaxoSmithKline UK Ltd) 240 ml","","","","J05AE05","CEGEDIM"
"30783","Agenerase 15mg/ml oral solution (GlaxoSmithKline UK Ltd)","","","","J05AE05","CEGEDIM"
"30784","Agenerase 15mg/ml oral solution (GlaxoSmithKline UK Ltd) 240 ml","","","","J05AE05","CEGEDIM"
"30785","Amprenavir 50mg capsules","","","","J05AE05","CEGEDIM"
"30786","Agenerase 50mg capsules (GlaxoSmithKline UK Ltd)","","","","J05AE05","CEGEDIM"
"30787","Agenerase 50mg capsules (GlaxoSmithKline UK Ltd) 480 capsule","","","","J05AE05","CEGEDIM"
"32127","Efavirenz 600mg tablets","","","","J05AG03","CEGEDIM"
"32128","Sustiva 600mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)","","","","J05AG03","CEGEDIM"
"32129","Sustiva 600mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd) 30 tablet","","","","J05AG03","CEGEDIM"
"32158","Didanosine 150mg dispersible chewable tablets sugar free","","","","J05AF02","CEGEDIM"
"34955","Crixivan 400mg capsules (Merck Sharp & Dohme Ltd) 180 capsule30 x 6 capsules","","","","J05AE02","CEGEDIM"
"34966","Indinavir 100mg capsules","","","","J05AE02","CEGEDIM"
"34967","Crixivan 100mg capsules (Merck Sharp & Dohme Ltd)","","","","J05AE02","CEGEDIM"
"34968","Crixivan 100mg capsules (Merck Sharp & Dohme Ltd) 180 capsule","","","","J05AE02","CEGEDIM"
"34977","Emtricitabine 200mg capsules","","","","J05AF09","CEGEDIM"
"34978","Emtriva 200mg capsules (Gilead Sciences International Ltd)","","","","J05AF09","CEGEDIM"
"34979","Emtriva 200mg capsules (Gilead Sciences International Ltd) 30 capsule","","","","J05AF09","CEGEDIM"
"53055","Atazanavir 150mg capsules","","","","J05AE08","CEGEDIM"
"53056","Reyataz 150mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd)","","","","J05AE08","CEGEDIM"
"53057","Reyataz 150mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) 60 capsule10 x 6 capsules","","","","J05AE08","CEGEDIM"
"53058","Atazanavir 200mg capsules","","","","J05AE08","CEGEDIM"
"53059","Reyataz 200mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd)","","","","J05AE08","CEGEDIM"
"53060","Reyataz 200mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) 60 capsule10 x 6 capsules","","","","J05AE08","CEGEDIM"
"57708","Telzir 700mg tablets (ViiV Healthcare UK Ltd)","","","","J05AE07","CEGEDIM"
"57709","Telzir 700mg tablets (ViiV Healthcare UK Ltd) 60 tablet","","","","J05AE07","CEGEDIM"
"57707","Fosamprenavir 700mg tablets","","","","J05AE07","CEGEDIM"
"57740","Enfuvirtide 108mg powder and solvent for solution for injection vials","","","","J05AX07","CEGEDIM"
"57741","Fuzeon 108mg powder and solvent for solution for injection vials (Roche Products Ltd)","","","","J05AX07","CEGEDIM"
"57742","Fuzeon 108mg powder and solvent for solution for injection vials (Roche Products Ltd) 60 vial","","","","J05AX07","CEGEDIM"
"59078","Atazanavir 100mg capsules","","","","J05AE08","CEGEDIM"
