"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"462941000033118","Didanosine Tablets 100 mg    ","","","","","CPRD_AURUM"
"1222141000033112","Saquinavir Mesylate Capsules 200 mg    ","","","","","CPRD_AURUM"
"1557841000033112","Zidovudine Tablets 300 mg    ","","","","","CPRD_AURUM"
"1157941000033111","Retrovir Infusion 200 mg/10 ml    ","","","","","CPRD_AURUM"
"1659441000033114","Nelfinavir Mesylate Tablets 250 mg    ","","","","","CPRD_AURUM"
"463441000033119","Didanosine Tablets 150 mg    ","","","","","CPRD_AURUM"
"1165141000033113","Retrovir Tablets 300 mg    ","","","","","CPRD_AURUM"
"1554541000033117","Zidovudine Infusion 200 mg/10 ml    ","","","","","CPRD_AURUM"
"1659241000033113","Nelfinavir Mesylate Oral powder 50 mg/gram    ","","","","","CPRD_AURUM"
"11662741000033118","Tenofovir And Emtricitabine Tablets 25 mg + 200 mg    ","","","","","CPRD_AURUM"
"11662641000033110","Tenofovir And Emtricitabine Tablets 10 mg + 200 mg    ","","","","","CPRD_AURUM"
"2213741000033110","Amprenavir 15mg/ml oral solution sugar free Oral solution Oral Amprenavir 15.000mg/1.000ml","","","","","CPRD_AURUM"
"2214041000033110","Agenerase 15mg/ml oral solution (GlaxoSmithKline UK Ltd) Oral solution Oral Amprenavir 15.000mg/1.000ml","","","","","CPRD_AURUM"
"2213941000033113","Agenerase 150mg capsules (GlaxoSmithKline UK Ltd) Capsule Oral Amprenavir 150.000mg","","","","","CPRD_AURUM"
"2213641000033118","Amprenavir 150mg capsules Capsule Oral Amprenavir 150.000mg","","","","","CPRD_AURUM"
"2213541000033119","Amprenavir 50mg capsules Capsule Oral Amprenavir 50.000mg","","","","","CPRD_AURUM"
"2213841000033117","Agenerase 50mg capsules (GlaxoSmithKline UK Ltd) Capsule Oral Amprenavir 50.000mg","","","","","CPRD_AURUM"
"2288941000033115","Kaletra 80mg/20mg/1ml oral solution (AbbVie Ltd) Oral solution Oral Lopinavir/ Ritonavir 80.000mg/1.000ml + 20.000mg/1.000ml","5030100","","","","CPRD_AURUM"
"3181041000033118","Lopinavir 400mg/5ml / Ritonavir 100mg/5ml oral solution Oral solution Oral Lopinavir/ Ritonavir 80.000mg/1.000ml + 20.000mg/1.000ml","5030100","","","","CPRD_AURUM"
"3180941000033111","Lopinavir 133.3mg / Ritonavir 33.3mg capsules Capsule Oral Lopinavir/ Ritonavir 133.300mg + 33.300mg","5030100","","","","CPRD_AURUM"
"2288841000033111","Kaletra 133.3mg/33.3mg capsules (Abbott Laboratories Ltd) Capsule Oral Lopinavir/ Ritonavir 133.300mg + 33.300mg","5030100","","","","CPRD_AURUM"
"1553641000033118","Zidovudine 100mg capsules Capsule Oral Zidovudine 100.000mg","5030100","","","","CPRD_AURUM"
"1155841000033111","Retrovir 100mg capsules (ViiV Healthcare UK Ltd) Capsule Oral Zidovudine 100.000mg","5030100","","","","CPRD_AURUM"
"1155941000033115","Retrovir 250mg capsules (ViiV Healthcare UK Ltd) Capsule Oral Zidovudine 250.000mg","5030100","","","","CPRD_AURUM"
"1553241000033116","Zidovudine 250mg capsules Capsule Oral Zidovudine 250.000mg","5030100","","","","CPRD_AURUM"
"2192541000033110","Didanosine 400mg gastro-resistant capsules Gastro-resistant capsule Oral Didanosine 400.000mg","5030100","","","","CPRD_AURUM"
"2192941000033116","Videx EC 400mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) Gastro-resistant capsule Oral Didanosine 400.000mg","5030100","","","","CPRD_AURUM"
"2192841000033112","Videx EC 250mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) Gastro-resistant capsule Oral Didanosine 250.000mg","5030100","","","","CPRD_AURUM"
"2192441000033114","Didanosine 250mg gastro-resistant capsules Gastro-resistant capsule Oral Didanosine 250.000mg","5030100","","","","CPRD_AURUM"
"2192341000033115","Didanosine 200mg gastro-resistant capsules Gastro-resistant capsule Oral Didanosine 200.000mg","5030100","","","","CPRD_AURUM"
"2192741000033119","Videx EC 200mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) Gastro-resistant capsule Oral Didanosine 200.000mg","5030100","","","","CPRD_AURUM"
"2192641000033111","Videx EC 125mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) Gastro-resistant capsule Oral Didanosine 125.000mg","5030100","","","","CPRD_AURUM"
"2192241000033113","Didanosine 125mg gastro-resistant capsules Gastro-resistant capsule Oral Didanosine 125.000mg","5030100","","","","CPRD_AURUM"
"1550241000033112","Zalcitabine 750microgram tablets Tablet Oral Zalcitabine 750.000microgram","","","","","CPRD_AURUM"
"670741000033111","Hivid 750microgram tablets (Roche Products Ltd) Tablet Oral Zalcitabine 750.000microgram","","","","","CPRD_AURUM"
"670641000033119","Hivid 375microgram tablets (Roche Products Ltd) Tablet Oral Zalcitabine 375.000microgram","","","","","CPRD_AURUM"
"1550141000033117","Zalcitabine 375microgram tablets Tablet Oral Zalcitabine 375.000microgram","","","","","CPRD_AURUM"
"532841000033114","Epivir 150mg tablets (ViiV Healthcare UK Ltd) Tablet Oral Lamivudine 150.000mg","5030100","","","","CPRD_AURUM"
"817941000033113","Lamivudine 150mg tablets Tablet Oral Lamivudine 150.000mg","5030100","","","","CPRD_AURUM"
"812541000033116","Lamivudine 50mg/5ml oral solution Oral solution Oral Lamivudine 10.000mg/1.000ml","5030100","","","","CPRD_AURUM"
"530641000033114","Epivir 50mg/5ml oral solution (ViiV Healthcare UK Ltd) Oral solution Oral Lamivudine 10.000mg/1.000ml","5030100","","","","CPRD_AURUM"
"1855041000033110","Zeffix 5mg/ml oral solution (GlaxoSmithKline UK Ltd) Oral solution Oral Lamivudine 5.000mg/1.000ml","","","","","CPRD_AURUM"
"1853341000033113","Lamivudine 25mg/5ml oral solution Oral solution Oral Lamivudine 5.000mg/1.000ml","","","","","CPRD_AURUM"
"1853241000033115","Lamivudine 100mg tablets Tablet Oral Lamivudine 100.000mg","5030100","","","","CPRD_AURUM"
"1854941000033110","Zeffix 100mg tablets (GlaxoSmithKline UK Ltd) Tablet Oral Lamivudine 100.000mg","5030100","","","","CPRD_AURUM"
"1551041000033113","Zerit 15mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) Capsule Oral Stavudine 15.000mg","5030100","","","","CPRD_AURUM"
"1376941000033117","Stavudine 15mg capsules Capsule Oral Stavudine 15.000mg","5030100","","","","CPRD_AURUM"
"1377041000033116","Stavudine 20mg capsules Capsule Oral Stavudine 20.000mg","5030100","","","","CPRD_AURUM"
"1551141000033112","Zerit 20mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) Capsule Oral Stavudine 20.000mg","5030100","","","","CPRD_AURUM"
"1551241000033117","Zerit 30mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) Capsule Oral Stavudine 30.000mg","5030100","","","","CPRD_AURUM"
"1377141000033117","Stavudine 30mg capsules Capsule Oral Stavudine 30.000mg","5030100","","","","CPRD_AURUM"
"1377241000033112","Stavudine 40mg capsules Capsule Oral Stavudine 40.000mg","5030100","","","","CPRD_AURUM"
"1551341000033110","Zerit 40mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) Capsule Oral Stavudine 40.000mg","5030100","","","","CPRD_AURUM"
"1551441000033116","Zerit 1mg/ml oral solution (Bristol-Myers Squibb Pharmaceuticals Ltd) Oral solution Oral Stavudine 1.000mg/1.000ml","5030100","","","","CPRD_AURUM"
"1382341000033111","Stavudine 1mg/ml oral solution Oral solution Oral Stavudine 1.000mg/1.000ml","5030100","","","","CPRD_AURUM"
"1171041000033117","Ritonavir 100mg capsules Capsule Oral Ritonavir 100.000mg","","","","","CPRD_AURUM"
"979041000033119","Norvir 100mg capsules (Abbott Laboratories Ltd) Capsule Oral Ritonavir 100.000mg","","","","","CPRD_AURUM"
"983741000033113","Norvir 80mg/ml oral solution (AbbVie Ltd) Oral solution Oral Ritonavir 80.000mg/1.000ml","5030100","","","","CPRD_AURUM"
"1174441000033112","Ritonavir 80mg/1ml oral solution sugar free Oral solution Oral Ritonavir 80.000mg/1.000ml","5030100","","","","CPRD_AURUM"
"1781141000033116","Saquinavir 200mg capsules Capsule Oral Saquinavir 200.000mg","","","","","CPRD_AURUM"
"1781241000033111","Fortovase 200mg capsules (Roche Products Ltd) Capsule  Saquinavir 200.000mg","","","","","CPRD_AURUM"
"385341000033116","Crixivan 200mg capsules (Merck Sharp & Dohme Ltd) Capsule Oral Indinavir sulfate 200.000mg","5030100","","","","CPRD_AURUM"
"757841000033113","Indinavir 200mg capsules Capsule Oral Indinavir sulfate 200.000mg","5030100","","","","CPRD_AURUM"
"757941000033117","Indinavir 400mg capsules Capsule Oral Indinavir sulfate 400.000mg","5030100","","","","CPRD_AURUM"
"385441000033110","Crixivan 400mg capsules (Merck Sharp & Dohme Ltd) Capsule Oral Indinavir sulfate 400.000mg","5030100","","","","CPRD_AURUM"
"2657041000033110","Crixivan 333mg capsules (Merck Sharp & Dohme Ltd) Capsule Oral Indinavir sulfate 333.000mg","","","","","CPRD_AURUM"
"2656941000033114","Indinavir 333mg capsules Capsule Oral Indinavir sulfate 333.000mg","5030100","","","","CPRD_AURUM"
"3180741000033113","Zidovudine 300mg / Lamivudine 150mg tablets Tablet Oral Lamivudine/ Zidovudine 150.000mg + 300.000mg","5030100","","","","CPRD_AURUM"
"1593741000033116","Combivir 150mg/300mg tablets (ViiV Healthcare UK Ltd) Tablet Oral Lamivudine/ Zidovudine 150.000mg + 300.000mg","5030100","","","","CPRD_AURUM"
"1706641000033116","Viramune 200mg tablets (Boehringer Ingelheim Ltd) Tablet Oral Nevirapine 200.000mg","5030100","","","","CPRD_AURUM"
"1659341000033115","Nevirapine 200mg tablets Tablet Oral Nevirapine 200.000mg","5030100","","","","CPRD_AURUM"
