"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"33607","Lamivudine 25mg/5ml oral solution Lamivudine 5mg/1ml Oral solution Oral","00000000","","","","CPRD_GOLD"
"37929","Efavirenz with emtricitabine and tenofovir 600mg with 200mg with 245mg tablets Efavirenz/Tenofovir Disoproxil Fumarate/Emtricitabine 600mg + 200mg + 245mg Tablets Oral","05030150","05030152","","","CPRD_GOLD"
"75484","Saquinavir 200mg capsules Saquinavir 200mg Capsule Oral","00000000","","","","CPRD_GOLD"
"37386","Viracept 250mg Tablet (Roche Products Ltd) Nelfinavir mesilate 250mg Tablet Oral","05030151","","","","CPRD_GOLD"
"40757","Darunavir 400mg tablets Darunavir ethanolate 400mg Tablet Oral","05030151","","","","CPRD_GOLD"
"16005","Abacavir 300mg tablets Abacavir sulfate 300mg Tablet Oral","05030150","","","","CPRD_GOLD"
"57893","Raltegravir 25mg chewable tablets Raltegravir 25mg Chewable tablet Oral","05030153","","","","CPRD_GOLD"
"62720","Prezista 100mg/ml oral suspension (Janssen-Cilag Ltd) Darunavir ethanolate 100mg/1ml Oral suspension Oral","05030151","","","","CPRD_GOLD"
"70875","Generic Eviplera 200mg/25mg/245mg tablets Emtricitabine/Rilpivirine hydrochloride/Tenofovir disoproxil fumarate 200mg + 25mg + 245mg Tablet Oral","05030100","","","","CPRD_GOLD"
"53364","Generic Trizivir tablets Abacavir sulfate/Zidovudine/Lamivudine 300mg + 300mg + 150mg Tablet Oral","05030150","","","","CPRD_GOLD"
"69369","Rezolsta 800mg/150mg tablets (Janssen-Cilag Ltd) Darunavir ethanolate/Cobicistat 800mg + 150mg Tablet Oral","05030151","","","","CPRD_GOLD"
"44383","Ritonavir 80mg/1ml oral solution sugar free Ritonavir 80mg/1ml Oral solution Oral","05030151","","","","CPRD_GOLD"
"31111","Nevirapine 50mg/5ml oral suspension Nevirapine hemihydrate 10mg/1ml Oral suspension Oral","05030100","","","","CPRD_GOLD"
"7353","Ritonavir 100mg capsules Ritonavir 100mg Capsule Oral","00000000","","","","CPRD_GOLD"
"7232","Indinavir 400mg capsules Indinavir sulfate 400mg Capsule Oral","05030100","05030151","","","CPRD_GOLD"
"12957","Zidovudine 10mg/1ml oral solution sugar free Zidovudine 10mg/1ml Oral solution Oral","05030150","","","","CPRD_GOLD"
"68659","Odefsey 200mg/25mg/25mg tablets (Gilead Sciences International Ltd) Tenofovir alafenamide fumarate/Rilpivirine hydrochloride/Emtricitabine 25mg + 25mg + 200mg Tablet Oral","05030100","","","","CPRD_GOLD"
"56920","Isentress 25mg chewable tablets (Merck Sharp & Dohme Ltd) Raltegravir 25mg Chewable tablet Oral","05030153","","","","CPRD_GOLD"
"45630","Ritonavir 100mg tablets Ritonavir 100mg Tablet Oral","05030151","","","","CPRD_GOLD"
"62732","Tenofovir 123mg tablets Tenofovir disoproxil fumarate 123mg Tablet Oral","05030150","","","","CPRD_GOLD"
"65935","Etravirine 25mg tablets Etravirine 25mg Tablet Oral","05030152","","","","CPRD_GOLD"
"31907","Indinavir 200mg capsules Indinavir sulfate 200mg Capsule Oral","05030100","05030151","","","CPRD_GOLD"
"32037","Reyataz 100mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) Atazanavir sulfate 100mg Capsule Oral","05030151","","","","CPRD_GOLD"
"7354","Saquinavir mesilate 500mg tablets Saquinavir mesilate 500mg Tablet Oral","05030151","","","","CPRD_GOLD"
"28507","Saquinavir mesilate 200mg capsules Saquinavir mesilate 200mg Capsule Oral","05030151","","","","CPRD_GOLD"
"15858","Stavudine 40mg capsules Stavudine 40mg Capsule Oral","05030150","","","","CPRD_GOLD"
"60407","Isentress 400mg tablets (Merck Sharp & Dohme Ltd) Raltegravir 400mg Tablet Oral","05030153","","","","CPRD_GOLD"
"79912","Viramune 50mg modified-release tablets (Boehringer Ingelheim Ltd) Nevirapine 50mg Modified-release tablet Oral","05030100","","","","CPRD_GOLD"
"38541","Atazanavir 200mg capsules Atazanavir sulfate 200mg Capsule Oral","05030151","","","","CPRD_GOLD"
"31058","Didanosine 125mg gastro-resistant capsules Didanosine 125mg Gastro-resistant capsule Oral","05030150","","","","CPRD_GOLD"
"78757","Generic Symtuza 800mg/150mg/200mg/10mg tablets Cobicistat/Emtricitabine/Tenofovir alafenamide fumarate/Darunavir ethanolate 150mg + 200mg + 10mg + 800mg Tablet Oral","05030100","","","","CPRD_GOLD"
