"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"18265978","Bictegravir 50mg / emtricitabine 200mg / tenofovir alafenamide 25mg tablets","00000000","00000000","00000000","","IMRD"
"20671978","Tenofovir alafenamide 25mg tablets","00000000","00000000","00000000","","IMRD"
"21291978","Generic symtuza 800mg/150mg/200mg/10mg tablets","00000000","00000000","00000000","","IMRD"
"21544978","Raltegravir 600mg tablets","00000000","00000000","00000000","","IMRD"
"24264978","Dolutegravir 10mg tablets","00000000","00000000","00000000","","IMRD"
"24265978","Dolutegravir 10mg tablets","00000000","00000000","00000000","","IMRD"
"29700978","Generic odefsey 200mg/25mg/25mg tablets","00000000","00000000","00000000","","IMRD"
"29701978","Generic odefsey 200mg/25mg/25mg tablets","00000000","00000000","00000000","","IMRD"
"30063978","Ritonavir 100mg oral powder sachets sugar free","00000000","00000000","00000000","","IMRD"
"30511978","Emtricitabine 200mg / tenofovir alafenamide 25mg tablets","00000000","00000000","00000000","","IMRD"
"30512978","Emtricitabine 200mg / tenofovir alafenamide 25mg tablets","00000000","00000000","00000000","","IMRD"
"30513978","Emtricitabine 200mg / tenofovir alafenamide 10mg tablets","00000000","00000000","00000000","","IMRD"
"30514978","Emtricitabine 200mg / tenofovir alafenamide 10mg tablets","00000000","00000000","00000000","","IMRD"
"38747978","Generic Genvoya 150mg/150mg/200mg/10mg tablets","05030100","00000000","00000000","J05AR18","IMRD"
"38748978","Generic genvoya 150mg/150mg/200mg/10mg tablets","00000000","00000000","00000000","","IMRD"
"46027978","Atazanavir 300mg / Cobicistat 150mg tablets","05030100","05030100","00000000","J05AR15","IMRD"
"47421978","Raltegravir 100mg granules sachets","05030100","00000000","00000000","J05AX08","IMRD"
"52097979","Darunavir 800mg tablets","05030100","00000000","00000000","J05AE10","IMRD"
"52098979","Darunavir 800mg tablets","05030100","00000000","00000000","J05AE10","IMRD"
"53323979","Darunavir 100mg/ml oral suspension sugar free","05030100","00000000","00000000","J05AE10","IMRD"
"53324979","Darunavir 100mg/ml oral suspension sugar free","05030100","00000000","00000000","J05AE10","IMRD"
"55786978","Darunavir 800mg / Cobicistat 150mg tablets","05030100","05030100","00000000","J05AR14","IMRD"
"57890979","Generic Eviplera 200mg/25mg/245mg tablets","05030100","00000000","00000000","J05AR08","IMRD"
"57891979","Generic eviplera 200mg/25mg/245mg tablets","00000000","00000000","00000000","","IMRD"
"59483978","Generic Triumeq 50mg/600mg/300mg tablets","05030100","00000000","00000000","J05AR13","IMRD"
"59484978","Generic triumeq 50mg/600mg/300mg tablets","00000000","00000000","00000000","","IMRD"
"60538979","Etravirine 200mg tablets","05030100","00000000","00000000","J05AG04","IMRD"
"60766979","Rilpivirine 25mg tablets","05030100","00000000","00000000","J05AG05","IMRD"
"61618979","Nevirapine 50mg modified-release tablets","05030100","00000000","00000000","J05AG01","IMRD"
"61620979","Nevirapine 100mg modified-release tablets","05030100","00000000","00000000","J05AG01","IMRD"
"66523979","Efavirenz 600mg / emtricitabine 200mg / tenofovir disoproxil 245mg tablets","00000000","00000000","00000000","","IMRD"
"77063978","Dolutegravir 50mg tablets","05030100","00000000","00000000","J05AX12","IMRD"
