"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"448141000033111","Digoxin Injection 250 micrograms/1 ml    ","","","","","CPRD_AURUM"
"781841000033110","Isomide Cr M/R tablets 250 mg    ","","","","","CPRD_AURUM"
"830241000033110","Lignocaine Hydrochloride Injection 1 %, 5 ml ampoule    ","","","","","CPRD_AURUM"
"1070741000033118","Phenytoin Sodium Chewable tablets 50 mg    ","","","","","CPRD_AURUM"
"1139541000033112","Procainamide Hydrochloride Tablets 250 mg    ","","","","","CPRD_AURUM"
"1447241000033117","Tocainide Hydrochloride Injection 50 mg/ml    ","","","","","CPRD_AURUM"
"446841000033116","Digoxin Injection 250 micrograms/ml    ","","","","","CPRD_AURUM"
"804441000033114","Kiditard M/R capsules 250 mg    ","","","","","CPRD_AURUM"
"830941000033118","Lignocaine Hydrochloride Infusion 1 mg/ml    ","","","","","CPRD_AURUM"
"831041000033111","Lignocaine Hydrochloride Infusion 2 mg/ml    ","","","","","CPRD_AURUM"
"829541000033116","Lignocaine 0.1% In Glucose Infusion 1 mg/ml    ","","","","","CPRD_AURUM"
"1545641000033115","Xylocaine With Adrenaline Injection 2 %    ","","","","","CPRD_AURUM"
"2925541000033112","Anhydrous Lignocaine Hydrochloride With Adrenaline Injection 1 % / 1:200 000, 20 ml vial    ","","","","","CPRD_AURUM"
"66941000033111","Anhydrous Lignocaine Hydrochloride Oral solution 20 mg/ml    ","","","","","CPRD_AURUM"
"528941000033118","Epanutin Ready Mixed Parenteral Injection 50mg/ml    ","","","","","CPRD_AURUM"
"818441000033119","Lanatoside C Tablets 250 micrograms    ","","","","","CPRD_AURUM"
"830141000033115","Lignocaine Hydrochloride Injection 1 %, 20 ml ampoule    ","","","","","CPRD_AURUM"
"1077941000033116","Phenytoin Sodium Suspension 30 mg/5 ml    ","","","","","CPRD_AURUM"
"1082841000033115","Phenytoin Tablets 100 mg    ","","","","","CPRD_AURUM"
"1452641000033119","Tocainide Hydrochloride Tablets 400 mg    ","","","","","CPRD_AURUM"
"1451141000033116","Tonocard Tablets 400 mg    ","","","","","CPRD_AURUM"
"1545741000033112","Xylocaine With Adrenaline Injection 0.5 %    ","","","","","CPRD_AURUM"
"1133441000033113","Procainamide Durules Tablets 500 mg    ","","","","","CPRD_AURUM"
"1134941000033117","Pronestyl Tablets 250 mg    ","","","","","CPRD_AURUM"
"1148941000033112","Quinidine Bisulfate M/R capsules 250 mg    ","","","","","CPRD_AURUM"
"1151041000033119","Quinidine Sulfate Tablets 300 mg    ","","","","","CPRD_AURUM"
"872741000033118","Mexiletine Hydrochloride Capsules 200 mg    ","","","","","CPRD_AURUM"
"64041000033119","Anhydrous Lignocaine Hydrochloride With Adrenaline Injection 1 %    ","","","","","CPRD_AURUM"
"64141000033115","Anhydrous Lignocaine Hydrochloride With Adrenaline Injection 2 %    ","","","","","CPRD_AURUM"
"829841000033119","Lignocaine Hydrochloride Injection 1 %, 10 ml ampoule    ","","","","","CPRD_AURUM"
"831141000033110","Lignocaine Hydrochloride Infusion 200 mg/ml    ","","","","","CPRD_AURUM"
