"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"14579978","Mexiletine 167mg capsules","00000000","00000000","00000000","","IMRD"
"20267978","Flecainide 100mg tablets","02030200","00000000","00000000","C01BC04","IMRD"
"23045978","Lidocaine 40mg/2ml (2%) solution for injection ampoules","15020000","00000000","00000000","N01BB02","IMRD"
"42677978","Phenytoin sodium 100mg tablets","04080100","00000000","00000000","N03AB02","IMRD"
"46532978","Phenytoin sodium 50mg capsules","04080100","00000000","00000000","N03AB02","IMRD"
"47250978","Phenytoin sodium 100mg capsules","04080100","00000000","00000000","N03AB02","IMRD"
"52635979","Phenytoin sodium 100mg tablets","04080100","00000000","00000000","N03AB02","IMRD"
"52905979","Flecainide 100mg tablets","02030200","00000000","00000000","C01BC04","IMRD"
"54822979","Phenytoin sodium 100mg capsules","04080100","00000000","00000000","N03AB02","IMRD"
"54823979","Phenytoin sodium 100mg capsules","04080100","00000000","00000000","N03AB02","IMRD"
"54824979","Phenytoin sodium 50mg capsules","04080100","00000000","00000000","N03AB02","IMRD"
"54825979","Phenytoin sodium 50mg capsules","04080100","00000000","00000000","N03AB02","IMRD"
"54826979","Phenytoin sodium 25mg capsules","04080100","00000000","00000000","N03AB02","IMRD"
"54827979","Phenytoin sodium 25mg capsules","04080100","00000000","00000000","N03AB02","IMRD"
"54828979","Phenytoin sodium 300mg capsules","04080100","00000000","00000000","N03AB02","IMRD"
"54829979","Phenytoin sodium 300mg capsules","04080100","00000000","00000000","N03AB02","IMRD"
"54880979","Mexiletine 100mg capsules","00000000","00000000","00000000","","IMRD"
"54881979","Mexiletine 100mg capsules","00000000","00000000","00000000","","IMRD"
"55600979","Phenytoin sodium 100mg capsules","04080100","00000000","00000000","N03AB02","IMRD"
"55601979","Phenytoin sodium 50mg capsules","04080100","00000000","00000000","N03AB02","IMRD"
"55602979","Phenytoin sodium 25mg capsules","04080100","00000000","00000000","N03AB02","IMRD"
"55603979","Phenytoin sodium 300mg capsules","04080100","00000000","00000000","N03AB02","IMRD"
"56154979","Phenytoin sodium 100mg tablets","04080100","00000000","00000000","N03AB02","IMRD"
"56190979","Digoxin 62.5microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"58700979","Quinidine sulfate 200mg tablets","02030200","00000000","00000000","C01BA01","IMRD"
"60209979","Propafenone 150mg tablets","02030200","00000000","00000000","C01BC03","IMRD"
"63498979","Phenytoin 300mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"63499979","Phenytoin 300mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"63500979","Phenytoin 300mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"63501979","Phenytoin 300mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"64389979","Lidocaine 4% solution","15020000","00000000","00000000","N01BB02","IMRD"
"64759979","Phenytoin 90mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"65878979","Propafenone 150mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"66253979","Phenytoin sodium 84mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"66255979","Phenytoin sodium 50mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"66257979","Phenytoin sodium 50mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"67660979","Flecainide 60mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"67666979","Flecainide 5mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"67672979","Flecainide 40mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"67674979","Flecainide 40mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"67706979","Flecainide 2.5mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"67722979","Flecainide 15mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"67736979","Flecainide 100mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"69306979","Disopyramide 20mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"70520979","Digoxin 250micrograms/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"70522979","Digoxin 50micrograms/ml oral solution","02010100","00000000","00000000","C01AA05","IMRD"
"70524979","Digoxin 125micrograms/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"70526979","Digoxin 125micrograms/5ml oral solution","00000000","00000000","00000000","","IMRD"
"70532979","Digoxin 75micrograms/5ml oral solution","00000000","00000000","00000000","","IMRD"
"73327978","Lidocaine 2% solution","15020000","00000000","00000000","N01BB02","IMRD"
"78967979","Phenytoin 90mg/5ml oral suspension","04080100","00000000","00000000","N03AB02","IMRD"
"79261978","Phenytoin sodium 100mg capsules","04080100","00000000","00000000","N03AB02","IMRD"
"80088979","Flecainide 50mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"80093979","Flecainide 25mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
