"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"669","Dipyridamole 100mg tablets","","","","B01AC07","CEGEDIM"
"670","Dipyridamole 100mg tablets (A A H Pharmaceuticals Ltd)","","","","B01AC07","CEGEDIM"
"671","Dipyridamole 100mg tablets (A A H Pharmaceuticals Ltd) 84 tablet","","","","B01AC07","CEGEDIM"
"672","Dipyridamole 100mg tablets (Actavis UK Ltd)","","","","B01AC07","CEGEDIM"
"673","Dipyridamole 100mg tablets (Actavis UK Ltd) 84 tablet","","","","B01AC07","CEGEDIM"
"674","Persantin 100mg tablets (Boehringer Ingelheim Ltd)","","","","B01AC07","CEGEDIM"
"675","Persantin 100mg tablets (Boehringer Ingelheim Ltd) 84 tablet7 x 12 tablets","","","","B01AC07","CEGEDIM"
"676","Dipyridamole 100mg tablets (Mylan)","","","","B01AC07","CEGEDIM"
"677","Dipyridamole 100mg tablets (Mylan) 84 tablet6 x 14 tablets","","","","B01AC07","CEGEDIM"
"681","Dipyridamole 100mg tablets (Kent Pharmaceuticals Ltd)","","","","B01AC07","CEGEDIM"
"682","Dipyridamole 100mg tablets (Kent Pharmaceuticals Ltd) 84 tablet","","","","B01AC07","CEGEDIM"
"683","Dipyridamole 100mg tablets (Kent Pharmaceuticals Ltd) 100 tablet","","","","B01AC07","CEGEDIM"
"704","Dipyridamole 100mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","B01AC07","CEGEDIM"
"705","Dipyridamole 100mg tablets (Alliance Healthcare (Distribution) Ltd) 84 tablet","","","","B01AC07","CEGEDIM"
"870","Dipyridamole 200mg modified-release capsules","","","","B01AC07","CEGEDIM"
"871","Persantin Retard 200mg capsules (Boehringer Ingelheim Ltd)","","","","B01AC07","CEGEDIM"
"872","Persantin Retard 200mg capsules (Boehringer Ingelheim Ltd) 60 capsule","","","","B01AC07","CEGEDIM"
"966","Dipyridamole 25mg tablets","","","","B01AC07","CEGEDIM"
"967","Dipyridamole 25mg tablets (A A H Pharmaceuticals Ltd)","","","","B01AC07","CEGEDIM"
"968","Dipyridamole 25mg tablets (A A H Pharmaceuticals Ltd) 84 tablet","","","","B01AC07","CEGEDIM"
"981","Dipyridamole 25mg tablets (Actavis UK Ltd)","","","","B01AC07","CEGEDIM"
"982","Dipyridamole 25mg tablets (Actavis UK Ltd) 84 tablet","","","","B01AC07","CEGEDIM"
"991","Persantin 25mg tablets (Boehringer Ingelheim Ltd)","","","","B01AC07","CEGEDIM"
