"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"23084978","Indapamide 1.5mg modified-release tablets","02020100","00000000","00000000","C03BA11","IMRD"
"39836978","Bumetanide 5mg/5ml oral suspension","02020200","00000000","00000000","","IMRD"
"52015978","Bendroflumethiazide 2.5mg tablets","02020100","00000000","00000000","C03AA01","IMRD"
"52060979","Perindopril tosilate 5mg / indapamide 1.25mg tablets","00000000","00000000","00000000","","IMRD"
"53712979","Indapamide 2.5mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"54500979","Metolazone 2.5mg tablets","00000000","00000000","00000000","","IMRD"
"54550979","Metolazone 5mg tablets","00000000","00000000","00000000","","IMRD"
"54551979","Metolazone 5mg tablets","00000000","00000000","00000000","","IMRD"
"54562979","Metolazone 2.5mg tablets","00000000","00000000","00000000","","IMRD"
"54563979","Metolazone 2.5mg tablets","00000000","00000000","00000000","","IMRD"
"59527979","Furosemide 250mg/5ml solution for injection vials","00000000","00000000","00000000","","IMRD"
"64766979","Furosemide 5mg/5ml oral solution","02020200","00000000","00000000","C03CA01","IMRD"
"64768979","Furosemide 5mg/5ml oral solution","02020200","00000000","00000000","C03CA01","IMRD"
"65041979","Perindopril arginine 5mg / Indapamide 1.25mg tablets","02050501","02020100","02050501","C09BA04","IMRD"
"66503979","Metolazone 5mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"66505979","Metolazone 5mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"66511979","Metolazone 2.5mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"66513979","Metolazone 2.5mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"67943979","Chlorothiazide 40mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"67955979","Chlorothiazide 30mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"67971979","Chlorothiazide 250mg/5ml oral suspension","02020100","00000000","00000000","C03AA04","IMRD"
"67987979","Chlorothiazide 200mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"68015979","Chlorothiazide 120mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"68037979","Spironolactone 5mg/5ml / chlorothiazide 50mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"68680978","Losartan 50mg / Hydrochlorothiazide 12.5mg tablets","02050502","02050502","02020100","C09DA01","IMRD"
"69155979","Furosemide 8mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"69157979","Furosemide 8mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"69169979","Furosemide 6.5mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"69171979","Furosemide 50mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"69173979","Furosemide 50mg/5ml oral solution sugar free","02020200","00000000","00000000","C03CA01","IMRD"
"69179979","Furosemide 40mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"69181979","Furosemide 40mg/5ml oral solution","02020200","00000000","00000000","C03CA01","IMRD"
"69185979","Furosemide 4.5mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"69187979","Furosemide 3mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"69189979","Furosemide 3mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"69352979","Furosemide 2mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"69354979","Furosemide 2mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"69364979","Furosemide 20mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"69366979","Furosemide 20mg/5ml oral solution","02020200","00000000","00000000","C03CA01","IMRD"
"69374979","Furosemide 1mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"69388979","Furosemide 10mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"69390979","Furosemide 10mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"69670979","Chlorothiazide 70mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"69678979","Chlorothiazide 5mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"69680979","Chlorothiazide 5mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"69684979","Chlorothiazide 500mg/5ml oral solution","02020100","00000000","00000000","","IMRD"
"70244978","Chlortalidone 25mg tablets","00000000","00000000","00000000","","IMRD"
"73086978","Hydrochlorothiazide 12.5mg tablets","00000000","00000000","00000000","","IMRD"
"76205978","Telmisartan 80mg / hydrochlorothiazide 12.5mg tablets","00000000","00000000","00000000","","IMRD"
"76207978","Telmisartan 40mg / hydrochlorothiazide 12.5mg tablets","00000000","00000000","00000000","","IMRD"
"76968978","Indapamide 1.5mg modified-release tablets","02020100","00000000","00000000","C03BA11","IMRD"
"78141978","Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets","02050504","00000000","00000000","","IMRD"
"79881978","Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets","02050502","02020100","02050502","C09DA04","IMRD"
"79908979","Hydrochlorothiazide 25mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"80036979","Furosemide 4mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"80446979","Co-amilofruse 2.5mg/20mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"80627979","Chlorothiazide 60mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"80629979","Chlorothiazide 50mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"80637979","Chlorothiazide 25mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"80841979","Bendroflumethiazide 1.25mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"81078979","Amiloride 5mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"81450998","Generic Sevikar HCT 40mg/10mg/25mg tablets","02050502","00000000","00000000","C09DX03","IMRD"
"81451998","Generic Sevikar HCT 40mg/5mg/25mg tablets","02050502","00000000","00000000","C09DX03","IMRD"
"81453998","Generic Sevikar HCT 40mg/10mg/12.5mg tablets","02050502","00000000","00000000","C09DX03","IMRD"
"81454998","Generic Sevikar HCT 40mg/5mg/12.5mg tablets","02050502","00000000","00000000","C09DX03","IMRD"
"81456998","Generic Sevikar HCT 20mg/5mg/12.5mg tablets","02050200","00000000","00000000","C09DX03","IMRD"
"81458998","Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 5mg + 25mg tablet","00000000","00000000","00000000","","IMRD"
"81459998","Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 10mg + 12.5mg tablet","00000000","00000000","00000000","","IMRD"
"81460998","Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 5mg + 12.5mg tablet","00000000","00000000","00000000","","IMRD"
"81461998","Olmesartan medoxomil with amlodipine and hydrochlorothiazide 20mg + 5mg + 12.5mg tablet","00000000","00000000","00000000","","IMRD"
"81563998","Bendroflumethiazide 2.5mg tablets","02020100","00000000","00000000","C03AA01","IMRD"
"82102998","Chlorothiazide 250mg tablets","02020100","00000000","00000000","C03AA04","IMRD"
"82196998","Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets","02050502","02020100","02050502","C09DA08","IMRD"
"82197998","Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets","02050502","02050502","02020100","C09DA08","IMRD"
"82385998","Co-amilozide 5mg/50mg tablets","02020400","02020300","02020100","C03EA01","IMRD"
"82818998","Indapamide 1.5mg modified-release tablets","02020100","00000000","00000000","C03BA11","IMRD"
"82870998","Indapamide 1.5mg modified-release tablets","02020100","00000000","00000000","C03BA11","IMRD"
"83025998","Co-amilofruse 5mg/40mg tablets","02020400","02020200","02020300","C03EB01","IMRD"
"83406998","Indapamide 1.5mg modified-release tablets","02020100","00000000","00000000","C03BA11","IMRD"
"83411998","Indapamide 1.5mg modified-release tablets","02020100","00000000","00000000","C03BA11","IMRD"
"83435998","Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets","02050501","02020100","02050501","C09BA03","IMRD"
