"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"743941000033112","Hytrin Bph Tablets 10 mg    ","","","","","CPRD_AURUM"
"745941000033111","Hypovase Starter Pack Tablets    ","","","","","CPRD_AURUM"
"216941000033117","Cardura Tablets 4 mg    ","","","","","CPRD_AURUM"
"1423741000033117","Terazosin Hydrochloride Starter pack 7 x 1 mg, 7 x 2 mg    ","","","","","CPRD_AURUM"
"743841000033116","Hypovase Tablets 5 mg    ","","","","","CPRD_AURUM"
"744141000033113","Hytrin Bph Tablets 5 mg    ","","","","","CPRD_AURUM"
"1128141000033112","Prazosin Hydrochloride Starter pack    ","","","","","CPRD_AURUM"
"768441000033115","Indoramin Tablets 25 mg    ","","","","","CPRD_AURUM"
"1423841000033110","Terazosin Hydrochloride Starter pack 7 x 1 mg, 14 x 2 mg, 7 x 5 mg    ","","","","","CPRD_AURUM"
"740941000033119","Hytrin Bph Starter pack 7 x 1 mg, 7 x 2 mg    ","","","","","CPRD_AURUM"
"450041000033112","Dibenyline Injection 50 mg/ml, 2 ml ampoule    ","","","","","CPRD_AURUM"
"769941000033115","Indoramin Hydrochloride Tablets 50 mg    ","","","","","CPRD_AURUM"
"1074241000033119","Phentolamine Mesylate Injection 10 mg/ml, 1 ml ampoule    ","","","","","CPRD_AURUM"
"4502341000033119","Doxazosin Oral suspension 1 mg/5 ml    ","","","","","CPRD_AURUM"
"1128241000033117","Prazosin Hydrochloride Starter pack    ","","","","","CPRD_AURUM"
"37641000033110","Alphavase 0.5 Tablets 500 micrograms    ","","","","","CPRD_AURUM"
"744041000033114","Hytrin Bph Tablets 2 mg    ","","","","","CPRD_AURUM"
"3940141000033116","Phenoxybenzamine Hydrochloride Capsules 8 mg    ","","","","","CPRD_AURUM"
"2273841000033111","Doxazosin 4mg modified-release tablets Modified-release tablet Oral Doxazosin mesilate 4.000mg","7040100","","","","CPRD_AURUM"
"2274041000033118","Cardura XL 4mg tablets (Upjohn UK Ltd) Modified-release tablet Oral Doxazosin mesilate 4.000mg","7040100","","","","CPRD_AURUM"
"4021141000033118","Slocinx XL 4mg tablets (Zentiva) Modified-release tablet Oral Doxazosin mesilate 4.000mg","","","","","CPRD_AURUM"
"4063741000033112","Doxadura XL 4mg tablets (Dexcel-Pharma Ltd) Modified-release tablet Oral Doxazosin mesilate 4.000mg","","","","","CPRD_AURUM"
"5403641000033117","Colixil XL 4mg tablets (Sandoz Ltd) Modified-release tablet Oral Doxazosin mesilate 4.000mg","","","","","CPRD_AURUM"
"4288341000033111","Oxandosin XL 4mg tablets (Ratiopharm UK Ltd) Modified-release tablet Oral Doxazosin mesilate 4.000mg","","","","","CPRD_AURUM"
"4575941000033115","Doxzogen XL 4mg tablets (Mylan) Modified-release tablet Oral Doxazosin mesilate 4.000mg","","","","","CPRD_AURUM"
"5809641000033111","Larbex XL 4mg tablets (Teva UK Ltd) Modified-release tablet Oral Doxazosin mesilate 4.000mg","","","","","CPRD_AURUM"
"6036141000033119","Raporsin XL 4mg tablets (Actavis UK Ltd) Modified-release tablet Oral Doxazosin mesilate 4.000mg","","","","","CPRD_AURUM"
"4936841000033112","Cardozin XL 4mg tablets (Almus Pharmaceuticals Ltd) Modified-release tablet Oral Doxazosin mesilate 4.000mg","","","","","CPRD_AURUM"
"2274141000033119","Cardura XL 8mg tablets (Upjohn UK Ltd) Modified-release tablet Oral Doxazosin mesilate 8.000mg","7040100","","","","CPRD_AURUM"
"2273941000033115","Doxazosin 8mg modified-release tablets Modified-release tablet Oral Doxazosin mesilate 8.000mg","7040100","","","","CPRD_AURUM"
"768541000033119","Indoramin 20mg tablets Tablet Oral Indoramin hydrochloride 20.000mg","7040100","","","","CPRD_AURUM"
"480541000033110","Doralese Tiltab 20mg tablets (Chemidex Pharma Ltd) Tablet Oral Indoramin hydrochloride 20.000mg","7040100","","","","CPRD_AURUM"
"116741000033118","Baratol 25mg tablets (Amdipharm Plc) Tablet Oral Indoramin hydrochloride 25.000mg","","","","","CPRD_AURUM"
"769841000033111","Indoramin 25mg tablets Tablet Oral Indoramin hydrochloride 25.000mg","2050400","","","","CPRD_AURUM"
"1070341000033119","Phenoxybenzamine 10mg capsules Capsule Oral Phenoxybenzamine hydrochloride 10.000mg","2050400","","","","CPRD_AURUM"
