"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"53033","Doxzogen XL 4mg tablets (Mylan) Doxazosin mesilate 4mg Modified-release tablet Oral","02050400","07040150","","","CPRD_GOLD"
"26237","Alphavase 500microgram Tablet (Ashbourne Pharmaceuticals Ltd) Prazosin hydrochloride 500microgram Tablet Oral","02050400","07040150","","","CPRD_GOLD"
"1294","Doxazosin 4mg tablets Doxazosin mesilate 4mg Tablet Oral","02050400","07040150","","","CPRD_GOLD"
"78949","Tamfrex XL 400microgram capsules (Milpharm Ltd) Tamsulosin hydrochloride 400microgram Modified-release capsule Oral","02050400","07040150","","","CPRD_GOLD"
"4694","Terazosin 2mg tablets and Terazosin 1mg tablets   Not applicable Route of administration not applicable","02050400","07040150","","","CPRD_GOLD"
"59676","Solifenacin 6mg / Tamsulosin 400microgram modified-release tablets Tamsulosin hydrochloride/Solifenacin succinate 400microgram + 6mg Modified-release tablet Oral","07040150","07040250","","","CPRD_GOLD"
"74539","Tamsulosin 400microgram modified-release capsules (Waymade Healthcare Plc) Tamsulosin hydrochloride 400microgram Modified-release capsule Oral","02050400","07040150","","","CPRD_GOLD"
"71405","Cardura XL 4mg tablets (DE Pharmaceuticals) Doxazosin mesilate 4mg Modified-release tablet Oral","02050400","07040150","","","CPRD_GOLD"
"2120","Alfuzosin 5mg modified-release tablets Alfuzosin hydrochloride 5mg Modified-release tablet Oral","07040150","","","","CPRD_GOLD"
"57145","Terazosin 2mg tablets (A A H Pharmaceuticals Ltd) Terazosin hydrochloride 2mg Tablet Oral","02050400","07040150","","","CPRD_GOLD"
"3924","Terazosin 5mg tablets Terazosin hydrochloride 5mg Tablet Oral","02050400","07040150","","","CPRD_GOLD"
"119","Doxazosin 1mg tablets Doxazosin mesilate 1mg Tablet Oral","02050400","07040150","","","CPRD_GOLD"
"61066","Doxazosin 2mg tablets (Bristol Laboratories Ltd) Doxazosin mesilate 2mg Tablet Oral","02050400","07040150","","","CPRD_GOLD"
"23010","Rogitine 10mg/1ml solution for injection ampoules (Alliance Pharmaceuticals Ltd) Phentolamine mesilate 10mg/1ml Solution for injection Intramuscular/Intravenous","02050400","","","","CPRD_GOLD"
"73116","Doxazosin 2mg tablets (Sovereign Medical Ltd) Doxazosin mesilate 2mg Tablet Oral","02050400","07040150","","","CPRD_GOLD"
"59462","Vesomni 6mg/0.4mg modified-release tablets (Astellas Pharma Ltd) Tamsulosin hydrochloride/Solifenacin succinate 400microgram + 6mg Modified-release tablet Oral","07040150","07040250","","","CPRD_GOLD"
"4637","Terazosin 2mg tablets Terazosin hydrochloride 2mg Tablet Oral","02050400","07040150","","","CPRD_GOLD"
"72644","Terazosin 5mg tablets (A A H Pharmaceuticals Ltd) Terazosin hydrochloride 5mg Tablet Oral","02050400","07040150","","","CPRD_GOLD"
"61283","Doxazosin 4mg tablets (Alliance Healthcare (Distribution) Ltd) Doxazosin mesilate 4mg Tablet Oral","02050400","07040150","","","CPRD_GOLD"
"71955","Tamsulosin 400microgram modified-release tablets (A A H Pharmaceuticals Ltd) Tamsulosin hydrochloride 400microgram Modified-release tablet Oral","02050400","07040150","","","CPRD_GOLD"
"47807","Doxazosin xl 4mg Tablet (Hillcross Pharmaceuticals Ltd) Doxazosin mesilate 4mg Modified-release tablet Oral","02050400","07040150","","","CPRD_GOLD"
"4449","Cardura 1mg tablets (Upjohn UK Ltd) Doxazosin mesilate 1mg Tablet Oral","02050400","07040150","","","CPRD_GOLD"
"78627","Doxazosin 1mg tablets (Phoenix Healthcare Distribution Ltd) Doxazosin mesilate 1mg Tablet Oral","02050400","07040150","","","CPRD_GOLD"
