"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"517","Doxazosin1 mgTabletOral","","","","","UHB"
"2553","Indoramin40 mgTabletOral","","","","","UHB"
"4532","Doxazosin16 mgTabletOral","","","","","UHB"
"723","Prazosin500 microgTabletOral","","","","","UHB"
"483","Doxazosin4 mgTabletOral","","","","","UHB"
"2093","Doxazosin6 mgTabletOral","","","","","UHB"
"2309","Doxazosin XL12 mgTabletOral","","","","","UHB"
"4080","Doxazosin1 mgTabletNasogas.","","","","","UHB"
"2058","Tamsulosin MR400 microgCapsuleGastrost.","","","","","UHB"
"808","Doxazosin XL8 mgTabletOral","","","","","UHB"
"4561","Tamsulosin MRCapsuleOral","","","","","UHB"
"3002","Doxazosin3 mgTabletOral","","","","","UHB"
"563","Tamsulosin MR400 microgCapsuleOral","","","","","UHB"
"3332","Doxazosin10 mgTabletOral","","","","","UHB"
"550","Doxazosin2 mgTabletOral","","","","","UHB"
"4835","Doxazosin XL16 mgTabletOral","","","","","UHB"
"2059","Doxazosin1 mgTabletGastrost.","","","","","UHB"
"1859","Alfuzosin10 mgSlow Release TabletOral","","","","","UHB"
"1113","Doxazosin8 mgTabletOral","","","","","UHB"
"2937","Doxazosin XL4 mgTabletOral","","","","","UHB"
"802","Doxazosin5 mgTabletOral","","","","","UHB"
"1615","Doxazosin12 mgTabletOral","","","","","UHB"
"2936","Doxazosin2-4 mgTabletOral","","","","","UHB"
"1852","Alfuzosin XL10 mgTabletOral","","","","","UHB"
