"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"11623","Amantadine 100mg capsules","","","","N04BB01","CEGEDIM"
"11624","Lysovir 100mg capsules (Alliance Pharmaceuticals Ltd)","","","","N04BB01","CEGEDIM"
"11625","Lysovir 100mg capsules (Alliance Pharmaceuticals Ltd) 5 capsule","","","","N04BB01","CEGEDIM"
"11628","Lysovir 100mg capsules (Alliance Pharmaceuticals Ltd) 14 capsule","","","","N04BB01","CEGEDIM"
"11629","Symmetrel 100mg capsules (Alliance Pharmaceuticals Ltd)","","","","N04BB01","CEGEDIM"
"11630","Symmetrel 100mg capsules (Alliance Pharmaceuticals Ltd) 56 capsule4 x 14 capsules","","","","N04BB01","CEGEDIM"
"11634","Amantadine 50mg/5ml oral solution sugar free","","","","N04BB01","CEGEDIM"
"11635","Symmetrel 50mg/5ml syrup (Alliance Pharmaceuticals Ltd)","","","","N04BB01","CEGEDIM"
"11636","Symmetrel 50mg/5ml syrup (Alliance Pharmaceuticals Ltd) 150 ml","","","","N04BB01","CEGEDIM"
"198131","Amantadine 100mg capsules (Lime Pharma Ltd)","","","","N04BB01","CEGEDIM"
"198132","Amantadine 100mg capsules (Lime Pharma Ltd) 14 capsule","","","","N04BB01","CEGEDIM"
"198137","Amantadine 100mg capsules (Lime Pharma Ltd) 56 capsule4 x 14 capsules","","","","N04BB01","CEGEDIM"
"216515","Amantadine 100mg capsules (Teva UK Ltd)","","","","N04BB01","CEGEDIM"
"216516","Amantadine 100mg capsules (Teva UK Ltd) 56 capsule4 x 14 capsules","","","","N04BB01","CEGEDIM"
"216517","Amantadine 100mg capsules (Teva UK Ltd) 14 capsule","","","","N04BB01","CEGEDIM"
"228673","Amantadine 50mg/5ml oral solution sugar free (Teva UK Ltd)","","","","N04BB01","CEGEDIM"
"228674","Amantadine 50mg/5ml oral solution sugar free (Teva UK Ltd) 150 ml","","","","N04BB01","CEGEDIM"
"228994","Amantadine 100mg capsules (Alliance Healthcare (Distribution) Ltd)","","","","N04BB01","CEGEDIM"
"228995","Amantadine 100mg capsules (Alliance Healthcare (Distribution) Ltd) 14 capsule","","","","N04BB01","CEGEDIM"
"228996","Amantadine 100mg capsules (Alliance Healthcare (Distribution) Ltd) 56 capsule4 x 14 capsules","","","","N04BB01","CEGEDIM"
"229929","Amantadine 50mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)","","","","N04BB01","CEGEDIM"
"229930","Amantadine 50mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) 150 ml","","","","N04BB01","CEGEDIM"
"229978","Amantadine 100mg capsules (A A H Pharmaceuticals Ltd)","","","","N04BB01","CEGEDIM"
"229979","Amantadine 100mg capsules (A A H Pharmaceuticals Ltd) 14 capsule","","","","N04BB01","CEGEDIM"
"229980","Amantadine 100mg capsules (A A H Pharmaceuticals Ltd) 56 capsule4 x 14 capsules","","","","N04BB01","CEGEDIM"
"229981","Amantadine 50mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)","","","","N04BB01","CEGEDIM"
"229982","Amantadine 50mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) 150 ml","","","","N04BB01","CEGEDIM"
"238543","Amantadine 100mg tablets","","","","N04BB01","CEGEDIM"
"238544","Amantadine 100mg tablets (Special Order)","","","","N04BB01","CEGEDIM"
"238545","Amantadine 100mg tablets (Special Order) 1 tablet","","","","N04BB01","CEGEDIM"
"327410","Amantadine 50mg/5ml oral solution sugar free","","","","N04BB01","CEGEDIM"
"335532","Amantadine 100mg capsules (Actavis UK Ltd)","","","","N04BB01","CEGEDIM"
"335533","Amantadine 100mg capsules (Actavis UK Ltd) 56 capsule","","","","N04BB01","CEGEDIM"
"337176","Amantadine 100mg capsules (Morningside Healthcare Ltd)","","","","N04BB01","CEGEDIM"
"337177","Amantadine 100mg capsules (Morningside Healthcare Ltd) 56 capsule4 x 14 capsules","","","","N04BB01","CEGEDIM"
"338543","Amantadine 100mg capsules (Mawdsley-Brooks & Company Ltd)","","","","N04BB01","CEGEDIM"
"338544","Amantadine 100mg capsules (Mawdsley-Brooks & Company Ltd) 14 capsule","","","","N04BB01","CEGEDIM"
"338545","Amantadine 100mg capsules (Mawdsley-Brooks & Company Ltd) 56 capsule","","","","N04BB01","CEGEDIM"
"339749","Amantadine 100mg capsules (DE Pharmaceuticals)","","","","N04BB01","CEGEDIM"
"339750","Amantadine 100mg capsules (DE Pharmaceuticals) 56 capsule","","","","N04BB01","CEGEDIM"
"342723","Amantadine 50mg/5ml oral solution sugar free (DE Pharmaceuticals)","","","","N04BB01","CEGEDIM"
"344943","Amantadine 50mg/5ml oral solution sugar free (DE Pharmaceuticals) 150 ml","","","","N04BB01","CEGEDIM"
"349375","Amantadine 100mg capsules (Morningside Healthcare Ltd) 28 capsule","","","","N04BB01","CEGEDIM"
"353673","Amantadine 100mg capsules (Medihealth (Northern) Ltd)","","","","N04BB01","CEGEDIM"
"353674","Amantadine 100mg capsules (Medihealth (Northern) Ltd) 56 capsule","","","","N04BB01","CEGEDIM"
"353675","Amantadine 50mg/5ml oral solution sugar free (Medihealth (Northern) Ltd)","","","","N04BB01","CEGEDIM"
"353676","Amantadine 50mg/5ml oral solution sugar free (Medihealth (Northern) Ltd) 150 ml","","","","N04BB01","CEGEDIM"
"357529","Amantadine 50mg/5ml oral solution sugar free (Northumbria Pharma Ltd)","","","","N04BB01","CEGEDIM"
"357530","Amantadine 50mg/5ml oral solution sugar free (Northumbria Pharma Ltd) 150 ml","","","","N04BB01","CEGEDIM"
