"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"1933","Amitriptyline 25mg tablets","","","","N06AA09","CEGEDIM"
"1885","Amitriptyline 10mg tablets","","","","N06AA09","CEGEDIM"
"1886","Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd)","","","","N06AA09","CEGEDIM"
"1887","Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd) 28 tablet","","","","N06AA09","CEGEDIM"
"1891","Amitriptyline 10mg tablets (Actavis UK Ltd)","","","","N06AA09","CEGEDIM"
"1892","Amitriptyline 10mg tablets (Actavis UK Ltd) 28 tablet2 x 14 tablets","","","","N06AA09","CEGEDIM"
"1896","Amitriptyline 10mg tablets (Teva UK Ltd)","","","","N06AA09","CEGEDIM"
"1897","Amitriptyline 10mg tablets (Teva UK Ltd) 28 tablet","","","","N06AA09","CEGEDIM"
"1906","Amitriptyline 10mg tablets (Kent Pharmaceuticals Ltd)","","","","N06AA09","CEGEDIM"
"1907","Amitriptyline 10mg tablets (Kent Pharmaceuticals Ltd) 28 tablet","","","","N06AA09","CEGEDIM"
"1914","Amitriptyline 10mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","N06AA09","CEGEDIM"
"1915","Amitriptyline 10mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet2 x 14 tablets","","","","N06AA09","CEGEDIM"
"1920","Amitriptyline 10mg tablets (IVAX Pharmaceuticals UK Ltd)","","","","N06AA09","CEGEDIM"
"1921","Amitriptyline 10mg tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet2 x 14 tablets","","","","N06AA09","CEGEDIM"
"1934","Amitriptyline 25mg tablets (A A H Pharmaceuticals Ltd)","","","","N06AA09","CEGEDIM"
"1935","Amitriptyline 25mg tablets (A A H Pharmaceuticals Ltd) 500 tablet","","","","N06AA09","CEGEDIM"
"1936","Amitriptyline 25mg tablets (A A H Pharmaceuticals Ltd) 28 tablet","","","","N06AA09","CEGEDIM"
"1941","Amitriptyline 25mg tablets (Actavis UK Ltd)","","","","N06AA09","CEGEDIM"
"1942","Amitriptyline 25mg tablets (Actavis UK Ltd) 28 tablet2 x 14 tablets","","","","N06AA09","CEGEDIM"
"1943","Amitriptyline 25mg tablets (Teva UK Ltd)","","","","N06AA09","CEGEDIM"
"1944","Amitriptyline 25mg tablets (Teva UK Ltd) 28 tablet","","","","N06AA09","CEGEDIM"
"1945","Amitriptyline 25mg tablets (Kent Pharmaceuticals Ltd)","","","","N06AA09","CEGEDIM"
"1946","Amitriptyline 25mg tablets (Kent Pharmaceuticals Ltd) 28 tablet","","","","N06AA09","CEGEDIM"
"1947","Amitriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","N06AA09","CEGEDIM"
"1948","Amitriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet2 x 14 tablets","","","","N06AA09","CEGEDIM"
"1949","Amitriptyline 25mg tablets (Ranbaxy (UK) Ltd)","","","","N06AA09","CEGEDIM"
"1950","Amitriptyline 25mg tablets (Ranbaxy (UK) Ltd) 500 tablet","","","","N06AA09","CEGEDIM"
"1951","Amitriptyline 25mg tablets (IVAX Pharmaceuticals UK Ltd)","","","","N06AA09","CEGEDIM"
"1952","Amitriptyline 25mg tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet2 x 14 tablets","","","","N06AA09","CEGEDIM"
"2017","Amitriptyline 50mg tablets","","","","N06AA09","CEGEDIM"
"2018","Amitriptyline 50mg tablets (A A H Pharmaceuticals Ltd)","","","","N06AA09","CEGEDIM"
"2019","Amitriptyline 50mg tablets (A A H Pharmaceuticals Ltd) 28 tablet","","","","N06AA09","CEGEDIM"
"2020","Amitriptyline 50mg tablets (Accord Healthcare Ltd)","","","","N06AA09","CEGEDIM"
"2021","Amitriptyline 50mg tablets (Accord Healthcare Ltd) 28 tablet2 x 14 tablets","","","","N06AA09","CEGEDIM"
"2022","Amitriptyline 50mg tablets (Teva UK Ltd)","","","","N06AA09","CEGEDIM"
"2023","Amitriptyline 50mg tablets (Teva UK Ltd) 28 tablet","","","","N06AA09","CEGEDIM"
"2024","Amitriptyline 50mg tablets (Kent Pharmaceuticals Ltd)","","","","N06AA09","CEGEDIM"
"2025","Amitriptyline 50mg tablets (Kent Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","N06AA09","CEGEDIM"
"2026","Amitriptyline 50mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","N06AA09","CEGEDIM"
"2027","Amitriptyline 50mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet2 x 14 tablets","","","","N06AA09","CEGEDIM"
"2028","Amitriptyline 50mg tablets (IVAX Pharmaceuticals UK Ltd)","","","","N06AA09","CEGEDIM"
"2029","Amitriptyline 50mg tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet2 x 14 tablets","","","","N06AA09","CEGEDIM"
"12354","Amitriptyline 10mg / Perphenazine 2mg tablets","","","","N06CA01","CEGEDIM"
"12355","Triptafen-M tablets (Mercury Pharma Group Ltd)","","","","N06CA01","CEGEDIM"
"12356","Triptafen-M tablets (Mercury Pharma Group Ltd) 100 tablet10 x 10 tablets","","","","N06CA01","CEGEDIM"
"12368","Amitriptyline 25mg / Perphenazine 2mg tablets","","","","N06CA01","CEGEDIM"
"12369","Triptafen tablets (Advanz Pharma)","","","","N06CA01","CEGEDIM"
