"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"43441000033118","Amitriptyline Sr Capsules 75 mg    ","","","","","CPRD_AURUM"
"508541000033117","Elavil Tablets 10 mg    ","","","","","CPRD_AURUM"
"1463041000033111","Tryptizol Mixture 10 mg/5 ml    ","","","","","CPRD_AURUM"
"1471941000033117","Tryptizol Tablets 25 mg    ","","","","","CPRD_AURUM"
"43641000033116","Amitriptyline Hydrochloride Capsules 50 mg    ","","","","","CPRD_AURUM"
"480441000033114","Domical Tablets 50 mg    ","","","","","CPRD_AURUM"
"1471841000033113","Tryptizol Tablets 10 mg    ","","","","","CPRD_AURUM"
"1472041000033111","Tryptizol Tablets 50 mg    ","","","","","CPRD_AURUM"
"1454841000033113","Tryptizol Capsules 75 mg    ","","","","","CPRD_AURUM"
"480241000033113","Domical Tablets 10 mg    ","","","","","CPRD_AURUM"
"508641000033116","Elavil Tablets 25 mg    ","","","","","CPRD_AURUM"
"43541000033117","Amitriptyline Hydrochloride Capsules 25 mg    ","","","","","CPRD_AURUM"
"480341000033115","Domical Tablets 25 mg    ","","","","","CPRD_AURUM"
"43741000033113","Amitriptyline Hydrochloride Capsules 75 mg    ","","","","","CPRD_AURUM"
"51941000033114","Amitriptyline Hydrochloride Mixture Sugar Free 10 mg/5 ml    ","","","","","CPRD_AURUM"
"60441000033116","Amitriptyline 10mg tablets Tablet Oral Amitriptyline hydrochloride 10.000mg","7040200","","","","CPRD_AURUM"
"60641000033119","Amitriptyline 25mg tablets Tablet Oral Amitriptyline hydrochloride 25.000mg","7040200","","","","CPRD_AURUM"
"60541000033115","Amitriptyline 50mg tablets Tablet Oral Amitriptyline hydrochloride 50.000mg","7040200","","","","CPRD_AURUM"
"3180441000033118","Amitriptyline 25mg / Perphenazine 2mg tablets Tablet Oral Amitriptyline hydrochloride/ Perphenazine 25.000mg + 2.000mg","4030100","","","","CPRD_AURUM"
"1473341000033117","Triptafen tablets (Advanz Pharma) Tablet Oral Amitriptyline hydrochloride/ Perphenazine 25.000mg + 2.000mg","4030100","","","","CPRD_AURUM"
"1473441000033111","Triptafen-M tablets (Mercury Pharma Group Ltd) Tablet Oral Amitriptyline hydrochloride/ Perphenazine 10.000mg + 2.000mg","","","","","CPRD_AURUM"
"3180541000033117","Amitriptyline 10mg / Perphenazine 2mg tablets Tablet Oral Amitriptyline hydrochloride/ Perphenazine 10.000mg + 2.000mg","4030100","","","","CPRD_AURUM"
"5888641000033118","Amitriptyline 10mg/5ml oral suspension Oral suspension Oral Amitriptyline hydrochloride 2.000mg/1.000ml","","","","","CPRD_AURUM"
"5490141000033118","Amitriptyline 10mg/5ml oral solution Oral solution Oral Amitriptyline hydrochloride 2.000mg/1.000ml","","","","","CPRD_AURUM"
"10332441000033118","Amitriptyline 10mg/5ml oral solution sugar free Oral solution Oral Amitriptyline hydrochloride 2.000mg/1.000ml","","","","","CPRD_AURUM"
"819741000033117","Lentizol 25mg modified-release capsules (Pfizer Ltd) Modified-release capsule Oral Amitriptyline hydrochloride 25.000mg","","","","","CPRD_AURUM"
"45841000033119","Amitriptyline 25mg modified-release capsules Modified-release capsule Oral Amitriptyline hydrochloride 25.000mg","","","","","CPRD_AURUM"
"55441000033119","Amitriptyline 25mg/5ml oral solution sugar free Oral solution Oral Amitriptyline hydrochloride 5.000mg/1.000ml","7040200","","","","CPRD_AURUM"
"819841000033110","Lentizol 50mg modified-release capsules (Pfizer Ltd) Modified-release capsule Oral Amitriptyline hydrochloride 50.000mg","","","","","CPRD_AURUM"
"45941000033110","Amitriptyline 50mg modified-release capsules Modified-release capsule Oral Amitriptyline hydrochloride 50.000mg","","","","","CPRD_AURUM"
"55541000033118","Amitriptyline 50mg/5ml oral solution sugar free Oral solution Oral Amitriptyline hydrochloride 10.000mg/1.000ml","7040200","","","","CPRD_AURUM"
