"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"55139","Amitriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd) Amitriptyline hydrochloride 25mg Tablet Oral","04030100","04070300","04070402","","CPRD_GOLD"
"2525","Amitriptyline 75mg modified-release capsules Amitriptyline Hydrochloride 75mg Modified Release Capsules Oral","04030100","04070300","","","CPRD_GOLD"
"40396","Amitriptyline 50mg Tablet (Berk Pharmaceuticals Ltd) Amitriptyline hydrochloride 50mg Tablet Oral","04030100","04070300","","","CPRD_GOLD"
"79826","Amitriptyline 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) Amitriptyline hydrochloride 2mg/1ml Oral solution Oral","04030100","04070300","04070402","","CPRD_GOLD"
"61835","Amitriptyline 10mg tablets (DE Pharmaceuticals) Amitriptyline hydrochloride 10mg Tablet Oral","04030100","04070300","04070402","","CPRD_GOLD"
"65987","Amitriptyline 25mg tablets (Crescent Pharma Ltd) Amitriptyline hydrochloride 25mg Tablet Oral","04030100","04070300","04070402","","CPRD_GOLD"
"32439","Amitriptyline 25mg Tablet (Sussex Pharmaceutical Ltd) Amitriptyline hydrochloride 25mg Tablet Oral","04030100","04070300","","","CPRD_GOLD"
"873","AMITRIPTYLINE 100 MG TAB    ","00000000","","","","CPRD_GOLD"
"34197","Amitriptyline 25mg Tablet (Berk Pharmaceuticals Ltd) Amitriptyline hydrochloride 25mg Tablet Oral","04030100","04070300","","","CPRD_GOLD"
"42078","Amitriptyline 25mg tablets (Almus Pharmaceuticals Ltd) Amitriptyline hydrochloride 25mg Tablet Oral","04030100","04070300","04070402","","CPRD_GOLD"
"2486","Lentizol 25mg modified-release capsules (Pfizer Ltd) Amitriptyline hydrochloride 25mg Modified-release capsule Oral","00000000","","","","CPRD_GOLD"
"60355","Amitriptyline 25mg tablets (Phoenix Healthcare Distribution Ltd) Amitriptyline hydrochloride 25mg Tablet Oral","04030100","04070300","04070402","","CPRD_GOLD"
