"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"1971","Amitriptyline30 mgTabletOral","","","","","UHB"
"3568","Amitriptyline100 mgTabletOral","","","","","UHB"
"1874","Amitriptyline35 mgTabletOral","","","","","UHB"
"493","Amitriptyline50 mgTabletOral","","","","","UHB"
"548","Amitriptyline10 mgTabletOral","","","","","UHB"
"583","Amitriptyline75 mgTabletOral","","","","","UHB"
"4873","Amitriptyline20-30 mgTabletOral","","","","","UHB"
"945","Amitriptyline25 mgTabletOral","","","","","UHB"
"4506","Amitriptyline25 mgTabletNasogas.","","","","","UHB"
"594","Amitriptyline20 mgTabletOral","","","","","UHB"
"2649","Amitriptyline35 mgSyrupOral","","","","","UHB"
"3354","Amitriptyline10 mgTabletGastrost.","","","","","UHB"
"1706","Amitriptyline20 mgSyrupOral","","","","","UHB"
"4423","Amitriptyline60-70 mgTabletOral","","","","","UHB"
"4495","Amitriptyline50 mgSyrupNasogas.","","","","","UHB"
"2159","Amitriptyline40 mgTabletOral","","","","","UHB"
"2547","Amitriptyline60 mgTabletOral","","","","","UHB"
"1700","Amitriptyline10 mgSyrupOral","","","","","UHB"
"4527","Amitriptyline20- mgTabletOral","","","","","UHB"
"2746","Amitriptyline10-20 mgTabletOral","","","","","UHB"
"3946","Amitriptyline25-75 mgTabletOral","","","","","UHB"
