"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"10149","Cetirizine 10mg tablets","","","","R06AE07","CEGEDIM"
"10150","Cetirizine 10mg tablets (A A H Pharmaceuticals Ltd)","","","","R06AE07","CEGEDIM"
"10151","Cetirizine 10mg tablets (A A H Pharmaceuticals Ltd) 30 tablet3 x 10 tablets","","","","R06AE07","CEGEDIM"
"10152","Cetirizine 10mg tablets (A A H Pharmaceuticals Ltd) 7 tablet","","","","R06AE07","CEGEDIM"
"10156","Cetirizine 10mg tablets (Actavis UK Ltd)","","","","R06AE07","CEGEDIM"
"10157","Cetirizine 10mg tablets (Actavis UK Ltd) 30 tablet3 x 10 tablets","","","","R06AE07","CEGEDIM"
"10160","Cetirizine 10mg tablets (Teva UK Ltd)","","","","R06AE07","CEGEDIM"
"10161","Cetirizine 10mg tablets (Teva UK Ltd) 30 tablet2 x 15 tablets","","","","R06AE07","CEGEDIM"
"10166","Cetirizine 10mg tablets (Teva UK Ltd) 7 tablet","","","","R06AE07","CEGEDIM"
"10169","Cetirocol 10mg tablets (Teva UK Ltd)","","","","R06AE07","CEGEDIM"
"10170","Cetirocol 10mg tablets (Teva UK Ltd) 30 tablet2 x 15 tablets","","","","R06AE07","CEGEDIM"
"10171","Cetirizine 10mg tablets (C P Pharmaceuticals Ltd)","","","","R06AE07","CEGEDIM"
"10172","Cetirizine 10mg tablets (C P Pharmaceuticals Ltd) 30 tablet3 x 10 tablets","","","","R06AE07","CEGEDIM"
"10176","Cetirizine 10mg tablets (Mylan)","","","","R06AE07","CEGEDIM"
"10177","Cetirizine 10mg tablets (Mylan) 30 tablet3 x 10 tablets","","","","R06AE07","CEGEDIM"
"10180","Piriteze Allergy 10mg tablets (GlaxoSmithKline Consumer Healthcare)","","","","R06AE07","CEGEDIM"
"10181","Piriteze Allergy 10mg tablets (GlaxoSmithKline Consumer Healthcare) 30 tablet2 x 15 tablets","","","","R06AE07","CEGEDIM"
"10182","Piriteze Allergy 10mg tablets (GlaxoSmithKline Consumer Healthcare) 7 tablet","","","","R06AE07","CEGEDIM"
"10369","Cetirizine 1mg/ml oral solution sugar free","","","","R06AE07","CEGEDIM"
"10312","Cetirizine 10mg tablets (Kent Pharmaceuticals Ltd)","","","","R06AE07","CEGEDIM"
"10313","Cetirizine 10mg tablets (Kent Pharmaceuticals Ltd) 30 tablet3 x 10 tablets","","","","R06AE07","CEGEDIM"
"10316","Cetirizine 10mg tablets (Sandoz Ltd)","","","","R06AE07","CEGEDIM"
"10317","Cetirizine 10mg tablets (Sandoz Ltd) 30 tablet3 x 10 tablets","","","","R06AE07","CEGEDIM"
"10327","Cetirizine 10mg tablets (Ranbaxy (UK) Ltd)","","","","R06AE07","CEGEDIM"
