"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"13214978","Loratadine 5mg/5ml oral solution sugar free","00000000","00000000","00000000","","IMRD"
"13586978","Rupatadine 1mg/ml oral solution","00000000","00000000","00000000","","IMRD"
"26131978","Loratadine 5mg/5ml oral solution sugar free","03040100","00000000","00000000","R06AX13","IMRD"
"26290978","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"46635978","Loratadine 5mg/5ml oral solution sugar free","03040100","00000000","00000000","R06AX13","IMRD"
"55868979","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"55869979","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"58752979","Cetirizine 10mg capsules","03040100","00000000","00000000","R06AE07","IMRD"
"58753979","Cetirizine 10mg capsules","03040100","00000000","00000000","R06AE07","IMRD"
"58795979","Desloratadine 2.5mg/5ml oral solution sugar free","03040100","00000000","00000000","R06AX27","IMRD"
"60219979","Desloratadine 5mg tablets","03040100","00000000","00000000","R06AX27","IMRD"
"63428979","Fexofenadine 180mg/5ml oral suspension","03040101","00000000","00000000","","IMRD"
"63430979","Fexofenadine 180mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"68669978","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"72740978","Cetirizine 10mg tablets","00000000","00000000","00000000","","IMRD"
"81442998","Bilastine 20mg tablets","03040100","00000000","00000000","R06AX29","IMRD"
"81443998","Bilastine 20mg tablets","03040100","00000000","00000000","R06AX29","IMRD"
"82057998","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"82061998","Ketotifen 1mg/5ml oral solution sugar free","03030100","00000000","00000000","R06AX17","IMRD"
"82062998","Ketotifen 1mg tablets","03030100","00000000","00000000","R06AX17","IMRD"
"82232998","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"82364998","Desloratadine 2.5mg/5ml oral solution sugar free","03040100","00000000","00000000","R06AX27","IMRD"
"82811998","Rupatadine 10mg tablets","03040100","00000000","00000000","R06AX28","IMRD"
"82816998","Rupatadine 10mg tablets","03040100","00000000","00000000","R06AX28","IMRD"
"83153998","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"83310998","Desloratadine 2.5mg/5ml oral solution sugar free","03040100","00000000","00000000","R06AX27","IMRD"
"84077978","Desloratadine 2.5mg/5ml oral solution sugar free","03040100","00000000","00000000","R06AX27","IMRD"
"84475998","Levocetirizine 500micrograms/ml oral solution sugar free","03040100","00000000","00000000","R06AE09","IMRD"
"84657998","Levocetirizine 500micrograms/ml oral solution sugar free","03040100","00000000","00000000","R06AE09","IMRD"
"84688998","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"84945998","Loratadine 10mg tablets","03040101","00000000","00000000","","IMRD"
"85869998","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"85999998","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"86102998","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"86827998","Loratadine 5mg/5ml syrup","03040100","00000000","00000000","R06AX13","IMRD"
"86855998","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"86916998","Cetirizine 10mg tablets","03040101","00000000","00000000","","IMRD"
"87544998","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"87964998","Fexofenadine 30mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"87965998","Fexofenadine 30mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"88210998","Mizolastine 10mg modified-release tablets","03040100","00000000","00000000","R06AX25","IMRD"
"88212998","Mizolastine 10mg modified-release tablets","03040100","00000000","00000000","R06AX25","IMRD"
"88221998","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"88224998","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"88235998","Acrivastine 8mg capsules","03040100","00000000","00000000","R06AX18","IMRD"
"88264998","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"88266998","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"88819998","Desloratadine 5mg tablets","03040100","00000000","00000000","R06AX27","IMRD"
"88883998","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"88893998","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"88949998","Fexofenadine 180mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"89151998","Fexofenadine 120mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"89152997","Fexofenadine 180mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"89152998","Fexofenadine 120mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"89157998","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"89174998","Astemizole 10mg tablets","03040100","00000000","00000000","R06AX11","IMRD"
"89262998","Cetirizine 10mg tablets","03040101","00000000","00000000","","IMRD"
"89471998","Astemizole 10mg tablets","03040100","00000000","00000000","R06AX11","IMRD"
"89972998","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"90148998","Levocetirizine 5mg tablets","03040100","00000000","00000000","R06AE09","IMRD"
"90150998","Levocetirizine 5mg tablets","03040100","00000000","00000000","R06AE09","IMRD"
"90325998","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"90443998","Terfenadine 120mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"90652998","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"90712998","Pseudoephedrine 60mg / Acrivastine 8mg capsules","03090200","03040100","03100000","R01BA52","IMRD"
"90721998","Pseudoephedrine 60mg / Acrivastine 8mg capsules","03090200","03040100","03100000","R01BA52","IMRD"
"90885998","Cetirizine 10mg tablets","03040101","00000000","00000000","","IMRD"
"91409998","Desloratadine 5mg tablets","03040100","00000000","00000000","R06AX27","IMRD"
"91450997","Terfenadine 30mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"91450998","Terfenadine 60mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"91612990","Desloratadine 5mg tablets","03040100","00000000","00000000","R06AX27","IMRD"
"91754990","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"91942998","Mizolastine 10mg modified-release tablets","03040100","00000000","00000000","R06AX25","IMRD"
"91973996","Loratadine 5mg/5ml oral solution","03040100","00000000","00000000","R06AX13","IMRD"
"91973997","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"91982998","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"92449998","Desloratadine 2.5mg/5ml oral solution","03040100","00000000","00000000","R06AX27","IMRD"
"92465990","Levocetirizine 5mg tablets","03040100","00000000","00000000","R06AE09","IMRD"
"92487990","Fexofenadine 120mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"92601990","Levocetirizine 5mg tablets","03040100","00000000","00000000","R06AE09","IMRD"
"92854990","Fexofenadine 180mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"92757990","Loratadine 5mg/5ml oral solution sugar free","03040100","00000000","00000000","R06AX13","IMRD"
"92758990","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"92759998","Terfenadine 60mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"92781997","Terfenadine 120mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"92781998","Terfenadine 60mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"92820990","Loratadine 5mg/5ml oral solution sugar free","03040100","00000000","00000000","R06AX13","IMRD"
"92827990","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"92855990","Fexofenadine 120mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"93122990","Fexofenadine 180mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"93123990","Fexofenadine 120mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"93165990","Fexofenadine 180mg tablets","03040101","00000000","00000000","","IMRD"
"93166990","Fexofenadine 120mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"93265997","Terfenadine 120mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"93265998","Terfenadine 60mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"93531990","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"94081997","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"94081998","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"94431997","Loratadine 5mg/5ml oral solution","03040100","00000000","00000000","R06AX13","IMRD"
"94431998","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"94432997","Loratadine 5mg/5ml oral solution sugar free","03040100","00000000","00000000","R06AX13","IMRD"
"94432998","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"94520990","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"94556998","Acrivastine 8mg capsules","03040100","00000000","00000000","R06AX18","IMRD"
"94564998","Acrivastine 8mg capsules","03040100","00000000","00000000","R06AX18","IMRD"
"94610990","Cetirizine 10mg tablets","03040101","00000000","00000000","","IMRD"
"94668990","Cetirizine 1mg/ml oral solution sugar free","03040101","00000000","00000000","","IMRD"
"94723997","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"94723998","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"94987990","Loratadine 10mg tablets","03040101","00000000","00000000","","IMRD"
"94997990","Loratadine 5mg/5ml oral solution sugar free","03040100","00000000","00000000","R06AX13","IMRD"
"95208996","Terfenadine 120mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"95208997","Terfenadine 30mg/5ml suspension","03040100","00000000","00000000","R06AX12","IMRD"
"95208998","Terfenadine 60mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"95223990","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"95287990","Loratadine 5mg/5ml oral solution sugar free","03040100","00000000","00000000","R06AX13","IMRD"
"95336990","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"95461990","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"95572990","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"95582990","Loratadine 5mg/5ml oral solution sugar free","03040100","00000000","00000000","R06AX13","IMRD"
"95620990","Cetirizine 10mg tablets","03040101","00000000","00000000","","IMRD"
"95637990","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"95650990","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"95654990","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"95656990","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"95660990","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"95661990","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"95662990","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"95663990","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"95814990","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"95857990","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"95863990","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"95864990","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"95955990","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"95984990","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"95994990","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"96033996","Ketotifen 1mg/5ml oral solution sugar free","03030100","00000000","00000000","R06AX17","IMRD"
"96033997","Ketotifen 1mg tablets","03030100","00000000","00000000","R06AX17","IMRD"
"96033998","Ketotifen 1mg capsules","03030100","00000000","00000000","R06AX17","IMRD"
"96034990","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"96046990","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"96055990","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"96063990","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"96941997","Astemizole 5mg/5ml sugar free oral suspension","03040100","00000000","00000000","R06AX11","IMRD"
"96941998","Astemizole 10mg tablets","03040100","00000000","00000000","R06AX11","IMRD"
"96944979","Fexofenadine 180mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"96945979","Fexofenadine 180mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"96948979","Fexofenadine 180mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"96956979","Fexofenadine 180mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"96958979","Fexofenadine 120mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"96963979","Fexofenadine 120mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"96967979","Fexofenadine 120mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"96969979","Fexofenadine 120mg tablets","03040100","00000000","00000000","R06AX26","IMRD"
"96971979","Loratadine 5mg/5ml oral solution","03040101","00000000","00000000","","IMRD"
"96973979","Loratadine 5mg/5ml oral solution sugar free","03040100","00000000","00000000","R06AX13","IMRD"
"96975979","Loratadine 5mg/5ml oral solution","03040100","00000000","00000000","R06AX13","IMRD"
"96978979","Loratadine 10mg tablets","03040100","00000000","00000000","R06AX13","IMRD"
"96984979","Loratadine 10mg tablets","03040101","00000000","00000000","","IMRD"
"96987979","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"96992979","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"96997979","Cetirizine 10mg tablets","03040100","00000000","00000000","R06AE07","IMRD"
"96998979","Cetirizine 10mg tablets","03040101","00000000","00000000","","IMRD"
"97039979","Ketotifen 1mg tablets","03030100","00000000","00000000","R06AX17","IMRD"
"97189979","Cetirizine 1mg/ml oral solution sugar free","03040101","00000000","00000000","","IMRD"
"97190979","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"97192979","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"97194979","Cetirizine 1mg/ml oral solution sugar free","03040101","00000000","00000000","","IMRD"
"97195979","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"97196979","Cetirizine 1mg/ml oral solution sugar free","03040101","00000000","00000000","","IMRD"
"97197979","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"97198979","Cetirizine 1mg/ml oral solution sugar free","03040100","00000000","00000000","R06AE07","IMRD"
"97717989","Terfenadine 120mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"97914990","Terfenadine 60mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"98004989","Terfenadine 120mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"98004990","Terfenadine 60mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"98016990","Terfenadine 60mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"98086998","Desloratadine 2.5mg/5ml syrup","03040100","00000000","00000000","R06AX27","IMRD"
"98709997","Astemizole 5mg/5ml suspension","03040100","00000000","00000000","R06AX11","IMRD"
"98709998","Astemizole 10mg tablets","03040100","00000000","00000000","R06AX11","IMRD"
"98784998","Terfenadine 30mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"98952996","Ketotifen 1mg/5ml oral solution sugar free","03030100","00000000","00000000","R06AX17","IMRD"
"98952997","Ketotifen 1mg tablets","03030100","00000000","00000000","R06AX17","IMRD"
"98952998","Ketotifen 1mg capsules","03030100","00000000","00000000","R06AX17","IMRD"
"99026996","Terfenadine 30mg/5ml suspension","03040100","00000000","00000000","R06AX12","IMRD"
"99026997","Terfenadine 120mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"99026998","Terfenadine 60mg tablets","03040100","00000000","00000000","R06AX12","IMRD"
"51996978","BecoAllergy 10mg tablets tablets 10 ","03.04.01.01","00.00.00.00","00.00.00.00","","IMRD"
"64692979","Fexofenadine 120mg/5ml oral solution solution 24 ","03.04.01.01","00.00.00.00","00.00.00.00","","IMRD"
"94224990","Loratadine 5mg/5ml oral solution solution 1 ","03.04.01.01","00.00.00.00","00.00.00.00","","IMRD"
"96989979","Numark Hayfever & Allergy Relief 10mg tablets tablets 10 ","03.04.01.01","00.00.00.00","00.00.00.00","","IMRD"
