"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"4376","Chlorpromazine 25mg tablets","","","","N05AA01","CEGEDIM"
"4377","Chlorpromazine 25mg tablets (A A H Pharmaceuticals Ltd)","","","","N05AA01","CEGEDIM"
"4378","Chlorpromazine 25mg tablets (A A H Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","N05AA01","CEGEDIM"
"4387","Chlorpromazine 25mg tablets (Teva UK Ltd)","","","","N05AA01","CEGEDIM"
"4388","Chlorpromazine 25mg tablets (Teva UK Ltd) 28 tablet","","","","N05AA01","CEGEDIM"
"4394","Largactil 25mg tablets (Sanofi)","","","","N05AA01","CEGEDIM"
"4395","Largactil 25mg tablets (Sanofi) 56 tablet2 x 28 tablets","","","","N05AA01","CEGEDIM"
"4432","Chlorpromazine 25mg tablets (IVAX Pharmaceuticals UK Ltd)","","","","N05AA01","CEGEDIM"
"4433","Chlorpromazine 25mg tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet2 x 14 tablets","","","","N05AA01","CEGEDIM"
"4446","Chlorpromazine 25mg tablets (Kent Pharmaceuticals Ltd)","","","","N05AA01","CEGEDIM"
"4447","Chlorpromazine 25mg tablets (Kent Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","N05AA01","CEGEDIM"
"4450","Chlorpromazine 25mg tablets (Ranbaxy (UK) Ltd)","","","","N05AA01","CEGEDIM"
"4451","Chlorpromazine 25mg tablets (Ranbaxy (UK) Ltd) 28 tablet2 x 14 tablets","","","","N05AA01","CEGEDIM"
"4455","Chlorpromazine 25mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","N05AA01","CEGEDIM"
"4456","Chlorpromazine 25mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet2 x 14 tablets","","","","N05AA01","CEGEDIM"
"4481","Chlorpromazine 50mg tablets","","","","N05AA01","CEGEDIM"
"4482","Chlorpromazine 50mg tablets (A A H Pharmaceuticals Ltd)","","","","N05AA01","CEGEDIM"
"4483","Chlorpromazine 50mg tablets (A A H Pharmaceuticals Ltd) 28 tablet","","","","N05AA01","CEGEDIM"
"4490","Chlorpromazine 50mg tablets (Teva UK Ltd)","","","","N05AA01","CEGEDIM"
"4491","Chlorpromazine 50mg tablets (Teva UK Ltd) 28 tablet","","","","N05AA01","CEGEDIM"
"4500","Chlorpromazine 50mg tablets (The Boots Company Plc)","","","","N05AA01","CEGEDIM"
"4501","Chlorpromazine 50mg tablets (The Boots Company Plc) 500 tablet","","","","N05AA01","CEGEDIM"
"4511","Largactil 50mg tablets (Sanofi)","","","","N05AA01","CEGEDIM"
"4512","Largactil 50mg tablets (Sanofi) 56 tablet2 x 28 tablets","","","","N05AA01","CEGEDIM"
"4515","Chlorpromazine 50mg tablets (IVAX Pharmaceuticals UK Ltd)","","","","N05AA01","CEGEDIM"
"4516","Chlorpromazine 50mg tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet2 x 14 tablets","","","","N05AA01","CEGEDIM"
"4521","Chlorpromazine 50mg tablets (Kent Pharmaceuticals Ltd)","","","","N05AA01","CEGEDIM"
"4522","Chlorpromazine 50mg tablets (Kent Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","N05AA01","CEGEDIM"
"4525","Chlorpromazine 50mg tablets (Ranbaxy (UK) Ltd)","","","","N05AA01","CEGEDIM"
"4526","Chlorpromazine 50mg tablets (Ranbaxy (UK) Ltd) 28 tablet2 x 14 tablets","","","","N05AA01","CEGEDIM"
"4530","Chlorpromazine 50mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","N05AA01","CEGEDIM"
"4531","Chlorpromazine 50mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet2 x 14 tablets","","","","N05AA01","CEGEDIM"
"4551","Chlorpromazine 100mg tablets","","","","N05AA01","CEGEDIM"
"4552","Chlorpromazine 100mg tablets (A A H Pharmaceuticals Ltd)","","","","N05AA01","CEGEDIM"
"4553","Chlorpromazine 100mg tablets (A A H Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","N05AA01","CEGEDIM"
"4556","Chlorpromazine 100mg tablets (Teva UK Ltd)","","","","N05AA01","CEGEDIM"
"4557","Chlorpromazine 100mg tablets (Teva UK Ltd) 28 tablet","","","","N05AA01","CEGEDIM"
"4558","Chlorpromazine 100mg tablets (The Boots Company Plc)","","","","N05AA01","CEGEDIM"
"4559","Chlorpromazine 100mg tablets (The Boots Company Plc) 500 tablet","","","","N05AA01","CEGEDIM"
"4560","Largactil 100mg tablets (Sanofi)","","","","N05AA01","CEGEDIM"
"4561","Largactil 100mg tablets (Sanofi) 56 tablet4 x 14 tablets","","","","N05AA01","CEGEDIM"
"4562","Chlorpromazine 100mg tablets (IVAX Pharmaceuticals UK Ltd)","","","","N05AA01","CEGEDIM"
"4563","Chlorpromazine 100mg tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet2 x 14 tablets","","","","N05AA01","CEGEDIM"
"4564","Chlorpromazine 100mg tablets (Kent Pharmaceuticals Ltd)","","","","N05AA01","CEGEDIM"
"4565","Chlorpromazine 100mg tablets (Kent Pharmaceuticals Ltd) 28 tablet","","","","N05AA01","CEGEDIM"
"4599","Chlorpromazine 100mg tablets (Ranbaxy (UK) Ltd)","","","","N05AA01","CEGEDIM"
"4600","Chlorpromazine 100mg tablets (Ranbaxy (UK) Ltd) 28 tablet2 x 14 tablets","","","","N05AA01","CEGEDIM"
"4610","Chlorpromazine 100mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","N05AA01","CEGEDIM"
"4611","Chlorpromazine 100mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet2 x 14 tablets","","","","N05AA01","CEGEDIM"
"10384","Risperidone 1mg/ml oral solution sugar free","","","","N05AX08","CEGEDIM"
"10385","Risperdal 1mg/ml oral solution (Janssen-Cilag Ltd)","","","","N05AX08","CEGEDIM"
"10386","Risperdal 1mg/ml oral solution (Janssen-Cilag Ltd) 100 ml","","","","N05AX08","CEGEDIM"
"10413","Risperidone 500microgram tablets","","","","N05AX08","CEGEDIM"
"10414","Risperdal 500microgram tablets (Janssen-Cilag Ltd)","","","","N05AX08","CEGEDIM"
"10415","Risperdal 500microgram tablets (Janssen-Cilag Ltd) 20 tablet2 x 10 tablets","","","","N05AX08","CEGEDIM"
"10419","Risperidone 1mg tablets","","","","N05AX08","CEGEDIM"
"10420","Risperdal 1mg tablets (Janssen-Cilag Ltd)","","","","N05AX08","CEGEDIM"
"10421","Risperdal 1mg tablets (Janssen-Cilag Ltd) 20 tablet2 x 10 tablets","","","","N05AX08","CEGEDIM"
"10422","Risperdal 1mg tablets (Janssen-Cilag Ltd) 60 tablet6 x 10 tablets","","","","N05AX08","CEGEDIM"
"10423","Risperidone 2mg tablets","","","","N05AX08","CEGEDIM"
"10424","Risperdal 2mg tablets (Janssen-Cilag Ltd)","","","","N05AX08","CEGEDIM"
"10425","Risperdal 2mg tablets (Janssen-Cilag Ltd) 60 tablet6 x 10 tablets","","","","N05AX08","CEGEDIM"
"10426","Risperidone 3mg tablets","","","","N05AX08","CEGEDIM"
"10427","Risperdal 3mg tablets (Janssen-Cilag Ltd)","","","","N05AX08","CEGEDIM"
"10428","Risperdal 3mg tablets (Janssen-Cilag Ltd) 60 tablet6 x 10 tablets","","","","N05AX08","CEGEDIM"
"10429","Risperidone 4mg tablets","","","","N05AX08","CEGEDIM"
"10430","Risperdal 4mg tablets (Janssen-Cilag Ltd)","","","","N05AX08","CEGEDIM"
"10431","Risperdal 4mg tablets (Janssen-Cilag Ltd) 60 tablet6 x 10 tablets","","","","N05AX08","CEGEDIM"
"10432","Risperidone 6mg tablets","","","","N05AX08","CEGEDIM"
"10433","Risperdal 6mg tablets (Janssen-Cilag Ltd)","","","","N05AX08","CEGEDIM"
"10434","Risperdal 6mg tablets (Janssen-Cilag Ltd) 28 tablet4 x 7 tablets","","","","N05AX08","CEGEDIM"
"10799","Olanzapine 2.5mg tablets","","","","N05AH03","CEGEDIM"
"10800","Zyprexa 2.5mg tablets (Eli Lilly and Company Ltd)","","","","N05AH03","CEGEDIM"
"10801","Zyprexa 2.5mg tablets (Eli Lilly and Company Ltd) 28 tablet4 x 7 tablets","","","","N05AH03","CEGEDIM"
"10805","Olanzapine 7.5mg tablets","","","","N05AH03","CEGEDIM"
"10806","Zyprexa 7.5mg tablets (Eli Lilly and Company Ltd)","","","","N05AH03","CEGEDIM"
"10807","Zyprexa 7.5mg tablets (Eli Lilly and Company Ltd) 56 tablet8 x 7 tablets","","","","N05AH03","CEGEDIM"
"10811","Olanzapine 5mg tablets","","","","N05AH03","CEGEDIM"
"10812","Zyprexa 5mg tablets (Eli Lilly and Company Ltd)","","","","N05AH03","CEGEDIM"
"10813","Zyprexa 5mg tablets (Eli Lilly and Company Ltd) 28 tablet4 x 7 tablets","","","","N05AH03","CEGEDIM"
"10817","Olanzapine 10mg tablets","","","","N05AH03","CEGEDIM"
"10818","Zyprexa 10mg tablets (Eli Lilly and Company Ltd)","","","","N05AH03","CEGEDIM"
"10819","Zyprexa 10mg tablets (Eli Lilly and Company Ltd) 28 tablet4 x 7 tablets","","","","N05AH03","CEGEDIM"
"10820","Zyprexa 10mg tablets (Eli Lilly and Company Ltd) 56 tablet8 x 7 tablets","","","","N05AH03","CEGEDIM"
"10837","Amisulpride 50mg tablets","","","","N05AL05","CEGEDIM"
"10838","Solian 50 tablets (Sanofi)","","","","N05AL05","CEGEDIM"
"10839","Solian 50 tablets (Sanofi) 60 tablet6 x 10 tablets","","","","N05AL05","CEGEDIM"
"10840","Amisulpride 200mg tablets","","","","N05AL05","CEGEDIM"
"10841","Solian 200 tablets (Sanofi)","","","","N05AL05","CEGEDIM"
"10842","Solian 200 tablets (Sanofi) 60 tablet6 x 10 tablets","","","","N05AL05","CEGEDIM"
"10848","Amisulpride 400mg tablets","","","","N05AL05","CEGEDIM"
"10849","Solian 400 tablets (Sanofi)","","","","N05AL05","CEGEDIM"
"10850","Solian 400 tablets (Sanofi) 60 tablet4 x 15 tablets","","","","N05AL05","CEGEDIM"
"10918","Olanzapine 10mg oral lyophilisates sugar free","","","","N05AH03","CEGEDIM"
"10919","Zyprexa 10mg Velotabs (Eli Lilly and Company Ltd)","","","","N05AH03","CEGEDIM"
"10920","Zyprexa 10mg Velotabs (Eli Lilly and Company Ltd) 28 tablet4 x 7 tablets","","","","N05AH03","CEGEDIM"
"10921","Olanzapine 5mg oral lyophilisates sugar free","","","","N05AH03","CEGEDIM"
"10922","Zyprexa 5mg Velotabs (Eli Lilly and Company Ltd)","","","","N05AH03","CEGEDIM"
"10923","Zyprexa 5mg Velotabs (Eli Lilly and Company Ltd) 28 tablet4 x 7 tablets","","","","N05AH03","CEGEDIM"
"11750","Flupentixol 500microgram tablets","","","","N05AF01","CEGEDIM"
"11751","Fluanxol 500microgram tablets (Lundbeck Ltd)","","","","N05AF01","CEGEDIM"
"11752","Fluanxol 500microgram tablets (Lundbeck Ltd) 60 tablet6 x 10 tablets","","","","N05AF01","CEGEDIM"
"11756","Flupentixol 1mg tablets","","","","N05AF01","CEGEDIM"
"11757","Fluanxol 1mg tablets (Lundbeck Ltd)","","","","N05AF01","CEGEDIM"
