"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"71481","Aripiprazole 10mg tablets (Alliance Healthcare (Distribution) Ltd) Aripiprazole 10mg Tablet Oral","04020102","","","","CPRD_GOLD"
"29972","PERICYAZINE    ","00000000","","","","CPRD_GOLD"
"16434","Risperidone 25mg powder and solvent for suspension for injection vials Risperidone 25mg Powder and solvent for suspension for injection Intramuscular","04020102","","","","CPRD_GOLD"
"21709","Seroquel 300mg tablets (AstraZeneca UK Ltd) Quetiapine fumarate 300mg Tablet Oral","04020102","","","","CPRD_GOLD"
"15814","Haloperidol decanoate 100mg/1ml solution for injection ampoules Haloperidol decanoate 100mg/1ml Solution for injection Intramuscular","04020101","04020200","","","CPRD_GOLD"
"8136","HALOPERIDOL 5 MG LIQ    ","00000000","","","","CPRD_GOLD"
"55871","Haloperidol 2mg/ml Liquid (Hillcross Pharmaceuticals Ltd) Haloperidol 2mg/ml Liquid ","04020100","40120000","","","CPRD_GOLD"
"23340","MODECATE CONC    ","00000000","","","","CPRD_GOLD"
"67820","Chlorpromazine 100mg/5ml oral suspension Chlorpromazine hydrochloride 20mg/1ml Oral suspension Oral","04020101","","","","CPRD_GOLD"
"19033","CHLORPROMAZINE HCl 50 MG INJ    ","00000000","","","","CPRD_GOLD"
"65321","Risperidone 500microgram tablets (Teva UK Ltd) Risperidone 500microgram Tablet Oral","04020102","","","","CPRD_GOLD"
"56072","Olanzapine 20mg orodispersible tablets Olanzapine 20mg Orodispersible tablet Oral","04020102","04020300","","","CPRD_GOLD"
"30346","CHLORPROMAZINE HCl 100 MG TAB    ","00000000","","","","CPRD_GOLD"
"4820","Risperdal 1mg tablets (Janssen-Cilag Ltd) Risperidone 1mg Tablet Oral","04020102","","","","CPRD_GOLD"
"29838","STELAZINE CONCENTRATE 10mg/ml    ","00000000","","","","CPRD_GOLD"
"27582","STELAZINE    ","00000000","","","","CPRD_GOLD"
"34668","Chlorpromazine 25mg tablets (Teva UK Ltd) Chlorpromazine hydrochloride 25mg Tablet Oral","04020101","","","","CPRD_GOLD"
"41663","Trifluoperazine 5mg tablets (A A H Pharmaceuticals Ltd) Trifluoperazine hydrochloride 5mg Tablet Oral","04020101","04065400","","","CPRD_GOLD"
"9975","Haloperidol 1mg/ml sugar free Oral solution Haloperidol 1mg/ml Oral Solution Oral","04020100","40120000","","","CPRD_GOLD"
"28679","Dozic 2mg/ml Oral solution (Rosemont Pharmaceuticals Ltd) Haloperidol 2mg/ml Oral Solution Oral","04020100","40120000","","","CPRD_GOLD"
"71201","Levomepromazine 62.5mg/5ml oral suspension Levomepromazine maleate 12.5mg/1ml Oral suspension Oral","04020101","","","","CPRD_GOLD"
"2714","Trifluoperazine 10mg modified-release capsules Trifluoperazine hydrochloride 10mg Modified-release capsule Oral","00000000","","","","CPRD_GOLD"
"6443","Promazine 25mg/5ml oral solution Promazine hydrochloride 5mg/1ml Oral solution Oral","04020101","","","","CPRD_GOLD"
"74088","Chlorpromazine 25mg suppositories Chlorpromazine hydrochloride 25mg Suppository Rectal","04020101","","","","CPRD_GOLD"
"24494","Haldol 10mg/ml Liquid (Janssen-Cilag Ltd) Haloperidol 10mg/ml Liquid Oral","04020100","40120000","","","CPRD_GOLD"
"19752","DEPIXOL (10ML VIAL)    ","00000000","","","","CPRD_GOLD"
"33493","Sparine 100mg Tablet (Wyeth Pharmaceuticals) Promazine Hydrochloride 100mg Tablet Oral","04020100","","","","CPRD_GOLD"
"73980","Abilify 5mg tablets (Lexon (UK) Ltd) Aripiprazole 5mg Tablet Oral","04020102","","","","CPRD_GOLD"
"29948","Stelazine Forte 1mg/ml oral solution (Mercury Pharma Group Ltd) Trifluoperazine hydrochloride 1mg/1ml Oral solution Oral","04020101","04065400","","","CPRD_GOLD"
"19002","Largactil 100mg Suppository (Rhone-Poulenc Rorer Ltd) Chlorpromazine Hydrochloride 100mg Suppository Rectal","04020100","40120000","","","CPRD_GOLD"
"35391","Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules Fluphenazine decanoate 100mg/1ml Solution for injection Intramuscular","04020200","","","","CPRD_GOLD"
"9340","Risperdal 3mg tablets (Janssen-Cilag Ltd) Risperidone 3mg Tablet Oral","04020102","","","","CPRD_GOLD"
"12128","Modecate concentrate 100mg/ml Injection (Sanofi-Synthelabo Ltd) Fluphenazine Decanoate 100mg/ml Injection Intramuscular Deep Injection Gluteal Muscle","04020200","","","","CPRD_GOLD"
"667","Risperidone 500microgram tablets Risperidone 500microgram Tablet Oral","04020102","","","","CPRD_GOLD"
"77890","Droperidol 2.5mg/1ml solution for injection ampoules (Panpharma UK Ltd) Droperidol 2.5mg/1ml Solution for injection Intravenous","04065400","","","","CPRD_GOLD"
"46447","Paliperidone 100mg/1ml suspension for injection pre-filled syringes Paliperidone palmitate 100mg/1ml Suspension for injection Intramuscular","04020200","","","","CPRD_GOLD"
"22049","Clopixol 200mg/1ml solution for injection ampoules (Lundbeck Ltd) Zuclopenthixol decanoate 200mg/1ml Solution for injection Intramuscular","04020101","","","","CPRD_GOLD"
"3775","Zuclopenthixol decanoate 200mg/ml oily injection Zuclopenthixol Decanoate 200mg/ml Oily Injection ","04020100","04020200","","","CPRD_GOLD"
"52076","Amisulpride 12.5mg/5ml oral solution Amisulpride 2.5mg/1ml Oral solution Oral","04020102","","","","CPRD_GOLD"
"65773","Aripiprazole 30mg tablets (Zentiva) Aripiprazole 30mg Tablet Oral","04020102","","","","CPRD_GOLD"
"34630","Chlorpromazine 50mg tablets (Thornton & Ross Ltd) Chlorpromazine hydrochloride 50mg Tablet Oral","04020101","","","","CPRD_GOLD"
