"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"1398","Levomepromazine12.5 mgDrug infusion","","","","","UHB"
"4562","Flupentixol360 mgInjectionMus.Injec","","","","","UHB"
"421","Levomepromazine6.25-12.5 mgTabletOral","","","","","UHB"
"3924","Haloperidol2-5 mgTabletOral","","","","","UHB"
"2554","Risperidone1.2 mgLiquidOral","","","","","UHB"
"623","Olanzapine10 mgTabletOral","","","","","UHB"
"4765","Zuclopenthixol125 mgTabletOral","","","","","UHB"
"2094","Levomepromazine12.5 mgTabletOral","","","","","UHB"
"3874","Zuclopenthixol dihydrochloride10 mgTabletOral","","","","","UHB"
"2130","Levomepromazine25 mgInjectionInt.Infus","","","","","UHB"
"2132","Levomepromazine0 mgInjectionInt.Infus","","","","","UHB"
"4444","Risperidone2 mgLiquidOral","","","","","UHB"
"3873","Zuclopenthixol dihydrochloride125 mgTabletOral","","","","","UHB"
"4820","Aripiprazole20 mgTabletOral","","","","","UHB"
"208","Levomepromazine6.25 mgInjectionSubcut","","","","","UHB"
"3403","Levomepromazine6.25-12.5 mgInjectionSubcut","","","","","UHB"
"4816","Aripiprazole5 mgOral SolutionOral","","","","","UHB"
"2612","Risperidone2 mgLiquidNasogas.","","","","","UHB"
"3330","Haloperidol10 mgInjectionInt.Bolus","","","","","UHB"
"3965","Haloperidol2 mgTabletOral","","","","","UHB"
"4119","Olanzapine5 mgDispersible TabletOral","","","","","UHB"
"4813","Risperidone2.5 mgTabletOral","","","","","UHB"
"757","Olanzapine5 mgTabletOral","","","","","UHB"
"3969","Risperidone2500 microgTabletOral","","","","","UHB"
"2202","Haloperidol500 microgTabletOral","","","","","UHB"
"2365","Haloperidol2-5 mgInjectionInt.Bolus","","","","","UHB"
"2492","Haloperidol1000 microgInjectionMus.Injec","","","","","UHB"
"1395","Levomepromazine6.25 mgGraseby/McKinley drug","","","","","UHB"
"1645","Levomepromazine3.125-6.25 mgInjectionSubcut","","","","","UHB"
"1650","Olanzapine15 mgTabletOral","","","","","UHB"
"1152","Levomepromazine12.5-25 mgInjectionInt.Bolus","","","","","UHB"
"4093","Haloperidol0.5 mgInjectionMus.Injec","","","","","UHB"
"3533","Haloperidol0.5-1 mgInjectionSubcut","","","","","UHB"
"4343","Risperidone6 mgTabletOral","","","","","UHB"
"1550","Levomepromazine25-50 mgInjectionInt.Bolus","","","","","UHB"
"1326","Haloperidol0.5 mgTabletOral","","","","","UHB"
"3984","Aripiprazole5 mgTabletOral","","","","","UHB"
"1126","Haloperidol1 mgInjectionMus.Injec","","","","","UHB"
"1479","Haloperidol2.5-5 mgInjectionInt.Bolus","","","","","UHB"
"2655","Risperidone4 mgTabletOral","","","","","UHB"
"2472","Clozapine375 mgTabletOral","","","","","UHB"
"1747","Amisulpride50 mgTabletOral","","","","","UHB"
"2614","Haloperidol1-5 mgInjectionMus.Injec","","","","","UHB"
"1321","Haloperidol1 mgTabletOral","","","","","UHB"
"1449","Levomepromazine3.125 mgInjectionSubcut","","","","","UHB"
"2097","Haloperidol2.5-10 mgInjectionInt.Bolus","","","","","UHB"
"4625","Olanzapine5-10 mgTabletOral","","","","","UHB"
"2876","Levomepromazine12.5 mgTabletNasogas.","","","","","UHB"
"152","Levomepromazine6.25 mgInjectionInt.Infus","","","","","UHB"
"2370","Risperidone1 mgTabletOral","","","","","UHB"
"2319","Risperidone1000 microgTabletOral","","","","","UHB"
"982","Aripiprazole10 mgTabletOral","","","","","UHB"
"3929","Flupentixol500 microgTabletOral","","","","","UHB"
"3800","Haloperidol1 mgInjectionSubcut","","","","","UHB"
"4490","Risperidone750 microgLiquidOral","","","","","UHB"
"96","Haloperidol2.5 mgInjectionInt.Bolus","","","","","UHB"
"1309","Risperidone250 microgTabletOral","","","","","UHB"
"1857","Haloperidol2 mgInjectionInt.Bolus","","","","","UHB"
"2465","Aripiprazole30 mgTabletOral","","","","","UHB"
"1933","Risperidone500 microgLiquidOral","","","","","UHB"
"1406","Levomepromazine12.5 mgGraseby/McKinley drug","","","","","UHB"
"1396","Levomepromazine6.25 mgDrug infusion","","","","","UHB"
"2607","Haloperidol2-5 mgInjectionMus.Injec","","","","","UHB"
"3782","Haloperidol1-5 mgInjectionInt.Bolus","","","","","UHB"
"470","Aripiprazole2.5 mgTabletOral","","","","","UHB"
"3643","Levomepromazine50 mgInjectionInt.Bolus","","","","","UHB"
"2431","Olanzapine20 mgTabletOral","","","","","UHB"
"3894","Levomepromazine12.5-25 mgInjectionInt.Infus","","","","","UHB"
"151","Levomepromazine6.25 mgInjectionInt.Bolus","","","","","UHB"
"3999","Clozapine275 mgTabletOral","","","","","UHB"
"2136","Levomepromazine6.25-12.5 mgInjectionInt.Bolus","","","","","UHB"
"2399","Haloperidol2-10 mgInjectionInt.Bolus","","","","","UHB"
"2184","Risperidone1500 microgTabletOral","","","","","UHB"
"3273","Chlorpromazine50 mgTabletOral","","","","","UHB"
"3771","lurasidone111 mgTabletOral","","","","","UHB"
"3845","Haloperidol1.5 mgInjectionSubcut","","","","","UHB"
"3966","Haloperidol1-2 mgTabletOral","","","","","UHB"
"3532","Haloperidol0.5-1 mgInjectionInt.Infus","","","","","UHB"
"2557","Risperidone0.7 mgLiquidOral","","","","","UHB"
"153","Levomepromazine12.5 mgInjectionInt.Infus","","","","","UHB"
"3930","Flupentixol0 mgInjectionMus.Injec","","","","","UHB"
"4001","Aripiprazole15 mgTabletOral","","","","","UHB"
"423","Haloperidol5-10 mgInjectionInt.Bolus","","","","","UHB"
"1854","Haloperidol0.5 mgInjectionInt.Bolus","","","","","UHB"
"3233","Amisulpride100 mgTabletOral","","","","","UHB"
"3442","Levomepromazine3.75 mgInjectionSubcut","","","","","UHB"
"452","Levomepromazine6 mgTabletOral","","","","","UHB"
"1322","Haloperidol0.5-1 mgTabletOral","","","","","UHB"
"3235","Amisulpride300 mgTabletOral","","","","","UHB"
"1988","Risperidone3 mgTabletOral","","","","","UHB"
"3955","Haloperidol2.5 mgInjectionSubcut","","","","","UHB"
"3773",".lurasidone111 mgTabletOral","","","","","UHB"
"1739","Levomepromazine25 mgTabletOral","","","","","UHB"
