"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"1222","Aspirin 75mg dispersible tablets","","","","B01AC06","CEGEDIM"
"1223","Aspirin 75mg dispersible tablets (A A H Pharmaceuticals Ltd)","","","","B01AC06","CEGEDIM"
"1224","Aspirin 75mg dispersible tablets (A A H Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","B01AC06","CEGEDIM"
"1229","Aspirin 75mg dispersible tablets (A A H Pharmaceuticals Ltd) 100 tablet","","","","B01AC06","CEGEDIM"
"1232","Aspirin 75mg dispersible tablets (A A H Pharmaceuticals Ltd) 1000 tablet","","","","B01AC06","CEGEDIM"
"1233","Aspirin 75mg dispersible tablets (Actavis UK Ltd)","","","","B01AC06","CEGEDIM"
"1234","Aspirin 75mg dispersible tablets (Actavis UK Ltd) 28 tablet2 x 14 tablets","","","","B01AC06","CEGEDIM"
"1235","Aspirin 75mg dispersible tablets (Actavis UK Ltd) 100 tablet","","","","B01AC06","CEGEDIM"
"1236","Aspirin 75mg dispersible tablets (Actavis UK Ltd) 1000 tablet","","","","B01AC06","CEGEDIM"
"1237","Aspirin 75mg dispersible tablets (Teva UK Ltd)","","","","B01AC06","CEGEDIM"
"1238","Aspirin 75mg dispersible tablets (Teva UK Ltd) 28 tablet2 x 14 tablets","","","","B01AC06","CEGEDIM"
"1242","Aspirin 75mg dispersible tablets (Teva UK Ltd) 100 tablet","","","","B01AC06","CEGEDIM"
"1243","PostMI 75 dispersible tablets (Ashbourne Pharmaceuticals Ltd)","","","","B01AC06","CEGEDIM"
"1244","PostMI 75 dispersible tablets (Ashbourne Pharmaceuticals Ltd) 28 tablet","","","","B01AC06","CEGEDIM"
"1252","Aspirin 75mg dispersible tablets (The Boots Company Plc)","","","","B01AC06","CEGEDIM"
"1253","Aspirin 75mg dispersible tablets (The Boots Company Plc) 100 tablet","","","","B01AC06","CEGEDIM"
"1256","Aspirin 75mg dispersible tablets (The Boots Company Plc) 1000 tablet","","","","B01AC06","CEGEDIM"
"1260","Aspirin 75mg dispersible tablets (IVAX Pharmaceuticals UK Ltd)","","","","B01AC06","CEGEDIM"
"1261","Aspirin 75mg dispersible tablets (IVAX Pharmaceuticals UK Ltd) 100 tablet","","","","B01AC06","CEGEDIM"
"1265","Aspirin 75mg dispersible tablets (Kent Pharmaceuticals Ltd)","","","","B01AC06","CEGEDIM"
"1266","Aspirin 75mg dispersible tablets (Kent Pharmaceuticals Ltd) 28 tablet","","","","B01AC06","CEGEDIM"
"1267","Aspirin 75mg dispersible tablets (Kent Pharmaceuticals Ltd) 100 tablet","","","","B01AC06","CEGEDIM"
"1271","Aspirin 75mg dispersible tablets (Kent Pharmaceuticals Ltd) 1000 tablet","","","","B01AC06","CEGEDIM"
"1277","Aspirin 75mg dispersible tablets (Thornton & Ross Ltd)","","","","B01AC06","CEGEDIM"
"1278","Aspirin 75mg dispersible tablets (Thornton & Ross Ltd) 100 tablet","","","","B01AC06","CEGEDIM"
"1279","Aspirin 75mg dispersible tablets (Alliance Healthcare (Distribution) Ltd)","","","","B01AC06","CEGEDIM"
"1280","Aspirin 75mg dispersible tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet2 x 14 tablets","","","","B01AC06","CEGEDIM"
"1284","Aspirin 75mg dispersible tablets (Alliance Healthcare (Distribution) Ltd) 100 tablet","","","","B01AC06","CEGEDIM"
"1287","Aspirin 75mg dispersible tablets (Alliance Healthcare (Distribution) Ltd) 1000 tablet","","","","B01AC06","CEGEDIM"
"5463","Aspirin 75mg dispersible tablets (Aspar Pharmaceuticals Ltd)","","","","B01AC06","CEGEDIM"
"5464","Aspirin 75mg dispersible tablets (Aspar Pharmaceuticals Ltd) 32 tablet","","","","B01AC06","CEGEDIM"
"5465","Aspirin 75mg dispersible tablets (Aspar Pharmaceuticals Ltd) 100 tablet","","","","B01AC06","CEGEDIM"
"6422","Aspirin 300mg gastro-resistant tablets","","","","N02BA01","CEGEDIM"
"6423","Aspirin 300mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)","","","","N02BA01","CEGEDIM"
