"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"36543","Aspirin 100mg effervescent tablets Aspirin 100mg Tablets Oral","02090000","","","","CPRD_GOLD"
"68752","Aspirin 75mg tablets (Sigma Pharmaceuticals Plc) Aspirin 75mg Tablet Oral","02090000","","","","CPRD_GOLD"
"25212","IMAZIN XL    ","00000000","","","","CPRD_GOLD"
"24309","Paracetamol 120mg with aspirin 165.3mg & caffeine 60mg powder Caffeine/Paracetamol/Aspirin 120mg + 165.3mg + 60mg Powders Oral","04070100","","","","CPRD_GOLD"
"40191","ASPIRIN /CAFFEINE /QUININE SULPHATE 325 MG TAB    ","00000000","","","","CPRD_GOLD"
"27435","Paracetamol 200mg with aspirin 300mg & caffeine 45mg soluble tablet Caffeine/Paracetamol/Aspirin 200mg + 300mg +45mg Soluble Tablet Oral","04070100","","","","CPRD_GOLD"
"52905","Aspirin 300mg tablets (Lloyds Pharmacy Ltd) Aspirin 300mg Tablet Oral","02090000","04070100","","","CPRD_GOLD"
"12102","ASPIRIN SOLUBLE 100 MG TAB    ","00000000","","","","CPRD_GOLD"
"29759","Aspro Tablet (Roche Consumer Health) Aspirin  Tablet Oral","02090000","04070100","","","CPRD_GOLD"
"17180","Metoclopramide with aspirin 5mg + 450mg Effervescent tablet Citric Acid/Metoclopramide Hydrochloride/Aspirin/Sodium Bicarbonate 5mg + 450mg Effervescent Tablet Oral","04065500","04070401","","","CPRD_GOLD"
"18261","Aspirin 500mg with Papaveretum 7.71mg dispersible tablets Aspirin/Papaveretum 500mg + 7.71mg Dispersible Tablet Oral","04070100","04070200","","","CPRD_GOLD"
"15779","Codeine 8mg with aspirin 500mg soluble tablets Codeine Phosphate/Aspirin 8mg + 500mg Soluble Tablet Oral","04070100","04070200","","","CPRD_GOLD"
"430","Aspirin 500mg / Caffeine 32mg capsules Caffeine/Aspirin 500mg + 32mg Capsules Oral","04070100","","","","CPRD_GOLD"
"66861","Aspirin 75mg effervescent tablets Aspirin 75mg Effervescent tablet Oral","02090000","","","","CPRD_GOLD"
