"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"16716978","Epistatus 10mg/1ml oromucosal solution pre-filled oral syringes","00000000","00000000","00000000","","IMRD"
"21822978","Lorazepam 1mg/ml oral solution sugar free","00000000","00000000","00000000","","IMRD"
"23096978","Midazolam 10mg/1ml oromucosal solution pre-filled oral syringes sugar free","00000000","00000000","00000000","","IMRD"
"24099978","Zacco 5mg/5ml oral suspension","04010201","00000000","00000000","","IMRD"
"30258978","Diazepam 5mg/5ml oral suspension","04010200","00000000","00000000","N05BA01","IMRD"
"30273978","Diazepam 2mg/5ml oral suspension","04010200","00000000","00000000","N05BA01","IMRD"
"30644978","Diazepam 2mg/5ml oral suspension","04010201","00000000","00000000","","IMRD"
"31071978","Midazolam 7.5mg/1.5ml oromucosal solution pre-filled oral syringes sugar free","04080200","15010401","00000000","N05CD08","IMRD"
"31072978","Midazolam 7.5mg/1.5ml oromucosal solution pre-filled oral syringes sugar free","04080200","15010401","00000000","N05CD08","IMRD"
"31073978","Midazolam 5mg/1ml oromucosal solution pre-filled oral syringes sugar free","04080200","15010401","00000000","N05CD08","IMRD"
"31074978","Midazolam 5mg/1ml oromucosal solution pre-filled oral syringes sugar free","04080200","15010401","00000000","N05CD08","IMRD"
"31075978","Midazolam 2.5mg/0.5ml oromucosal solution pre-filled oral syringes sugar free","04080200","15010401","00000000","N05CD08","IMRD"
"31076978","Midazolam 2.5mg/0.5ml oromucosal solution pre-filled oral syringes sugar free","04080200","15010401","00000000","N05CD08","IMRD"
"31077978","Midazolam 10mg/2ml oromucosal solution pre-filled oral syringes sugar free","04080200","15010401","00000000","N05CD08","IMRD"
"31078978","Midazolam 10mg/2ml oromucosal solution pre-filled oral syringes sugar free","04080200","15010401","00000000","N05CD08","IMRD"
"31085978","Diazepam 5mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"31208978","Diazepam 2mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"31582978","Clonazepam 1mg/1ml solution for injection ampoules and diluent","04080200","04080100","00000000","N03AE01","IMRD"
"46957978","Clobazam 5mg/5ml oral suspension sugar free","04080100","04010200","00000000","N05BA09","IMRD"
"47289978","Lorazepam 1mg tablets","04010200","15010401","00000000","N05BA06","IMRD"
"47483978","Clobazam 5mg/5ml oral suspension sugar free","04080100","04010200","00000000","N05BA09","IMRD"
"47484978","Clobazam 10mg/5ml oral suspension sugar free","04080100","04010200","00000000","N05BA09","IMRD"
"51907978","Diazepam 2mg/5ml oral suspension","04010200","00000000","00000000","N05BA01","IMRD"
"52978979","Clobazam 5mg/5ml oral suspension sugar free","04080100","04010200","00000000","N05BA09","IMRD"
"52979979","Clobazam 5mg/5ml oral suspension sugar free","04080100","04010200","00000000","N05BA09","IMRD"
