"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"16","Atenolol 100mg tablets","","","","C07AB03","CEGEDIM"
"17","Atenolol 100mg tablets (A A H Pharmaceuticals Ltd)","","","","C07AB03","CEGEDIM"
"18","Atenolol 100mg tablets (A A H Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"19","Atenolol 100mg tablets (Actavis UK Ltd)","","","","C07AB03","CEGEDIM"
"20","Atenolol 100mg tablets (Actavis UK Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"21","Atenolol 100mg tablets (Teva UK Ltd)","","","","C07AB03","CEGEDIM"
"22","Atenolol 100mg tablets (Teva UK Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"23","Atenix 100 tablets (Ashbourne Pharmaceuticals Ltd)","","","","C07AB03","CEGEDIM"
"24","Atenix 100 tablets (Ashbourne Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"25","Tenormin 100mg tablets (AstraZeneca UK Ltd)","","","","C07AB03","CEGEDIM"
"26","Tenormin 100mg tablets (AstraZeneca UK Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"27","Antipressan 100mg tablets (Teva UK Ltd)","","","","C07AB03","CEGEDIM"
"28","Antipressan 100mg tablets (Teva UK Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"31","Atenolol 100mg tablets (Wockhardt UK Ltd)","","","","C07AB03","CEGEDIM"
"32","Atenolol 100mg tablets (Wockhardt UK Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"40","Atenolol 100mg tablets (Mylan)","","","","C07AB03","CEGEDIM"
"41","Atenolol 100mg tablets (Mylan) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"44","Atenolol 100mg tablets (IVAX Pharmaceuticals UK Ltd)","","","","C07AB03","CEGEDIM"
"45","Atenolol 100mg tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"46","Atenolol 100mg tablets (Kent Pharmaceuticals Ltd)","","","","C07AB03","CEGEDIM"
"47","Atenolol 100mg tablets (Kent Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"48","Atenolol 100mg tablets (Sandoz Ltd)","","","","C07AB03","CEGEDIM"
"49","Atenolol 100mg tablets (Sandoz Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"50","Atenolol 100mg tablets (Sterwin Medicines)","","","","C07AB03","CEGEDIM"
"51","Atenolol 100mg tablets (Sterwin Medicines) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"52","Atenolol 100mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","C07AB03","CEGEDIM"
"53","Atenolol 100mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"54","Atenolol 50mg tablets","","","","C07AB03","CEGEDIM"
"55","Atenolol 50mg tablets (A A H Pharmaceuticals Ltd)","","","","C07AB03","CEGEDIM"
"56","Atenolol 50mg tablets (A A H Pharmaceuticals Ltd) 28 tablet","","","","C07AB03","CEGEDIM"
"57","Atenolol 50mg tablets (Actavis UK Ltd)","","","","C07AB03","CEGEDIM"
"58","Atenolol 50mg tablets (Actavis UK Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"59","Atenolol 50mg tablets (Teva UK Ltd)","","","","C07AB03","CEGEDIM"
"60","Atenolol 50mg tablets (Teva UK Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"61","Atenix 50 tablets (Ashbourne Pharmaceuticals Ltd)","","","","C07AB03","CEGEDIM"
"62","Atenix 50 tablets (Ashbourne Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"63","Tenormin LS 50mg tablets (AstraZeneca UK Ltd)","","","","C07AB03","CEGEDIM"
"64","Tenormin LS 50mg tablets (AstraZeneca UK Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"65","Antipressan 50mg tablets (Teva UK Ltd)","","","","C07AB03","CEGEDIM"
"66","Antipressan 50mg tablets (Teva UK Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"67","Atenolol 50mg tablets (Wockhardt UK Ltd)","","","","C07AB03","CEGEDIM"
"68","Atenolol 50mg tablets (Wockhardt UK Ltd) 28 tablet","","","","C07AB03","CEGEDIM"
"69","Atenolol 50mg tablets (Mylan)","","","","C07AB03","CEGEDIM"
"70","Atenolol 50mg tablets (Mylan) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"71","Atenolol 50mg tablets (IVAX Pharmaceuticals UK Ltd)","","","","C07AB03","CEGEDIM"
"72","Atenolol 50mg tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"73","Atenolol 50mg tablets (Kent Pharmaceuticals Ltd)","","","","C07AB03","CEGEDIM"
"74","Atenolol 50mg tablets (Kent Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"75","Atenolol 50mg tablets (Sandoz Ltd)","","","","C07AB03","CEGEDIM"
"76","Atenolol 50mg tablets (Sandoz Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"77","Atenolol 50mg tablets (Sterwin Medicines)","","","","C07AB03","CEGEDIM"
"78","Atenolol 50mg tablets (Sterwin Medicines) 28 tablet","","","","C07AB03","CEGEDIM"
"79","Atenolol 50mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","C07AB03","CEGEDIM"
"80","Atenolol 50mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"81","Atenolol 25mg tablets","","","","C07AB03","CEGEDIM"
"82","Atenolol 25mg tablets (A A H Pharmaceuticals Ltd)","","","","C07AB03","CEGEDIM"
"83","Atenolol 25mg tablets (A A H Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"84","Atenolol 25mg tablets (Actavis UK Ltd)","","","","C07AB03","CEGEDIM"
"85","Atenolol 25mg tablets (Actavis UK Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"86","Atenolol 25mg tablets (Teva UK Ltd)","","","","C07AB03","CEGEDIM"
"87","Atenolol 25mg tablets (Teva UK Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"88","Atenix 25 tablets (Ashbourne Pharmaceuticals Ltd)","","","","C07AB03","CEGEDIM"
"89","Atenix 25 tablets (Ashbourne Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"90","Tenormin 25mg tablets (AstraZeneca UK Ltd)","","","","C07AB03","CEGEDIM"
"91","Tenormin 25mg tablets (AstraZeneca UK Ltd) 28 tablet2 x 14 tablets","","","","C07AB03","CEGEDIM"
"92","Antipressan 25mg tablets (Teva UK Ltd)","","","","C07AB03","CEGEDIM"
