"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"17344978","Bedranol 80mg tablets","02040000","00000000","00000000","","IMRD"
"63024979","Nadolol 20mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"63026979","Nadolol 20mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"63076979","Nadolol 30mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"63077979","Nadolol 30mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"63079979","Nadolol 30mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"68077979","Carvedilol 3.125mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"68293979","Nadolol 40mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"68295979","Nadolol 40mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"69336979","Atenolol 50mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"69688979","Atenolol 25mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"69690979","Atenolol 12.5mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"69696979","Atenolol 10mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"78538978","Nebivolol 10mg tablets","00000000","00000000","00000000","","IMRD"
"79160979","Sotalol 80mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"79166979","Sotalol 40mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"79168979","Sotalol 40mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"79172979","Sotalol 25mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"80666979","Carvedilol 5mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"80948998","Metoprolol tartrate 25mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"80949998","Metoprolol tartrate 12.5mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"81052998","Carvedilol 5mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"82687998","Nebivolol 2.5mg tablets","02040000","00000000","00000000","C07AB12","IMRD"
"84105998","Nadolol oral solution","23000000","00000000","00000000","","IMRD"
"85507998","Metoprolol tartrate oral solution","23000000","00000000","00000000","","IMRD"
"85780998","Sotalol 25mg/5ml oral suspension","02040000","00000000","00000000","","IMRD"
"85959998","Oxprenolol hydrochloride 80mg tablets","02040000","00000000","00000000","C07AA02","IMRD"
"85960998","Oxprenolol hydrochloride 40mg tablets","02040000","00000000","00000000","C07AA02","IMRD"
"85961998","Oxprenolol hydrochloride 20mg tablets","02040000","00000000","00000000","C07AA02","IMRD"
"88077996","Atenolol 100mg tablets","02040000","00000000","00000000","","IMRD"
"88077997","Atenolol 50mg tablets","02040000","00000000","00000000","C07AB03","IMRD"
"88077998","Atenolol 25mg tablets","02040000","00000000","00000000","C07AB03","IMRD"
"88137998","Metoprolol tartrate 50mg tablets","02040000","00000000","00000000","C07AB02","IMRD"
"89288998","Atenolol & bendroflumethiazide 25mg/1.25mg capsules","02040000","02040000","02020100","C07CB03","IMRD"
"89290998","Atenolol 25mg / bendroflumethiazide 1.25mg capsules","02040000","02020100","02040000","C07CB03","IMRD"
"89396998","Carvedilol 6.25mg tablets","02040000","00000000","00000000","C07AG02","IMRD"
"89397998","Carvedilol 6.25mg tablets","02040000","00000000","00000000","C07AG02","IMRD"
"90918998","Nebivolol 5mg tablets","02040000","00000000","00000000","C07AB12","IMRD"
"90919998","Nebivolol 5mg tablets","02040000","00000000","00000000","C07AB12","IMRD"
"91491998","Sotalol hydrochloride 40mg/4ml injection","02040000","00000000","00000000","C07AA07","IMRD"
"91884998","Pindolol 5mg tablets","02040000","00000000","00000000","C07AA03","IMRD"
"91887998","Pindolol 15mg tablets","02040000","00000000","00000000","C07AA03","IMRD"
"92027990","Nebivolol 5mg tablets","02040000","00000000","00000000","C07AB12","IMRD"
"92343990","Nebivolol 2.5mg tablets","02040000","00000000","00000000","C07AB12","IMRD"
"92703990","Nebivolol 5mg tablets","02040000","00000000","00000000","C07AB12","IMRD"
"92926998","Oxprenolol hydrochloride 160mg modified release tablets","02040000","00000000","00000000","C07AA02","IMRD"
"93076990","Atenolol 50mg tablets","02040000","00000000","00000000","C07AB03","IMRD"
"93210998","Oxprenolol with cyclopenthiazide 160mg+0.25mg modified-release tablet","02040000","02020100","02040000","C07BA","IMRD"
"93295992","Nadolol 80mg/bendrofluazide 5mg mg tab","02040000","02020100","02040000","C07BA12","IMRD"
"93561996","Atenolol 25mg tablets","02040000","00000000","00000000","C07AB03","IMRD"
"93561997","Atenolol 100mg tablets","02040000","00000000","00000000","C07AB03","IMRD"
"93561998","Atenolol 50mg tablets","02040000","00000000","00000000","C07AB03","IMRD"
"93562996","Atenolol 25mg tablets","02040000","00000000","00000000","C07AB03","IMRD"
"93562997","Atenolol 100mg tablets","02040000","00000000","00000000","C07AB03","IMRD"
"93562998","Atenolol 50mg tablets","02040000","00000000","00000000","C07AB03","IMRD"
"93563998","Atenolol 50mg tablets","02040000","00000000","00000000","C07AB03","IMRD"
"93608998","Atenolol 25mg tablets","02040000","00000000","00000000","C07AB03","IMRD"
"93691996","Carvedilol 3.125mg tablets","02040000","00000000","00000000","C07AG02","IMRD"
"93691997","Carvedilol 25mg tablets","02040000","00000000","00000000","C07AG02","IMRD"
"93691998","Carvedilol 12.5mg tablets","02040000","00000000","00000000","C07AG02","IMRD"
"93692996","Carvedilol 3.125mg tablets","02040000","00000000","00000000","C07AG02","IMRD"
"93692997","Carvedilol 25mg tablets","02040000","00000000","00000000","C07AG02","IMRD"
"93692998","Carvedilol 12.5mg tablets","02040000","00000000","00000000","C07AG02","IMRD"
