"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"58744","Fosamax Once Weekly 70mg tablets (DE Pharmaceuticals) Alendronate sodium 70mg Tablet Oral","06060200","","","","CPRD_GOLD"
"55965","Alendronic acid 70mg tablets (Zentiva) Alendronate sodium 70mg Tablet Oral","06060200","","","","CPRD_GOLD"
"63802","Actonel Once a Week 35mg tablets (Lexon (UK) Ltd) Risedronate sodium 35mg Tablet Oral","06060200","","","","CPRD_GOLD"
"46245","Alendronic acid 70mg tablets (Mylan) Alendronate sodium 70mg Tablet Oral","06060200","","","","CPRD_GOLD"
"688","Alendronic acid 70mg tablets Alendronate sodium 70mg Tablet Oral","06060200","","","","CPRD_GOLD"
"63175","Alendronic acid 10mg tablets (Phoenix Healthcare Distribution Ltd) Alendronate sodium 10mg Tablet Oral","06060200","","","","CPRD_GOLD"
"24998","Ibandronic acid 6mg/6ml solution for infusion vials Ibandronic sodium monohydrate 1mg/1ml Solution for infusion Intravenous","06060200","","","","CPRD_GOLD"
"74859","Fosamax Once Weekly 70mg tablets (Waymade Healthcare Plc) Alendronate sodium 70mg Tablet Oral","06060200","","","","CPRD_GOLD"
"23223","Ibandronic acid 2mg/2ml concentrated Solution for infusion Ibandronic Sodium Monohydrate 2mg/2ml Solution For Infusion Intravenous Infusion","06060200","","","","CPRD_GOLD"
"77225","Ibandronic acid 150mg tablets (Teva UK Ltd) Ibandronic sodium monohydrate 150mg Tablet Oral","06060200","","","","CPRD_GOLD"
"45280","Risedronate sodium 35mg & calcium carbonate 1250mg tablet Calcium Carbonate/Risedronate Sodium 35mg + 1250mg Tablets Oral","06060200","09050101","","","CPRD_GOLD"
"47911","Iasibon 50mg tablets (Aspire Pharma Ltd) Ibandronic sodium monohydrate 50mg Tablet Oral","06060200","","","","CPRD_GOLD"
"52373","Risedronate sodium 35mg tablets (Phoenix Healthcare Distribution Ltd) Risedronate sodium 35mg Tablet Oral","06060200","","","","CPRD_GOLD"
"79960","Risedronate sodium 35mg tablets (DE Pharmaceuticals) Risedronate sodium 35mg Tablet Oral","06060200","","","","CPRD_GOLD"
"37218","Alendronic acid 70mg tablets (Teva UK Ltd) Alendronate sodium 70mg Tablet Oral","06060200","","","","CPRD_GOLD"
"7527","Actonel 5mg tablets (Warner Chilcott UK Ltd) Risedronate sodium 5mg Tablet Oral","06060200","","","","CPRD_GOLD"
"75644","Quodixor 150mg tablets (Aspire Pharma Ltd) Ibandronic sodium monohydrate 150mg Tablet Oral","06060200","","","","CPRD_GOLD"
"51877","Alendronic acid 70mg tablets (Alliance Healthcare (Distribution) Ltd) Alendronate sodium 70mg Tablet Oral","06060200","","","","CPRD_GOLD"
"48013","Risedronate sodium 35mg tablets (A A H Pharmaceuticals Ltd) Risedronate sodium 35mg Tablet Oral","06060200","","","","CPRD_GOLD"
"59555","Alendronic acid 10mg tablets (Alliance Healthcare (Distribution) Ltd) Alendronate sodium 10mg Tablet Oral","06060200","","","","CPRD_GOLD"
"71000","Ibandronic acid 150mg tablets (Alliance Healthcare (Distribution) Ltd) Ibandronic sodium monohydrate 150mg Tablet Oral","06060200","","","","CPRD_GOLD"
"61686","Alendronic acid 70mg tablets (DE Pharmaceuticals) Alendronate sodium 70mg Tablet Oral","06060200","","","","CPRD_GOLD"
"71851","Alendronic acid 70mg tablets (Sigma Pharmaceuticals Plc) Alendronate sodium 70mg Tablet Oral","06060200","","","","CPRD_GOLD"
