"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"1452141000033112","Tolcapone Tablets 200 mg    ","","","","","CPRD_AURUM"
"1408441000033110","Tasmar Tablets 200 mg    ","","","","","CPRD_AURUM"
"1729441000033119","Entacapone 200mg tablets Tablet Oral Entacapone 200.000mg","4090100","","","","CPRD_AURUM"
"1726141000033117","Comtess 200mg tablets (Orion Pharma (UK) Ltd) Tablet Oral Entacapone 200.000mg","4090100","","","","CPRD_AURUM"
"1452041000033113","Tolcapone 100mg tablets Tablet Oral Tolcapone 100.000mg","4090100","","","","CPRD_AURUM"
"1408341000033116","Tasmar 100mg tablets (Mylan) Tablet Oral Tolcapone 100.000mg","4090100","","","","CPRD_AURUM"
"12289941000033112","Levodopa 100mg / Carbidopa 25mg / Entacapone 200mg tablets Tablet Oral Carbidopa/ Entacapone/ Levodopa 25.000mg + 200.000mg + 100.000mg","4090100","","","","CPRD_AURUM"
"3006341000033117","Stalevo 100mg/25mg/200mg tablets (Orion Pharma (UK) Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 25.000mg + 200.000mg + 100.000mg","4090100","","","","CPRD_AURUM"
"9836241000033115","Sastravi 100mg/25mg/200mg tablets (Actavis UK Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 25.000mg + 200.000mg + 100.000mg","","","","","CPRD_AURUM"
"10251441000033118","Stanek 100mg/25mg/200mg tablets (Teva UK Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 25.000mg + 200.000mg + 100.000mg","","","","","CPRD_AURUM"
"3006441000033111","Stalevo 150mg/37.5mg/200mg tablets (Orion Pharma (UK) Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 37.500mg + 200.000mg + 150.000mg","4090100","","","","CPRD_AURUM"
"12290141000033115","Levodopa 150mg / Carbidopa 37.5mg / Entacapone 200mg tablets Tablet Oral Carbidopa/ Entacapone/ Levodopa 37.500mg + 200.000mg + 150.000mg","4090100","","","","CPRD_AURUM"
"10251641000033116","Stanek 150mg/37.5mg/200mg tablets (Teva UK Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 37.500mg + 200.000mg + 150.000mg","","","","","CPRD_AURUM"
"9837641000033119","Sastravi 150mg/37.5mg/200mg tablets (Actavis UK Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 37.500mg + 200.000mg + 150.000mg","","","","","CPRD_AURUM"
"12290441000033111","Levodopa 50mg / Carbidopa 12.5mg / Entacapone 200mg tablets Tablet Oral Carbidopa/ Entacapone/ Levodopa 12.500mg + 200.000mg + 50.000mg","4090100","","","","CPRD_AURUM"
"3006241000033110","Stalevo 50mg/12.5mg/200mg tablets (Orion Pharma (UK) Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 12.500mg + 200.000mg + 50.000mg","4090100","","","","CPRD_AURUM"
"9837941000033114","Sastravi 50mg/12.5mg/200mg tablets (Actavis UK Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 12.500mg + 200.000mg + 50.000mg","","","","","CPRD_AURUM"
"10251841000033115","Stanek 50mg/12.5mg/200mg tablets (Teva UK Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 12.500mg + 200.000mg + 50.000mg","","","","","CPRD_AURUM"
"4515941000033111","Entacapone 200mg/5ml oral suspension Oral suspension Oral Entacapone 40.000mg/1.000ml","","","","","CPRD_AURUM"
"4561741000033111","Stalevo 200mg/50mg/200mg tablets (Orion Pharma (UK) Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 50.000mg + 200.000mg + 200.000mg","4090100","","","","CPRD_AURUM"
"12290341000033117","Levodopa 200mg / Carbidopa 50mg / Entacapone 200mg tablets Tablet Oral Carbidopa/ Entacapone/ Levodopa 50.000mg + 200.000mg + 200.000mg","4090100","","","","CPRD_AURUM"
"10252041000033117","Stanek 200mg/50mg/200mg tablets (Teva UK Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 50.000mg + 200.000mg + 200.000mg","","","","","CPRD_AURUM"
"9837841000033118","Sastravi 200mg/50mg/200mg tablets (Actavis UK Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 50.000mg + 200.000mg + 200.000mg","","","","","CPRD_AURUM"
"5076341000033116","Stalevo 125mg/31.25mg/200mg tablets (Orion Pharma (UK) Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 31.250mg + 200.000mg + 125.000mg","4090100","","","","CPRD_AURUM"
"12290041000033119","Levodopa 125mg / Carbidopa 31.25mg / Entacapone 200mg tablets Tablet Oral Carbidopa/ Entacapone/ Levodopa 31.250mg + 200.000mg + 125.000mg","4090100","","","","CPRD_AURUM"
"9837541000033115","Sastravi 125mg/31.25mg/200mg tablets (Actavis UK Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 31.250mg + 200.000mg + 125.000mg","","","","","CPRD_AURUM"
"10251541000033117","Stanek 125mg/31.25mg/200mg tablets (Teva UK Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 31.250mg + 200.000mg + 125.000mg","","","","","CPRD_AURUM"
"12290541000033112","Levodopa 75mg / Carbidopa 18.75mg / Entacapone 200mg tablets Tablet Oral Carbidopa/ Entacapone/ Levodopa 18.750mg + 200.000mg + 75.000mg","4090100","","","","CPRD_AURUM"
"5076641000033112","Stalevo 75mg/18.75mg/200mg tablets (Orion Pharma (UK) Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 18.750mg + 200.000mg + 75.000mg","4090100","","","","CPRD_AURUM"
"10251941000033111","Stanek 75mg/18.75mg/200mg tablets (Teva UK Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 18.750mg + 200.000mg + 75.000mg","","","","","CPRD_AURUM"
"9838041000033112","Sastravi 75mg/18.75mg/200mg tablets (Actavis UK Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 18.750mg + 200.000mg + 75.000mg","","","","","CPRD_AURUM"
"6512941000033113","Stalevo 175mg/43.75mg/200mg tablets (Orion Pharma (UK) Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 43.750mg + 200.000mg + 175.000mg","","","","","CPRD_AURUM"
"12290241000033110","Levodopa 175mg / Carbidopa 43.75mg / Entacapone 200mg tablets Tablet Oral Carbidopa/ Entacapone/ Levodopa 43.750mg + 200.000mg + 175.000mg","","","","","CPRD_AURUM"
"9837741000033111","Sastravi 175mg/43.75mg/200mg tablets (Actavis UK Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 43.750mg + 200.000mg + 175.000mg","","","","","CPRD_AURUM"
"10251741000033113","Stanek 175mg/43.75mg/200mg tablets (Teva UK Ltd) Tablet Oral Carbidopa/ Entacapone/ Levodopa 43.750mg + 200.000mg + 175.000mg","","","","","CPRD_AURUM"
"11757141000033118","Ongentys 50mg capsules (BIAL Pharma UK Ltd) Capsule Oral Opicapone 50.000mg","4090100","","","","CPRD_AURUM"
"11756941000033118","Opicapone 50mg capsules Capsule Oral Opicapone 50.000mg","4090100","","","","CPRD_AURUM"
