"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"29398978","Opicapone 50mg capsules","00000000","00000000","00000000","","IMRD"
"29399978","Opicapone 50mg capsules","00000000","00000000","00000000","","IMRD"
"51481978","Levodopa 175mg / Carbidopa 43.75mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"51489978","Levodopa 75mg / Carbidopa 18.75mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"51490978","Levodopa 125mg / Carbidopa 31.25mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"51500978","Levodopa 200mg / Carbidopa 50mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"51858978","Levodopa 50mg / Carbidopa 12.5mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"51859978","Levodopa 150mg / Carbidopa 37.5mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"51860978","Levodopa 100mg / Carbidopa 25mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"52615979","Entacapone 200mg tablets","04090100","00000000","00000000","N04BX02","IMRD"
"57019978","Levodopa 175mg / Carbidopa 43.75mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"57039978","Levodopa 75mg / Carbidopa 18.75mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"57040978","Levodopa 125mg / Carbidopa 31.25mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"57045978","Levodopa 200mg / Carbidopa 50mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"59211978","Levodopa 50mg / Carbidopa 12.5mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"59212978","Levodopa 150mg / Carbidopa 37.5mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"59213978","Levodopa 100mg / Carbidopa 25mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"60783979","Levodopa 175mg / Carbidopa 43.75mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"60784979","Levodopa 175mg / Carbidopa 43.75mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"63652979","Levodopa 75mg / Carbidopa 18.75mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"63654979","Levodopa 125mg / Carbidopa 31.25mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"64893979","Levodopa 200mg / Carbidopa 50mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"80178979","Entacapone 200mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"80939998","Levodopa 175mg / Carbidopa 43.75mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"82863998","Levodopa 125mg / Carbidopa 31.25mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"82864998","Levodopa 75mg / Carbidopa 18.75mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"82865998","Levodopa 125mg / Carbidopa 31.25mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"82866998","Levodopa 75mg / Carbidopa 18.75mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"83777998","Levodopa 200mg / Carbidopa 50mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"83778998","Levodopa 200mg / Carbidopa 50mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"84792979","Levodopa 50mg / Carbidopa 12.5mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"84793979","Levodopa 150mg / Carbidopa 37.5mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"84799979","Levodopa 150mg / carbidopa 37.5mg / entacapone 200mg tablets","00000000","00000000","00000000","","IMRD"
"84807979","Levodopa 100mg / carbidopa 25mg / entacapone 200mg tablets","00000000","00000000","00000000","","IMRD"
"86932998","Tolcapone 100mg tablets","04090100","00000000","00000000","N04BX01","IMRD"
"87804998","Levodopa 150mg / Carbidopa 37.5mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
"87805998","Levodopa 100mg / Carbidopa 25mg / Entacapone 200mg tablets","04090100","00000000","00000000","N04BA03","IMRD"
