"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"28949","Bi-carzem sr 120mg Modified-release capsule (Tillomed Laboratories Ltd) Diltiazem Hydrochloride 120mg Modified-Release Capsule Oral","02060200","","","","CPRD_GOLD"
"24228","Nimodrel 20mg modified-release tablet (Opus Pharmaceuticals Ltd) Nifedipine 20mg Modified-Release Tablet Oral","02060200","","","","CPRD_GOLD"
"70961","Tildiem Retard 90mg tablets (DE Pharmaceuticals) Diltiazem hydrochloride 90mg Modified-release tablet Oral","02060200","","","","CPRD_GOLD"
"26252","Berkatens 160mg Tablet (Berk Pharmaceuticals Ltd) Verapamil hydrochloride 160mg Tablet Oral","02030202","02060200","","","CPRD_GOLD"
"71342","Dilzem XL 240 capsules (Waymade Healthcare Plc) Diltiazem hydrochloride 240mg Modified-release capsule Oral","02060200","","","","CPRD_GOLD"
"52017","Adalat LA 30 tablets (Mawdsley-Brooks & Company Ltd) Nifedipine 30mg Modified-release tablet Oral","02060200","","","","CPRD_GOLD"
"60780","Generic Sevikar HCT 20mg/5mg/12.5mg tablets Hydrochlorothiazide/Amlodipine besilate/Olmesartan medoxomil 12.5mg + 5mg + 20mg Tablet Oral","02050502","","","","CPRD_GOLD"
"5181","Angiopine MR 20mg tablets (Ashbourne Pharmaceuticals Ltd) Nifedipine 20mg Modified-release tablet Oral","02060200","","","","CPRD_GOLD"
"67074","Adalat 10mg capsules (DE Pharmaceuticals) Nifedipine 10mg Capsule Oral","02060200","","","","CPRD_GOLD"
"47616","Sevikar HCT 40mg/10mg/12.5mg tablets (Daiichi Sankyo UK Ltd) Hydrochlorothiazide/Olmesartan medoxomil/Amlodipine besilate 12.5mg + 40mg + 10mg Tablet Oral","02050502","","","","CPRD_GOLD"
"56467","Tildiem 60mg modified-release tablets (DE Pharmaceuticals) Diltiazem hydrochloride 60mg Modified-release tablet Oral","02060200","","","","CPRD_GOLD"
"11966","Motens 2mg tablets (GlaxoSmithKline UK Ltd) Lacidipine 2mg Tablet Oral","02060200","","","","CPRD_GOLD"
"17338","Nifedotard 20 mr 20mg Modified-release tablet (Galen Ltd) Nifedipine 20mg Modified-Release Tablet Oral","02060200","","","","CPRD_GOLD"
"67890","Uard 300XL capsules (Ennogen Healthcare Ltd) Diltiazem hydrochloride 300mg Modified-release capsule Oral","02060200","","","","CPRD_GOLD"
"5513","Dilzem sr 60mg Capsule (Elan Pharma) Diltiazem hydrochloride 60mg Modified-release capsule Oral","02060200","","","","CPRD_GOLD"
"47027","Nifedipine 10mg Modified-release tablet (Kent Pharmaceuticals Ltd) Nifedipine 10mg Modified-release tablet Oral","02060200","","","","CPRD_GOLD"
"38964","Adizem-SR 120mg tablets (Napp Pharmaceuticals Ltd) Diltiazem hydrochloride 120mg Modified-release tablet Oral","02060200","","","","CPRD_GOLD"
"75641","Pexsig 100mg tablets (Imported (New Zealand)) Perhexiline Maleate  Tablet Route Of Administration Not Applicable","02060200","","","","CPRD_GOLD"
"75387","Amlodipine 5mg tablets (Arrow Generics Ltd) Amlodipine 5mg Tablet Oral","02060200","","","","CPRD_GOLD"
"66834","Uard 240XL capsules (Ennogen Healthcare Ltd) Diltiazem hydrochloride 240mg Modified-release capsule Oral","02060200","","","","CPRD_GOLD"
"45685","Adanif XL 30mg tablets (Advanz Pharma) Nifedipine 30mg Modified-release tablet Oral","02060200","","","","CPRD_GOLD"
"3676","Dilzem xl mr 180mg Modified-release capsule (Elan Pharma) Diltiazem Hydrochloride 180mg Modified-Release Capsule Oral","02060200","","","","CPRD_GOLD"
"46233","Amlodipine Oral solution Amlodipine  Oral Solution Oral","02060200","","","","CPRD_GOLD"
"31337","Syscor MR 20 tablets (Forest Laboratories UK Ltd) Nisoldipine 20mg Modified-release tablet Oral","02060200","","","","CPRD_GOLD"
"21872","Angiopine 5mg Capsule (Ashbourne Pharmaceuticals Ltd) Nifedipine 5mg Capsule Oral","02060200","","","","CPRD_GOLD"
"71744","Diltiazem 0.4% cream Diltiazem hydrochloride 4mg/1gram Cream Transdermal","01070000","02060200","","","CPRD_GOLD"
"27135","Diltiazem sr 90mg Capsule (Hillcross Pharmaceuticals Ltd) Diltiazem hydrochloride 90mg Modified-release capsule Oral","02060200","","","","CPRD_GOLD"
"17599","Verapress MR 240mg tablets (Sandoz Ltd) Verapamil hydrochloride 240mg Modified-release tablet Oral","02060200","","","","CPRD_GOLD"
"77418","Adalat retard 20mg tablets (Waymade Healthcare Plc) Nifedipine 20mg Modified-release tablet Oral","02060200","","","","CPRD_GOLD"
"73612","Amlodipine 5mg/5ml oral solution sugar free (DE Pharmaceuticals) Amlodipine 1mg/1ml Oral solution Oral","02060200","","","","CPRD_GOLD"
"70732","Lercanidipine 20mg tablets (Alliance Healthcare (Distribution) Ltd) Lercanidipine hydrochloride 20mg Tablet Oral","02060200","","","","CPRD_GOLD"
"12392","Univer 180mg modified-release capsules (Teva UK Ltd) Verapamil hydrochloride 180mg Modified-release capsule Oral","02060200","","","","CPRD_GOLD"
"26774","Nifedipine 10mg/5ml Oral suspension Nifedipine 10mg/5ml Oral Suspension Oral","02060200","","","","CPRD_GOLD"
"13699","Angiopine la 40mg Tablet (Ashbourne Pharmaceuticals Ltd) Nifedipine 40mg Modified-release tablet Oral","02060200","","","","CPRD_GOLD"
"66850","Diltiazem 240mg modified-release capsules (Icarus Pharmaceuticals Ltd) Diltiazem hydrochloride 240mg Modified-release capsule Oral","02060200","","","","CPRD_GOLD"
"38882","Adizem-XL 240mg capsules (Napp Pharmaceuticals Ltd) Diltiazem hydrochloride 240mg Modified-release capsule Oral","02060200","","","","CPRD_GOLD"
"26337","Cabren 10mg modified-release tablets (Teva UK Ltd) Felodipine 10mg Modified-release tablet Oral","02060200","","","","CPRD_GOLD"
"18975","Calcicard 60mg Tablet (3M Health Care Ltd) Diltiazem hydrochloride 60mg Modified-release tablet Oral","02060200","","","","CPRD_GOLD"
"2811","Adizem sr 180mg Modified-release capsule (Napp Pharmaceuticals Ltd) Diltiazem Hydrochloride 180mg Modified-Release Capsule Oral","02060200","","","","CPRD_GOLD"
"47415","Diltiazem sr 60mg Capsule (Hillcross Pharmaceuticals Ltd) Diltiazem hydrochloride 60mg Modified-release capsule Oral","02060200","","","","CPRD_GOLD"
"11922","Diltiazem 60mg/5ml oral suspension Diltiazem hydrochloride 12mg/1ml Oral suspension Oral","02060200","","","","CPRD_GOLD"
"68020","Beta-Adalat modified-release capsules (Sigma Pharmaceuticals Plc) Atenolol/Nifedipine 50mg + 20mg Modified-release capsule Oral","02040000","02060200","","","CPRD_GOLD"
"33025","Nimodrel XL 30mg tablets (Zurich Pharmaceuticals) Nifedipine 30mg Modified-release tablet Oral","02060200","","","","CPRD_GOLD"
