"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"1245","Amlodipine2.5 mgTabletOral","","","","","UHB"
"3456","Amlodipine10 mgOral SolutionGastrost.","","","","","UHB"
"863","Amlodipine10 mgTabletNasogas.","","","","","UHB"
"178","Diltiazem Hydrochloride m/r (usually thrice daily)60 mgTabletOral","","","","","UHB"
"2110","Amlodipine5 mgTabletNasogas.","","","","","UHB"
"650","Adizem-XL200 mgSlow Release CapsuleOral","","","","","UHB"
"1986","Adizem SR120 mgSlow Release CapsuleOral","","","","","UHB"
"3913","Adizem-XL180 mgSlow Release CapsuleOral","","","","","UHB"
"53","Amlodipine10 mgTabletOral","","","","","UHB"
"714","Adizem SR90 mgSlow Release CapsuleOral","","","","","UHB"
"2016","Adizem-XL360 mgSlow Release CapsuleOral","","","","","UHB"
"4568","Amlodipine5 mgOral SolutionOral","","","","","UHB"
"3746","Amlodipine10 mgOral SolutionOral","","","","","UHB"
"338","Amlodipine5 mgTabletOral","","","","","UHB"
"4870","Diltiazem Hydrochloride m/r (usually thrice daily)120 mgTabletOral","","","","","UHB"
"4163","Adizem-XL240 mgSlow Release CapsuleOral","","","","","UHB"
"3445","Amlodipine2.5 mgOral SolutionGastrost.","","","","","UHB"
"3429","Amlodipine0 mgTabletOral","","","","","UHB"
"4651","diltiazem hcl mr90 mgTabletOral","","","","","UHB"
"1863","Adizem-XL120 mgSlow Release CapsuleOral","","","","","UHB"
"3396","Amlodipine7.5 mgTabletOral","","","","","UHB"
