"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"11321","Calcium carbonate 1.25g effervescent tablets sugar free","","","","A12AA","CEGEDIM"
"11322","Cacit 500mg effervescent tablets (Accord Healthcare Ltd)","","","","A12AA","CEGEDIM"
"11323","Cacit 500mg effervescent tablets (Accord Healthcare Ltd) 76 tablet4 tubes of 19 tablets","","","","A12AA","CEGEDIM"
"12657","Calcium carbonate 2.5g chewable tablets sugar free","","","","A12AA","CEGEDIM"
"12658","Calcichew Forte chewable tablets (Takeda UK Ltd)","","","","A12AA","CEGEDIM"
"12659","Calcichew Forte chewable tablets (Takeda UK Ltd) 60 tablet","","","","A12AA","CEGEDIM"
"12663","Calcium carbonate 1.25g chewable tablets sugar free","","","","A12AA","CEGEDIM"
"12664","Calcichew 500mg chewable tablets (Takeda UK Ltd)","","","","A12AA","CEGEDIM"
"12665","Calcichew 500mg chewable tablets (Takeda UK Ltd) 100 tablet","","","","A12AA","CEGEDIM"
"12667","Calcium carbonate 420mg tablets","","","","A02AC01","CEGEDIM"
"12680","Colecalciferol 200unit / Calcium carbonate 1.25g chewable tablets","","","","A12AX","CEGEDIM"
"12681","Calcichew D3 chewable tablets (Takeda UK Ltd)","","","","A12AX","CEGEDIM"
"12682","Calcichew D3 chewable tablets (Takeda UK Ltd) 100 tablet","","","","A12AX","CEGEDIM"
"12683","Colecalciferol 400unit / Calcium carbonate 1.25g chewable tablets","","","","A12AX","CEGEDIM"
"12684","Calcichew D3 Forte chewable tablets (Takeda UK Ltd)","","","","A12AX","CEGEDIM"
"12685","Calcichew D3 Forte chewable tablets (Takeda UK Ltd) 100 tablet","","","","A12AX","CEGEDIM"
"12686","Calceos chewable tablets (Provalis Healthcare Ltd)","","","","A12AX","CEGEDIM"
"12687","Calceos chewable tablets (Provalis Healthcare Ltd) 60 tablet4 x 15 tablet tubes","","","","A12AX","CEGEDIM"
"14730","Calcium lactate 300mg tablets","","","","A12AA","CEGEDIM"
"14731","Calcium lactate 300mg tablets (A A H Pharmaceuticals Ltd)","","","","A12AA","CEGEDIM"
"14732","Calcium lactate 300mg tablets (A A H Pharmaceuticals Ltd) 84 tablet","","","","A12AA","CEGEDIM"
"14736","Calcium lactate 300mg tablets (Actavis UK Ltd)","","","","A12AA","CEGEDIM"
"14737","Calcium lactate 300mg tablets (Actavis UK Ltd) 84 tablet","","","","A12AA","CEGEDIM"
"14741","Calcium lactate 300mg tablets (Kent Pharmaceuticals Ltd)","","","","A12AA","CEGEDIM"
"14742","Calcium lactate 300mg tablets (Kent Pharmaceuticals Ltd) 84 tablet","","","","A12AA","CEGEDIM"
"14743","Calcium lactate 300mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","A12AA","CEGEDIM"
"14744","Calcium lactate 300mg tablets (Alliance Healthcare (Distribution) Ltd) 84 tablet","","","","A12AA","CEGEDIM"
"17352","Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets","","","","A12AX","CEGEDIM"
"17353","Adcal-D3 chewable tablets tutti frutti (Kyowa Kirin Ltd)","","","","A12AX","CEGEDIM"
"17354","Adcal-D3 chewable tablets tutti frutti (Kyowa Kirin Ltd) 100 tablet10 x 10 tablets","","","","A12AX","CEGEDIM"
"19690","Calcium lactate gluconate 2.263g / Calcium carbonate 1.75g effervescent tablets sugar free","","","","A12AA","CEGEDIM"
"19691","Sandocal 1000 effervescent tablets (GlaxoSmithKline Consumer Healthcare)","","","","A12AA","CEGEDIM"
