"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"21751978","Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets","09060400","09050101","09060400","A11JB","IMRD"
"22522978","Colecalciferol 400unit / Calcium carbonate 1.5g tablets","09060400","09050101","09060400","A12AX","IMRD"
"24205978","Colecalciferol 200unit / calcium phosphate 250mg chewable tablets","00000000","00000000","00000000","","IMRD"
"24207978","Colecalciferol 200unit / calcium phosphate 250mg chewable tablets","00000000","00000000","00000000","","IMRD"
"34026978","Colecalciferol 1,000unit / calcium carbonate 2.5g chewable tablets","00000000","00000000","00000000","","IMRD"
"34027978","Colecalciferol 1,000unit / calcium carbonate 2.5g chewable tablets","00000000","00000000","00000000","","IMRD"
"52015979","Colecalciferol 800unit / Calcium carbonate 1.25g chewable tablets","09060400","09060400","09050101","A12AX","IMRD"
"52016979","Colecalciferol 800unit / calcium carbonate 1.25g tablets","00000000","00000000","00000000","","IMRD"
"55142978","Calcium gluconate 544mg/5ml / calcium lactate 276mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"55143978","Calcium gluconate 544mg/5ml / calcium lactate 276mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"55918979","Calcium carbonate 250mg dispersible tablets","00000000","00000000","00000000","","IMRD"
"56947978","Colecalciferol 800unit / Calcium carbonate 2.5g chewable tablets","09060400","09050101","09060400","A12AX","IMRD"
"56948978","Colecalciferol 880unit / Calcium carbonate 2.5g chewable tablets","09060400","09050101","09060400","A12AX","IMRD"
"60543979","Colecalciferol 100unit / calcium carbonate 400mg chewable tablets","00000000","00000000","00000000","","IMRD"
"60544979","Colecalciferol 100unit / calcium carbonate 400mg chewable tablets","00000000","00000000","00000000","","IMRD"
"62081979","Calcium carbonate 300mg tablets","00000000","00000000","00000000","","IMRD"
"63621979","Calcium carbonate 300mg capsules","00000000","00000000","00000000","","IMRD"
"64223979","Calcium carbonate 400mg / ergocalciferol 2.5microgram tablets","00000000","00000000","00000000","","IMRD"
"64224979","Calcium carbonate 400mg / ergocalciferol 2.5microgram tablets","00000000","00000000","00000000","","IMRD"
"64550979","Calcium carbonate 120mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"64831979","Colecalciferol 100unit / calcium carbonate 400mg tablets","00000000","00000000","00000000","","IMRD"
"68506979","Calcium carbonate 5mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"68510979","Calcium carbonate 300mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"68756978","Colecalciferol 880unit / Calcium carbonate 2.5g chewable tablets","09060400","09050101","09060400","A12AX","IMRD"
"68757978","Colecalciferol 880unit / Calcium carbonate 2.5g chewable tablets","09060400","09050101","09060400","A12AX","IMRD"
"73598978","Colecalciferol 100unit / calcium carbonate 400mg tablets","00000000","00000000","00000000","","IMRD"
"79147979","Calcium carbonate 500mg capsules","00000000","00000000","00000000","","IMRD"
"80849998","Calcium carbonate 400mg with Colecalciferol 100 units chewable tablets","09060400","09050101","09060400","A11JB","IMRD"
"80893979","Calcium carbonate 1.25g/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"80895979","Calcium carbonate 125mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"80901979","Calcium carbonate 250mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"80905979","Calcium carbonate 600mg/5ml oral suspension","09050101","00000000","00000000","","IMRD"
"80906979","Calcium carbonate 600mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"81191998","Colecalciferol 400unit / Calcium carbonate 1.5g tablets","09060400","09050101","09060400","A12AX","IMRD"
"81268998","Colecalciferol 200unit / Calcium carbonate 750mg tablets","09060400","09060400","09050101","A12AX","IMRD"
"81269998","Colecalciferol 200unit / Calcium carbonate 750mg tablets","09060400","09050101","09060400","A12AX","IMRD"
"81655998","Colecalciferol 800unit / Calcium carbonate 1.25g chewable tablets","09060400","09060400","09050101","A12AX","IMRD"
"81656998","Colecalciferol 800unit / calcium carbonate 1.25g chewable tablets","00000000","00000000","00000000","","IMRD"
"81835979","Calcium carbonate 166.67mg tablets","00000000","00000000","00000000","","IMRD"
"81836979","Calcium carbonate 166.67mg tablets","00000000","00000000","00000000","","IMRD"
"82105998","Calcium carbonate 250mg dispersible tablets","00000000","00000000","00000000","","IMRD"
"82214998","Colecalciferol 400unit / Calcium carbonate 1.25g tablets","09060400","09050101","09060400","A12AX","IMRD"
"82215998","Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets","09060400","09050101","09060400","A11JB","IMRD"
"82344998","Colecalciferol 400unit / Calcium carbonate 1.5g tablets","09060400","09050101","09060400","A12AX","IMRD"
"82429979","Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets","09060400","09050101","09060400","A11JB","IMRD"
"82483998","Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets","09060400","09060400","09050101","A11JB","IMRD"
