"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"4280","colecalciferol 400unit/ calcium carbonate 1.25g1 tabTabletOral","","","","","UHB"
"4185","colecalciferol 200 unit and calcium carbonate 750mg 2 tabTabletOral","","","","","UHB"
"1220","Calcium Gluconate600 mgTabletOral","","","","","UHB"
"36","Adcal D32 tabTabletOral","","","","","UHB"
"1117","Calcichew D31-2 tabTabletOral","","","","","UHB"
"1305","colecalciferol 800unit / calcium phosphate 3.1g oral powder sachets1 SachetPowderOral","","","","","UHB"
"3265","Adcal D31 tabTabletNasogas.","","","","","UHB"
"4460","Adcal D32 tabDispersible TabletOral","","","","","UHB"
"4544","Calceos1 tabTabletOral","","","","","UHB"
"4831","Calcichew D3 Forte2 tabTabletOral","","","","","UHB"
"1307","Cacit D32 SachetGranulesOral","","","","","UHB"
"694","Cacit D31 SachetGranulesOral","","","","","UHB"
"4554","colecalciferol 880unit / calcium carbonate 2.5g1 tabChewable tabletOral","","","","","UHB"
"335","colecalciferol 200 units and calcium carbonate 750mg1 tabTabletOral","","","","","UHB"
"4379","Adcal D31-2 tabCapletOral","","","","","UHB"
"1826","Calcichew D31 tabTabletOral","","","","","UHB"
"4144","colecalciferol 200unit/calcium carbonate 1.25g1 tabTabletOral","","","","","UHB"
"4555","Calcichew D3 Forte1 tabTabletOral","","","","","UHB"
"4169","Adcal D31 tabDispersible TabletOral","","","","","UHB"
"993","Adcal2 tabTabletOral","","","","","UHB"
"34","Adcal D31 tabTabletOral","","","","","UHB"
"2061","Adcal D31 tabTabletGastrost.","","","","","UHB"
"1258","Adcal1 tabTabletOral","","","","","UHB"
"1777","Adcal D31 tabCapletOral","","","","","UHB"
"662","Adcal D32 tabCapletOral","","","","","UHB"
"4133","accrete d31 tabTabletOral","","","","","UHB"
"4448","accrete d32 tabTabletOral","","","","","UHB"
"4325","Adcal D31 tabDispersible TabletGastrost.","","","","","UHB"
"1872","Adcal0 tabTabletOral","","","","","UHB"
"4516","colecalciferol 200unit/calcium carbonate 750mg1 tabTabletOral","","","","","UHB"
"4661","calceos 500mg/400unit tablets1 tabTabletOral","","","","","UHB"
